community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,16,0.5168542123501397,0.2858710998588164,0.0625,四 五 六 三 七 八 九 两 二 十 第二 几,另 半 一 十 几 二 第 第二,第二 六 八 几 十 半 另 四 二 五 九 两,四 五 六 三 七 八 九 两 二 十 第二 几 第 一 半 另
2,9,0.334206266823723,0.04363364521451242,0.3333333333333333,一律 统统 通通 一概 一经 一一 凡 必 经,经 必 一一 凡 一概 一经 通通 一律,凡 必 经 通通 统统 一经 一概 一律 一一,一律 统统 通通 一概 一经 一一 凡 必 经
3,85,0.35001931602677433,0.016764112298192163,0.4,急忙 赶忙 连忙 立刻 赶紧 忽然 猛然 突然 马上 悄悄 随即 顿时,回头 一齐 递给 早已 当场 停下 果断 顺便,一瞬间 转身 停下 不得已 一齐 刚 自然而然 不经意 一会儿 立刻 立即 徐徐,急忙 赶忙 连忙 立刻 赶紧 忽然 猛然 突然 马上 悄悄 随即 顿时 匆匆 立即 一下子 当即 偷偷 赶快 索性 毫不犹豫 顺手 不一会儿 匆忙 缓缓 火速 毅然 转身 只好 顾不得 连滚带爬 迫不及待 渐渐 慢慢 不由自主 趁机 灵机一动 接着 只得 转眼 恨不得 干脆 一会儿 纷纷 骤然 来不及 一齐 顾不上 终于 一瞬间 不假思索 迅速 刚刚 刚 瞬间 随手 时不时 自然而然 不知不觉 连夜 一刹那 不约而同 这时 紧接着 一晃 争先恐后 顺便 特意 果断 快要 递给 来得及 特地 当场 只见 不经意 不得已 早已 莫名其妙 回头 停下 照例 眼看 被迫 飞速 徐徐
4,245,0.33435192716441803,-0.022220420839744154,0.5510204081632653,就算 也许 毕竟 只不过 也 难道 好像 反倒 要是 确实 偏偏 恐怕,便是 就是 每当 怎么 好似 直到 很难说 是,说到底 如果 纵然 看来 倘若 怎么 按说 是不是 那时候 通常 正是 实在,就算 也许 毕竟 只不过 也 难道 好像 反倒 要是 确实 偏偏 恐怕 可是 何况 说不定 倒是 但是 纵然 似乎 当然 不然 的确 要不然 哪怕 虽说 好歹 反正 却 终究 居然 而且 竟然 果然 真的 明明 其实 是不是 或许 虽然 即使 既然 要不 反而 即便 没准儿 都 不光 显然 固然 别说 果真 简直 如果 仿佛 本来 看样子 肯定 但 只是 多半 就 不但 起码 不过 幸好 顶多 因为 必定 恰恰 所以 况且 实际上 往往 要不是 有时候 要么 还是 幸亏 实在 不见得 不仅 未必 那 觉得 当真 而是 按说 唯独 莫非 只要 不如说 照样 可惜 尤其 大概 无非 倘若 好在 甚至 常常 怪不得 说实话 难怪 不一定 按理说 没想到 假如 生怕 说真的 未免 据说 然而 非得 除非 总是 基本上 才 应该 何必 不管 可不是 为什么 那么 有时 还 竟 好似 必然 说白了 可能 全都 但愿 就是 假使 不仅仅 恰好 仅仅 却是 老是 免得 说不上 甚至于 如果说 恰巧 好比 再说 正好 刚好 并且 既 以为 又 何苦 那时候 说到底 同样 看似 虽 怎么 从来 仍然 到头来 看起来 早就 着实 几乎 总算 无疑 就是说 或是 否则 偶尔 不免 仍旧 至少 它 依然 于是 感觉 这时候 大多 然后 而 便 难免 势必 知道 迟早 注定 因而 那时 这 尽管 没错 真心 不用说 无论如何 真 很难说 至于 看上去 大都 一不小心 想不到 依旧 并非 根本 看来 算是 绝对 或者 不料 以至于 通常 原本 一旦 听说 本身 正是 就要 比如说 可谓 更是 永远 若 多亏 且 动不动 则 以致 亦 直到 免不了 是 都会 也好 或多或少 并 凡是 仍 皆 故 便是 无不 每当
5,37,0.3349960657265614,-0.005263930133552528,0.5675675675675675,屡次 频频 多次 接连 再次 再度 一再 时常 不断 不时 经常 频繁,次 重新 一举 连续 初次 密集 随时 持续,时常 时时 持续 重新 断断续续 屡 常 频繁 三番五次 不停 密集 不断,屡次 频频 多次 接连 再次 再度 一再 时常 不断 不时 经常 频繁 屡 接二连三 相继 先后 三番五次 反复 连续 曾 不停 陆续 继续 首次 持续 一度 时时 断断续续 重新 次 率先 随时 常 时而 初次 密集 一举
6,35,0.33891085726544934,-0.01453837735092568,0.5714285714285714,想法 看法 事情 举动 态度 样子 话 言论 事 念头 道理 见解,事 地步 事情 模样 缘故 时候 心里话 手势,时候 看法 事实 事情 心里话 事 立场 心得 举动 模样 言论 言行,想法 看法 事情 举动 态度 样子 话 言论 事 念头 道理 见解 言行 架势 观点 模样 感想 所作所为 立场 主意 地步 东西 心里话 事实 的话 时候 姿态 意见 理由 一言一行 偏见 一举一动 缘故 心得 手势
7,13,0.34497806608009124,0.01575754950247041,0.38461538461538464,无能为力 无所作为 一事无成 一无所有 力不从心 无济于事 一无所知 得不偿失 身不由己 措手不及 任人宰割 无效,力所能及 得不偿失 一事无成 无效 一无所知 措手不及 一无所有 身不由己,无济于事 力所能及 无效 力不从心 无所作为 无能为力 身不由己 一无所知 一无所有 一事无成 得不偿失 任人宰割,无能为力 无所作为 一事无成 一无所有 力不从心 无济于事 一无所知 得不偿失 身不由己 措手不及 任人宰割 无效 力所能及
8,51,0.32707223083896686,-0.009827750886201657,0.5882352941176471,许多 一些 大多数 不少 好多 大部分 众多 绝大多数 诸多 这些 各种 多数,一半 一系列 普遍 乱七八糟 全部 任何 一连串 一般,若干 少量 多 一般 些 不少 部分 许多 等 无数 一连串 种种,许多 一些 大多数 不少 好多 大部分 众多 绝大多数 诸多 这些 各种 多数 那些 各式各样 大量 无数 形形色色 所有 大批 种种 别的 一系列 各个 部分 个别 有的 些 其他 一部分 成千上万 多种 少数 少量 一切 若干 一连串 半数 五花八门 任何 诸如此类 乱七八糟 其余 一般 多 之类 全部 层出不穷 一半 普遍 等 有的是
9,22,0.3539837198805232,0.058475846673309496,0.18181818181818182,后代 后裔 传承 祖先 传人 继承 家族 世代 后人 血缘 一代 渊源,发源地 血缘 起源 下一代 族 故乡 相传 发扬光大,祖先 祖传 代 血脉 族 渊源 后人 后代 世代 传承 故乡 下一代,后代 后裔 传承 祖先 传人 继承 家族 世代 后人 血缘 一代 渊源 血脉 祖传 起源 发扬光大 发源地 相传 故乡 下一代 代 族
