embedding,threshold,resolution,runs,communities_mean,communities_min,communities_max,largest_mean,largest_min,largest_max,singletons_mean,singletons_min,singletons_max,words_in_1_to_2_mean,words_in_1_to_2_min,words_in_1_to_2_max,words_in_3_to_30_mean,words_in_3_to_30_min,words_in_3_to_30_max,words_in_10_to_30_mean,words_in_10_to_30_min,words_in_10_to_30_max,words_in_over_100_mean,words_in_over_100_min,words_in_over_100_max,word_weighted_median_cluster_size_mean,word_weighted_median_cluster_size_min,word_weighted_median_cluster_size_max,mean_pair_cosine_word_weighted_nonsingletons_mean,mean_pair_cosine_word_weighted_nonsingletons_min,mean_pair_cosine_word_weighted_nonsingletons_max,mean_cosine_silhouette_original_300d_mean,mean_cosine_silhouette_original_300d_min,mean_cosine_silhouette_original_300d_max
pca100,0.737,0.05,1,922,922,922,275,275,275,235,235,235,345,345,345,5818,5818,5818,3977,3977,3977,1328,1328,1328,24.0,24.0,24.0,0.38663510387031186,0.38663510387031186,0.38663510387031186,0.003839176535000715,0.003839176535000715,0.003839176535000715
pca100,0.737,0.1,1,1377,1377,1377,186,186,186,305,305,305,551,551,551,7512,7512,7512,4154,4154,4154,589,589,589,15.0,15.0,15.0,0.4268705885583915,0.4268705885583915,0.4268705885583915,0.023685919847102787,0.023685919847102787,0.023685919847102787
pca100,0.737,0.2,1,2069,2069,2069,136,136,136,435,435,435,1135,1135,1135,8273,8273,8273,3317,3317,3317,256,256,256,8.0,8.0,8.0,0.47117588212646533,0.47117588212646533,0.47117588212646533,0.047633099937985764,0.047633099937985764,0.047633099937985764
pca200-fullfit,0.686,0.05,1,847,847,847,223,223,223,173,173,173,299,299,299,5824,5824,5824,4069,4069,4069,1075,1075,1075,26.0,26.0,26.0,0.3899818764535782,0.3899818764535782,0.3899818764535782,0.024378888077723822,0.024378888077723822,0.024378888077723822
pca200-fullfit,0.686,0.1,5,1287.8,1274,1304,158.4,156,162,231.8,219,239,461.8,447,485,7840,7724,8058,4718.2,4547,5017,456,386,512,15.0,15.0,15.0,0.43517297013760187,0.43429451006375297,0.43599879901552635,0.05368013714999483,0.05196400094428627,0.05542093556009192
pca200-fullfit,0.686,0.2,1,1950,1950,1950,105,105,105,350,350,350,946,946,946,8789,8789,8789,3781,3781,3781,105,105,105,9.0,9.0,9.0,0.47958468106928165,0.47958468106928165,0.47958468106928165,0.0759794520955161,0.0759794520955161,0.0759794520955161
raw,0.7,0.05,1,518,518,518,455,455,455,76,76,76,138,138,138,3571,3571,3571,2545,2545,2545,3100,3100,3100,47.0,47.0,47.0,0.35065405875060507,0.35065405875060507,0.35065405875060507,0.01744167759456996,0.01744167759456996,0.01744167759456996
raw,0.7,0.1,1,827,827,827,296,296,296,102,102,102,242,242,242,5832,5832,5832,3886,3886,3886,1961,1961,1961,26.0,26.0,26.0,0.39323532869505623,0.39323532869505623,0.39323532869505623,0.04055821695118453,0.04055821695118453,0.04055821695118453
raw,0.7,0.2,5,1350.8,1336,1372,171.6,163,179,176.2,164,186,559.4,520,592,7639.2,7501,7779,4285.8,4114,4429,583.2,483,697,14.4,14.0,15.0,0.4394134955607934,0.4389019935867046,0.44058702255721766,0.05945483168072144,0.05858755900071488,0.06083456853093491
raw,0.725,0.05,1,978,978,978,251,251,251,257,257,257,391,391,391,6277,6277,6277,4478,4478,4478,1345,1345,1345,22.0,22.0,22.0,0.3964390811241196,0.3964390811241196,0.3964390811241196,0.02183880422640737,0.02183880422640737,0.02183880422640737
raw,0.725,0.1,5,1457.4,1437,1477,158,153,163,329.6,309,343,614.8,590,645,7916.8,7824,8078,4476.4,4395,4608,463.6,433,558,13.2,13.0,14.0,0.44242464338381915,0.4410071306789335,0.44341653190037905,0.054343942011688906,0.053129264493935936,0.05688119842249724
raw,0.725,0.2,5,2174.8,2159,2195,108.2,106,111,469.6,454,477,1231.6,1190,1264,8491.6,8347,8582,3425.6,3236,3604,108.2,106,111,8.0,8.0,8.0,0.48962710042598756,0.4890541307488297,0.4901117747404923,0.08081611501529476,0.0795932599843598,0.08161336181841733
raw,0.75,0.05,1,1792,1792,1792,164,164,164,750,750,750,1050,1050,1050,7882,7882,7882,4744,4744,4744,423,423,423,13.0,13.0,13.0,0.4430724272720235,0.4430724272720235,0.4430724272720235,0.025511980337924445,0.025511980337924445,0.025511980337924445
raw,0.75,0.1,1,2411,2411,2411,94,94,94,870,870,870,1450,1450,1450,8581,8581,8581,3444,3444,3444,0,0,0,8.0,8.0,8.0,0.49154707513329454,0.49154707513329454,0.49154707513329454,0.06836006571525016,0.06836006571525016,0.06836006571525016
raw,0.75,0.2,1,3256,3256,3256,70,70,70,1112,1112,1112,2386,2386,2386,8164,8164,8164,2124,2124,2124,0,0,0,5.0,5.0,5.0,0.5388493182341263,0.5388493182341263,0.5388493182341263,0.1011272869944172,0.1011272869944172,0.1011272869944172
