run,earliest_hsk_level,words,singletons,words_in_size_3_to_30
pca100-t0.737-r0.05-run01,1,503,14,204
pca100-t0.737-r0.05-run01,7-9,5592,131,3072
pca100-t0.737-r0.05-run01,5,1056,20,567
pca100-t0.737-r0.05-run01,6,1121,22,587
pca100-t0.737-r0.05-run01,2,744,9,352
pca100-t0.737-r0.05-run01,4,969,14,518
pca100-t0.737-r0.05-run01,3,951,25,518
pca100-t0.737-r0.1-run01,1,503,18,268
pca100-t0.737-r0.1-run01,7-9,5592,174,3904
pca100-t0.737-r0.1-run01,5,1056,20,740
pca100-t0.737-r0.1-run01,6,1121,21,774
pca100-t0.737-r0.1-run01,2,744,14,490
pca100-t0.737-r0.1-run01,4,969,19,669
pca100-t0.737-r0.1-run01,3,951,39,667
pca100-t0.737-r0.2-run01,1,503,22,303
pca100-t0.737-r0.2-run01,7-9,5592,243,4292
pca100-t0.737-r0.2-run01,5,1056,30,814
pca100-t0.737-r0.2-run01,6,1121,37,862
pca100-t0.737-r0.2-run01,2,744,26,544
pca100-t0.737-r0.2-run01,4,969,29,743
pca100-t0.737-r0.2-run01,3,951,48,715
pca200-fullfit-t0.686-r0.05-run01,1,503,14,202
pca200-fullfit-t0.686-r0.05-run01,7-9,5592,101,3024
pca200-fullfit-t0.686-r0.05-run01,5,1056,12,585
pca200-fullfit-t0.686-r0.05-run01,6,1121,11,597
pca200-fullfit-t0.686-r0.05-run01,2,744,6,325
pca200-fullfit-t0.686-r0.05-run01,4,969,9,532
pca200-fullfit-t0.686-r0.05-run01,3,951,20,559
pca200-fullfit-t0.686-r0.1-run01,1,503,14,284
pca200-fullfit-t0.686-r0.1-run01,7-9,5592,122,4069
pca200-fullfit-t0.686-r0.1-run01,5,1056,13,781
pca200-fullfit-t0.686-r0.1-run01,6,1121,26,809
pca200-fullfit-t0.686-r0.1-run01,2,744,10,523
pca200-fullfit-t0.686-r0.1-run01,4,969,12,709
pca200-fullfit-t0.686-r0.1-run01,3,951,22,721
pca200-fullfit-t0.686-r0.1-run02,1,503,13,284
pca200-fullfit-t0.686-r0.1-run02,7-9,5592,130,4000
pca200-fullfit-t0.686-r0.1-run02,5,1056,17,761
pca200-fullfit-t0.686-r0.1-run02,6,1121,27,800
pca200-fullfit-t0.686-r0.1-run02,2,744,8,497
pca200-fullfit-t0.686-r0.1-run02,4,969,14,687
pca200-fullfit-t0.686-r0.1-run02,3,951,26,713
pca200-fullfit-t0.686-r0.1-run03,1,503,16,285
pca200-fullfit-t0.686-r0.1-run03,7-9,5592,132,4178
pca200-fullfit-t0.686-r0.1-run03,5,1056,14,809
pca200-fullfit-t0.686-r0.1-run03,6,1121,24,836
pca200-fullfit-t0.686-r0.1-run03,2,744,11,518
pca200-fullfit-t0.686-r0.1-run03,4,969,15,705
pca200-fullfit-t0.686-r0.1-run03,3,951,27,727
pca200-fullfit-t0.686-r0.1-run04,1,503,14,283
pca200-fullfit-t0.686-r0.1-run04,7-9,5592,133,4004
pca200-fullfit-t0.686-r0.1-run04,5,1056,14,773
pca200-fullfit-t0.686-r0.1-run04,6,1121,18,804
pca200-fullfit-t0.686-r0.1-run04,2,744,9,513
pca200-fullfit-t0.686-r0.1-run04,4,969,16,692
pca200-fullfit-t0.686-r0.1-run04,3,951,24,711
pca200-fullfit-t0.686-r0.1-run05,1,503,13,284
pca200-fullfit-t0.686-r0.1-run05,7-9,5592,140,3988
pca200-fullfit-t0.686-r0.1-run05,5,1056,15,772
pca200-fullfit-t0.686-r0.1-run05,6,1121,19,791
pca200-fullfit-t0.686-r0.1-run05,2,744,9,498
