community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
128,175,0.41611853635974766,-0.03155268470214055,0.6342857142857142,沮丧 羞愧 气愤 诧异 惊讶 惋惜 难过 心疼 伤心 惭愧 茫然 吃惊,心里 反感 过意不去 自卑 惊叹 发脾气 介意 嘲笑,惊慌失措 怜惜 佩服 疲倦 吃惊 半信半疑 慌乱 抱怨 抱歉 犹豫 得意 沮丧,沮丧 羞愧 气愤 诧异 惊讶 惋惜 难过 心疼 伤心 惭愧 茫然 吃惊 惊诧 伤感 慌张 悔恨 生气 苦恼 失望 惊慌 悲哀 委屈 怨恨 愤怒 厌烦 痛心 怜惜 悲伤 自责 绝望 害怕 疑惑 叹气 焦躁 不安 难堪 焦急 胆怯 不解 嫉妒 欣慰 欣喜 烦躁 心酸 激动 难受 难为情 感激 恐惧 痛苦 扫兴 慌乱 为难 畏惧 好笑 妒忌 埋怨 失落 羡慕 不服气 惊奇 兴奋 责怪 害臊 后悔 不耐烦 愁眉苦脸 高兴 无奈 责备 忧愁 心慌 苦笑 困惑 不屑 垂头丧气 着急 悲痛 疲倦 轻蔑 狼狈 焦虑 自卑 敬佩 哭笑不得 泄气 反感 疲惫 无可奈何 灰心 感慨 纳闷儿 凄凉 哭泣 惊慌失措 尴尬 冷笑 烦闷 迷惑不解 得意 别扭 感动 自豪 震惊 歉意 奇怪 恨 遗憾 发愣 骄傲 气馁 犹豫 漠然 钦佩 迟疑 慌 忧虑 嫌弃 感到 嘲笑 害羞 哭 庆幸 消沉 好奇 忧郁 过意不去 畏缩 恼羞成怒 发怒 担心 惊叹 讥笑 恍然大悟 丢脸 耻笑 讨厌 流泪 留恋 孤单 孤独 抱怨 寂寞 佩服 呜咽 同情 安慰 目瞪口呆 恋恋不舍 抱歉 挂念 喜悦 大惊小怪 发抖 不已 介意 冤枉 感叹 怨气 恐慌 窘迫 心里 半信半疑 不以为然 得意扬扬 头疼 担忧 耻辱 怀疑 发脾气 大吃一惊 依依不舍 不满 压抑 面红耳赤,0.8851119679360916,0.8341968911917098,0.8514285714285714
69,165,0.41915822242526185,-0.00834763491672793,0.5151515151515151,米饭 豆腐 香肠 豆浆 卤味 饺子 薯条 酸奶 饼 粥 薯片 果酱,啤酒 味道 电饭锅 晚餐 桂花 碗 梨 煎,烧烤 汤圆 烤鸭 烤肉 勺 巧克力 淀粉 吃 咸 喝 嚼 奶,米饭 豆腐 香肠 豆浆 卤味 饺子 薯条 酸奶 饼 粥 薯片 果酱 橙汁 酱 芝士 饼干 菜 馅儿 海鲜 面条儿 水果 红薯 汁 果汁 包子 南瓜 肉 牛奶 烤肉 辣椒 佐料 汤圆 西红柿 好吃 调料 茄子 馒头 酥 面包 罐头 吃 烤 点心 蜂蜜 醋 可口 煮 炖 香油 黄瓜 火锅 白菜 饭 火腿 酱油 甜 巧克力 美味 小吃 土豆 柿子 红茶 寿司 豆制品 口感 鲜美 碗 奶茶 烤鸭 主食 香蕉 麻辣 鸡蛋 蒜 蔬菜 涮 番茄 咖啡 砂糖 萝卜 食物 红酒 虾 零食 花生 月饼 蘸 葱 拌 冰棍儿 辣 煎 面粉 烧烤 椰子 汤 中餐 蘑菇 粽子 三明治 饮料 西餐 茶 西瓜 风味 核桃 香味 早饭 汽水 口味 绿茶 嚼 桂花 糖 香 脆 香料 方便面 可乐 喝 蛋糕 烹调 味精 糖果 早餐 莲子 食用 热腾腾 勺 盒饭 美食 味道 晚餐 开水 奶 品尝 蒸 鸡 锅 快餐 电饭锅 豆子 茶叶 大米 啤酒 枣 素食 煲 午餐 糊 馋 梨 食品 熟 蛋 嫩 瓜 腥 咸 葡萄 淀粉 年夜饭 餐 料理 芝麻,0.9803304125593282,0.9757575757575757,0.9515151515151515
26,140,0.43701036364944845,-0.0015890466114011693,0.5,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶 妈妈 爸 母亲 闺女,亲属 老王 她们 战友 宝宝 朋友 女生 子女,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶 妈妈 爸 母亲 闺女 姥姥 弟弟 父亲 爷爷 媳妇 女儿 儿子 老婆 妈 爹 姥爷 伯母 叔叔 外婆 大姐 孙女 父母 伯父 老公 丈夫 外公 阿姨 大哥 妻子 岳母 祖母 孩子 岳父 亲戚 老太太 长辈 家人 姐 大爷 她 太太 伯伯 男朋友 继父 女朋友 娘 孙子 老伴儿 女婿 继母 爱人 姑娘 小孩儿 姨 老头儿 妹 丫头 邻居 师父 老乡 亲人 老人家 朋友 弟 同学 女孩儿 大人 老汉 大妈 儿女 两口子 他 我 老人 亲生 小伙子 老师 你 男人 女人 祖父 家里 师傅 同事 母女 寡妇 姐妹 贪玩儿 一家人 男孩儿 小偷儿 老家 俩 徒弟 人家 同伴 她们 家伙 恩人 保姆 老王 胖子 女生 小朋友 别人 男生 战友 宝宝 亲友 老大 父女 老板 新娘 小时候 仇人 乡亲 小姐 娶 亲朋好友 情人 全家 哥 主人 乡下 家长 子女 乖 帅哥 夫人 母子 班长 亲属 父子,0.973578189865274,0.965034965034965,0.9714285714285714
189,109,0.4102846519933344,-0.036490548998197245,0.6972477064220184,谦逊 善良 和蔼 温柔 聪明 谦虚 耿直 豁达 倔强 乖巧 高傲 开朗,灵巧 笑容 客气 心肠 神气 自信 傲慢 坚韧,正直 胆小 诚恳 坦率 坦然 爽快 爱面子 含蓄 倔 粗鲁 俊俏 光明磊落,谦逊 善良 和蔼 温柔 聪明 谦虚 耿直 豁达 倔强 乖巧 高傲 开朗 文雅 沉稳 稳重 诚恳 礼貌 朴实 刚毅 粗鲁 彬彬有礼 老实 风趣 天真 英俊 幽默 冷酷 纯朴 冷漠 暴躁 慈祥 奸诈 俊俏 世故 性格 诚实 调皮 敦厚 勇敢 正直 懂事 顽皮 固执 潇洒 机灵 性情 活泼 坦率 体贴 可爱 仁慈 胆小 友善 讨人喜欢 厚道 大大咧咧 客气 听话 含蓄 傲慢 机智 精明 宽容 坦诚 凶狠 勤快 坚韧 真诚 鲁莽 脾气 冷静 娇气 小气 宽厚 倔 孝顺 风度 勤奋 得体 自信 为人 好学 大方 神气 沉着 举止 和气 爱面子 勤劳 娇惯 光明磊落 镇定 理智 坦然 心肠 淘气 爽快 硬朗 足智多谋 灵巧 笑容 好客 叛逆 慷慨 平和 个性 严肃 从容 心灵手巧,0.6876872021783527,0.33076923076923076,0.3486238532110092
572,94,0.4096697763343536,-0.03129529627719354,0.6382978723404256,踹 拧 拽 搓 捏 磕 蹦 捅 叼 揍 摔 扔,捉 逮 捡 躲 蹲 吓 捞 绑,兜 刮 劈 叼 吹 吐 吓 呛 咬 啃 夹 弄,踹 拧 拽 搓 捏 磕 蹦 捅 叼 揍 摔 扔 搂 咬 蹬 揪 扯 拎 砸 甩 捶 踢 敲 舔 摸 擦 扒 抠 掐 掰 蹭 劈 揉 抖 碰 撕 抡 瞅 溜 揣 撞 躺 掏 扳 爬 打 扛 挠 砍 骂 耍 搀 捡 吓 晃 搅 缠 捞 趴 弄 拦 抱 绷 滚 拉 绑 搁 挤 刮 挨 扑 跳 撑 踩 泼 啃 吐 蹲 兜 躲 逮 憋 吹 捉 拖 夹 呛 裹 扭 沾 捂 握 抓 轰,0.8211212444800831,0.7547169811320755,0.8085106382978723
132,90,0.4207645552335021,-0.030536902615944297,0.5888888888888889,就算 毕竟 难道 何况 也许 反正 可是 要不然 但是 虽说 要是 其实,不管 所以 倘若 如果 不光 说到底 假如 那时候,说到底 如果 纵然 倘若 按说 是不是 那时候 偏偏 幸好 真的 尤其 但,就算 毕竟 难道 何况 也许 反正 可是 要不然 但是 虽说 要是 其实 不然 只不过 当然 哪怕 好像 纵然 如果 说不定 别说 要不 既然 幸好 好歹 况且 即使 即便 不过 虽然 看样子 因为 幸亏 但 说实话 而且 要不是 假如 明明 说真的 恐怕 按说 没准儿 所以 如果说 好在 可惜 偏偏 莫非 真的 果然 怪不得 或许 那 倘若 据说 觉得 是不是 难怪 按理说 假使 但愿 实际上 不光 说白了 起码 不如说 本来 那么 不管 那时候 只要 除非 仿佛 没想到 怕 敢情 当真 顶多 这会儿 尤其 大概 知道 要么 以为 简直 说到底 唯独 尽管 至于,0.8572356630824373,0.5916666666666667,0.7555555555555555
100,81,0.44963731489974934,0.03856495491934159,0.43209876543209874,衬衣 毛衣 大衣 衬衫 衣服 袜子 裙子 裤子 外套 上衣 围巾 短裤,穿 帽子 口罩 绳子 手套 铅笔 时装 眼镜,眼镜 铅笔 背包 背心 枕头 拖鞋 穿 婚纱 内衣 沐浴露 睡袋 纽扣,衬衣 毛衣 大衣 衬衫 衣服 袜子 裙子 裤子 外套 上衣 围巾 短裤 拖鞋 牛仔裤 鞋 西装 皮鞋 领带 凉鞋 羽绒服 内衣 雨衣 球鞋 背心 毛巾 手套 毯子 穿着 旗袍 礼服 衣架 皮包 被子 高跟鞋 帽子 睡袋 手帕 蚊帐 服装 窗帘 枕头 纽扣 拉锁 梳子 靴子 项链 穿 口罩 书包 款式 牙刷 水壶 服饰 地毯 婚纱 首饰 背包 眼镜 外衣 皮带 绷带 扇子 制服 发型 辫子 肥皂 沐浴露 兜儿 绳子 保暖 手表 铅笔 装扮 打扮 刷子 尼龙 时装 洗衣粉 戒指 香水 透气,0.8081536461720533,0.5573770491803278,0.7160493827160493
308,77,0.4349635622998819,0.012235952159336524,0.44155844155844154,柜子 桌子 屋子 窗子 书桌 凳子 椅子 窗台 窗户 书橱 卧室 房间,病房 水管 楼房 盘子 木头 炉灶 地下室 床,卫生间 寝室 脸盆 宿舍 洗手间 阳台 抽屉 盒子 墙 屋 床 瓶子,柜子 桌子 屋子 窗子 书桌 凳子 椅子 窗台 窗户 书橱 卧室 房间 书柜 客厅 墙壁 写字台 楼道 阳台 卫生间 院子 书架 过道 浴室 箱子 书房 楼梯 抽屉 厨房 沙发 藤椅 垫子 洗手间 帘子 帐子 杯子 寝室 教室 木板 栏杆 宿舍 脸盆 马桶 梯子 厕所 柱子 炉子 台灯 床 地板 防盗门 墙 镜子 笼子 地下室 炉灶 水槽 围墙 楼房 黑板 棺材 病房 架子 盖子 瓶子 池子 木头 屋顶 屋 盒子 楼 餐桌 盘子 走廊 电梯 水管 办公室 本子,0.770866561377934,0.45918367346938777,0.5194805194805194
208,76,0.44232729354776024,0.04756285038581537,0.3157894736842105,胳膊 手臂 脖子 嘴唇 手掌 鼻子 脸颊 肩膀 舌头 嘴巴 手指 爪子,眼神 睁 鼻涕 身体 眼 伤口 筷子 动弹,爪子 红扑扑 叉子 肚子 浑身 肢体 把手 脖子 吻 嘴 头 伸,胳膊 手臂 脖子 嘴唇 手掌 鼻子 脸颊 肩膀 舌头 嘴巴 手指 爪子 腿 身子 脑袋 眼睛 耳朵 喉咙 胸膛 膝盖 手腕 眉毛 双手 肚子 颈部 嘴 指头 胸部 身躯 脸 腰 指甲 把手 头发 身体 脚 手脚 腹部 浑身 钳子 怀里 用力 头顶 全身 抚摸 哆嗦 牙齿 嗓子 骨头 拳头 使劲 伤口 尾巴 棍子 睁 颤抖 眼 鼻涕 肢体 眼神 肩 红扑扑 惨白 通红 手 面部 叉子 两手 头 伸 筷子 吻 头部 动弹 翅膀 胡子,0.8374609515799591,0.7816091954022989,0.8552631578947368
131,73,0.4168133697950999,-0.015581947656336118,0.6027397260273972,哎 唉 哎呀 呀 啊 嘛 哈哈 没事儿 哼 闹着玩儿 嘿 没劲,你们 不行 请坐 笨蛋 胡闹 好说 说 傻,没关系 拜托 没意思 不像话 不要紧 吹牛 傻 笨蛋 吧 呀 咱 哎,哎 唉 哎呀 呀 啊 嘛 哈哈 没事儿 哼 闹着玩儿 嘿 没劲 哇 吧 咱 好玩儿 没说的 没意思 再说 啦 废话 挺好 没关系 离谱儿 你们 聊天儿 哦 干吗 玩儿 不要紧 瞧 丢人 没错 人缘儿 实话 不行 胡闹 说 傻 活该 没辙 快点儿 不好意思 不像话 玩意儿 拜托 没用 好说 咱们 不敢当 碍事 笨蛋 胡说 瞎 对不起 请坐 难听 有两下子 实话实说 开玩笑 吹牛 说老实话 逗 算了 好听 好家伙 真 逞能 喂 絮叨 唠叨 说闲话 岂有此理,0.6241724392180853,0.59375,0.7534246575342466
