name,embedding,threshold,raw_cosine_cutoff,resolution,gamma,theta,quality,repeat,graph,elapsed_seconds,n,communities,median_size,largest,singletons,words_in_pairs,words_in_3_to_30,words_in_over_100,mean_pair_cosine_word_weighted_nonsingletons,mean_cosine_silhouette_original_300d,negative_silhouette_fraction,word_weighted_median_cluster_size,words_in_1_to_2,words_in_3_to_9,words_in_10_to_30,words_in_31_to_100,cpm_objective_same_graph_and_resolution_only,fraction_graph_edges_within_communities,disconnected_communities
pca100-t0.737-r0.05-run01,pca100,0.737,0.474,0.05,0.05,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca100-t0.737.graphml,114.568969542,10936,922,6,275,235,110,5818,1328,0.38663510387031186,0.003839176535000715,0.49067300658376006,24.0,345,1841,3977,3445,44412.07998588085,0.5735459721803676,0
pca100-t0.737-r0.1-run01,pca100,0.737,0.474,0.1,0.1,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca100-t0.737.graphml,92.920585792,10936,1377,4,186,305,246,7512,589,0.4268705885583915,0.023685919847102787,0.42346378931967815,15.0,551,3358,4154,2284,35162.986329615116,0.5065504607527479,0
pca100-t0.737-r0.2-run01,pca100,0.737,0.474,0.2,0.2,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca100-t0.737.graphml,76.687539875,10936,2069,3,136,435,700,8273,256,0.47117588212646533,0.047633099937985764,0.35341989758595466,8.0,1135,4956,3317,1272,24081.159255445004,0.4081508033434313,0
pca200-fullfit-t0.686-r0.05-run01,pca200-fullfit,0.686,0.3720000000000001,0.05,0.05,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,117.696750584,10936,847,7,223,173,126,5824,1075,0.3899818764535782,0.024378888077723822,0.4173372348207754,26.0,299,1755,4069,3738,37923.80416008532,0.5308298745382803,0
pca200-fullfit-t0.686-r0.1-run01,pca200-fullfit,0.686,0.3720000000000001,0.1,0.1,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,93.505277333,10936,1274,5,156,219,228,7896,386,0.4350062599534208,0.0539790709756075,0.3213240673006584,15.0,447,3140,4756,2207,29463.141219031808,0.44632238857691914,0
pca200-fullfit-t0.686-r0.1-run02,pca200-fullfit,0.686,0.3720000000000001,0.1,0.1,0.3,CPM,2,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,93.010215292,10936,1304,5,157,235,250,7742,484,0.4355412148578094,0.05196400094428627,0.3261704462326262,15.0,485,3163,4579,2225,29513.545532888173,0.449126178418694,0
pca200-fullfit-t0.686-r0.1-run03,pca200-fullfit,0.686,0.3720000000000001,0.1,0.1,0.3,CPM,3,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,94.116021375,10936,1286,5,162,239,224,8058,512,0.43599879901552635,0.05542093556009192,0.3155632772494514,15.0,463,3041,5017,1903,29539.952950420975,0.4492049365603169,0
pca200-fullfit-t0.686-r0.1-run04,pca200-fullfit,0.686,0.3720000000000001,0.1,0.1,0.3,CPM,4,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,94.195477875,10936,1285,5,160,228,236,7780,505,0.4350240667974999,0.05397324998255285,0.32260424286759326,15.0,464,3088,4692,2187,29501.20203099549,0.451032125445968,0
pca200-fullfit-t0.686-r0.1-run05,pca200-fullfit,0.686,0.3720000000000001,0.1,0.1,0.3,CPM,5,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,92.81569325000001,10936,1290,5,157,238,212,7724,393,0.43429451006375297,0.05306342828743563,0.32461594732991955,15.0,450,3177,4547,2369,29604.75284996033,0.4529538241015665,0
pca200-fullfit-t0.686-r0.2-run01,pca200-fullfit,0.686,0.3720000000000001,0.2,0.2,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/pca200-fullfit-t0.686.graphml,79.996970375,10936,1950,4,105,350,596,8789,105,0.47958468106928165,0.0759794520955161,0.2551207022677396,9.0,946,5008,3781,1096,20132.304834768176,0.3673358483433225,0
