community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,4,0.4093185896728127,-0.18814433826508792,1.0,几 一 了 过,了 一 几 过,几 了 一 过,几 一 了 过
2,10,0.4532062965662733,0.07456512185069353,0.3,全都 统统 全部 通通 所有 一切 一概 完全 全 一一,一切 所有 全 完全 一一 一概 全部 通通,全 通通 完全 所有 统统 全都 全部 一概 一切 一一,全都 统统 全部 通通 所有 一切 一概 完全 全 一一
3,39,0.4389586541993159,0.0073434010390387265,0.5384615384615384,急忙 赶忙 连忙 立刻 慌忙 赶紧 忽然 猛然 马上 立即 忍不住 突然,来不及 不约而同 悄悄 大声 果断 一会儿 使劲 匆忙,慌忙 便 一会儿 立刻 立即 禁不住 不禁 不由自主 来不及 果断 连忙 火速,急忙 赶忙 连忙 立刻 慌忙 赶紧 忽然 猛然 马上 立即 忍不住 突然 随即 情不自禁 当即 不由得 顿时 毫不犹豫 不禁 禁不住 赶快 不由自主 下意识 悄悄 一下子 不假思索 迫不及待 灵机一动 便 大声 匆匆 火速 不一会儿 匆忙 一会儿 不约而同 使劲 来不及 果断
4,15,0.4281138279437832,0.02556723533243012,0.4,难免 不免 免得 生怕 免不了 以免 怕 未免 不至于 一不小心 容易 不可避免,万一 容易 或多或少 不可避免 着实 怕 一不小心 不至于,不免 一不小心 以免 怕 免得 或多或少 不可避免 着实 生怕 免不了 未免 容易,难免 不免 免得 生怕 免不了 以免 怕 未免 不至于 一不小心 容易 不可避免 着实 万一 或多或少
5,22,0.39524862580706843,0.0051744133343351794,0.45454545454545453,接连 屡次 多次 频频 再度 再次 相继 先后 一再 屡 接二连三 连续,一连 正式 首次 一举 一度 频繁 三番五次 连续,屡 频繁 一连 三番五次 曾 连续 再度 再次 多次 接二连三 陆续 相继,接连 屡次 多次 频频 再度 再次 相继 先后 一再 屡 接二连三 连续 曾 陆续 首次 三番五次 频繁 一度 率先 一连 一举 正式
6,4,0.5955498050476428,0.32438695811373075,0.0,一言一行 言行 一举一动 所作所为,一举一动 所作所为 言行 一言一行,言行 一举一动 所作所为 一言一行,一言一行 言行 一举一动 所作所为
7,9,0.40401757569319796,-0.0035417232591745274,0.5555555555555556,一事无成 一无所有 无所作为 无所事事 无能为力 一无所知 身不由己 任人宰割 到头来,到头来 身不由己 任人宰割 一无所知 无能为力 无所事事 一事无成 一无所有,无所作为 无能为力 身不由己 到头来 一无所知 无所事事 一无所有 一事无成 任人宰割,一事无成 一无所有 无所作为 无所事事 无能为力 一无所知 身不由己 任人宰割 到头来
8,11,0.42158405487074707,-0.03212709170099325,0.6363636363636364,一些 那些 些 好多 哪些 别的 这些 多少 有没有 其他 还有,其他 别的 这些 还有 哪些 多少 有没有 一些,有没有 些 哪些 那些 别的 还有 这些 多少 好多 其他 一些,一些 那些 些 好多 哪些 别的 这些 多少 有没有 其他 还有
9,16,0.39743428936290226,0.0070497993367664965,0.4375,后代 子孙 祖先 后裔 祖宗 辈 后人 世代 一代 家族 血缘 代,古人 后人 圣贤 下一代 血缘 家族 族 代,祖先 祖宗 子孙 代 族 古人 后人 后代 世代 辈 下一代 圣贤,后代 子孙 祖先 后裔 祖宗 辈 后人 世代 一代 家族 血缘 代 下一代 族 圣贤 古人
10,7,0.40376134922234674,0.02138240259757637,0.2857142857142857,融合 相辅相成 结合 有机 互补 一体 载体,载体 互补 相辅相成 有机 结合 一体 融合,载体 有机 相辅相成 融合 互补 结合 一体,融合 相辅相成 结合 有机 互补 一体 载体
11,16,0.46391560077242566,0.10827027478792947,0.25,共计 总共 总计 一共 共 约 合计 大约 累计 共有 仅 平均,平均 折合 近 将近 分别 大约 累计 总计,共有 共 仅 约 总共 总计 合计 大约 近 折合 将近 共计,共计 总共 总计 一共 共 约 合计 大约 累计 共有 仅 平均 折合 将近 近 分别
12,8,0.4223728647983949,0.0032222769651156554,0.5,一瞬间 一刹那 瞬间 一晃 转眼 眼前 此刻 看得见,看得见 一晃 转眼 此刻 眼前 瞬间 一刹那 一瞬间,一瞬间 瞬间 看得见 眼前 转眼 此刻 一晃 一刹那,一瞬间 一刹那 瞬间 一晃 转眼 眼前 此刻 看得见
13,16,0.45712961417323067,0.04906849273367135,0.375,睡 躺 蹲 坐 睡着 卧 坐下 一动不动 站立 呆 仰 酣睡,歇 酣睡 窝 坐下 一动不动 倚 呆 睡着,倚 卧 呆 坐 仰 窝 站 睡 睡着 酣睡 一动不动 歇,睡 躺 蹲 坐 睡着 卧 坐下 一动不动 站立 呆 仰 酣睡 倚 歇 站 窝
14,2,0.54975466557107,0.14663348076168836,0.0,一部分 一半,一半 一部分,一部分 一半,一部分 一半
15,34,0.38589113252358986,-0.014649608452467754,0.5294117647058824,身份证 证件 存折 护照 银行卡 支票 发票 挂失 收据 凭证 车票 卡片,钱包 许可证 车票 证书 号码 钞票 签证 牌照,取款 签证 密码 卡 钱包 挂失 邮票 一卡通 彩票 取款机 印章 信用卡,身份证 证件 存折 护照 银行卡 支票 发票 挂失 收据 凭证 车票 卡片 通行证 磁卡 一卡通 信用卡 钞票 取款 欠条 驾照 借条 印章 签证 证书 密码 执照 号码 取款机 钱包 卡 彩票 邮票 许可证 牌照
16,7,0.4052683625833322,-0.015793740217237315,0.5714285714285714,终于 总算 竟 又 了却 早就 一口气,早就 一口气 了却 总算 又 竟 终于,又 竟 总算 一口气 了却 早就 终于,终于 总算 竟 又 了却 早就 一口气
17,9,0.47005694456947045,0.00761823363679083,0.3333333333333333,实话 话 一句话 废话 心里话 的话 实话实说 道理 俗话,俗话 心里话 道理 一句话 废话 实话实说 实话 的话,心里话 实话实说 俗话 废话 话 一句话 的话 实话 道理,实话 话 一句话 废话 心里话 的话 实话实说 道理 俗话
18,4,0.5780047404975441,0.24882973114355317,0.25,携手 共同 联手 一同,一同 联手 共同 携手,联手 共同 携手 一同,携手 共同 联手 一同
19,16,0.47195034353041,0.11046551176615514,0.25,始终 依然 依旧 仍旧 仍然 一直 一向 向来 一贯 仍 历来 自始至终,丝毫 历来 自始至终 一如既往 多年来 长期以来 一贯 向来,始终 历来 仍然 一贯 仍 仍旧 丝毫 多年来 一如既往 长期以来 向来 依旧,始终 依然 依旧 仍旧 仍然 一直 一向 向来 一贯 仍 历来 自始至终 长期以来 一如既往 多年来 丝毫
