community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,4,4,0.5003599151968956,True
2,10,21,0.36848044958379533,True
3,39,329,0.3522717713022683,True
4,15,46,0.3458760454541161,True
5,22,98,0.3364605912011423,True
6,4,6,0.7984100058674812,True
7,9,13,0.27756213810708785,True
8,11,23,0.31881133697249675,True
9,16,50,0.3268167826036612,True
10,7,16,0.5857925017674764,True
11,16,74,0.4997958389421304,True
12,8,15,0.42527933259095463,True
13,16,58,0.37932896204292776,True
14,2,1,0.7893083095550537,True
15,34,218,0.3045526158841536,True
16,7,10,0.36823691782497225,True
17,9,21,0.46113666312562096,True
18,4,5,0.6849857866764069,True
19,16,64,0.4383594892919064,True
20,14,34,0.2926859261242898,True
21,3,3,0.7948128581047058,True
22,3,3,0.7714485128720602,True
23,26,163,0.3892559195940311,True
24,41,420,0.4150603817003529,True
25,27,154,0.3494642200293364,True
26,1,0,,True
27,1,0,,True
28,121,3658,0.403831887612576,True
29,8,14,0.39148266134517534,True
30,8,13,0.3638156173484666,True
31,4,3,0.3866111487150192,True
32,2,1,0.9162676334381104,True
33,15,56,0.42438072718325115,True
34,16,53,0.34570413529872895,True
35,12,32,0.3797906738790599,True
36,2,1,0.7522238790988922,True
37,27,154,0.34301580132072806,True
38,4,4,0.5329727257291476,True
39,7,11,0.40021811993349166,True
40,186,6290,0.28611395231117104,True
41,52,592,0.3551330348620048,True
42,8,16,0.4566079191863537,True
43,1,0,,True
44,15,44,0.33839673343158905,True
45,3,3,0.7945718467235565,True
46,16,65,0.4348375638326009,True
47,1,0,,True
48,6,7,0.35987629890441897,True
49,18,74,0.3793494447189219,True
50,64,756,0.293828975091437,True
51,12,25,0.297626726780877,True
52,2,1,0.7719607651233673,True
53,5,5,0.37412562817335127,True
54,10,21,0.3635720372200012,True
55,14,35,0.30240266549063255,True
56,7,7,0.26273182602155776,True
57,6,7,0.3539753357569377,True
58,1,0,,True
59,20,93,0.39060807165346645,True
60,21,100,0.3745170586875507,True
61,12,30,0.36088128320195456,True
62,22,82,0.27984322962306796,True
63,5,4,0.29726898223161696,True
64,1,0,,True
65,1,0,,True
66,8,14,0.3941466893468584,True
67,28,161,0.3353129611917274,True
68,3,2,0.5105525503555933,True
69,22,84,0.28363355484617736,True
70,7,12,0.44970008447056725,True
71,2,1,0.7401721477508545,True
72,13,42,0.4454986411027419,True
73,6,11,0.5883098820845286,True
74,1,0,,True
75,1,0,,True
76,1,0,,True
77,1,0,,True
78,6,6,0.3044636517763138,True
79,178,6689,0.3347299034778015,True
80,10,23,0.3986422214243147,True
81,24,132,0.37046616751214734,True
82,4,3,0.3748583495616913,True
83,31,236,0.405150735730766,True
84,43,389,0.3405744663108623,True
85,33,248,0.3697743471147436,True
86,16,57,0.3741750832647085,True
87,7,11,0.4143601471469516,True
88,77,1088,0.2910294129334324,True
89,6,6,0.29876401225725807,True
90,28,150,0.30713293819673476,True
91,12,25,0.2978190653251879,True
92,3,2,0.5477184951305389,True
93,24,127,0.3600903267877689,True
94,98,1723,0.2856071963357644,True
95,8,10,0.27665758824774195,True
96,8,13,0.35973289608955383,True
97,4,3,0.38073323170344037,True
98,7,14,0.5342943455491748,True
99,5,6,0.46814338862895966,True
100,16,45,0.2928615135451158,True
101,39,226,0.2364698554340162,True
102,26,156,0.3783410597764529,True
103,21,104,0.3847493099314826,True
104,18,58,0.2978672195298999,True
105,7,9,0.32874931962717147,True
106,2,1,0.7628650665283203,True
107,78,1522,0.40573672692735235,True
108,33,256,0.38443815733560105,True
109,4,4,0.5191995327671369,True
110,2,1,0.7839616239070892,True
111,4,3,0.37671704093615216,True
112,5,5,0.4166352957487106,True
113,9,21,0.4635434506667985,True
114,1,0,,True
115,4,3,0.3821954280138016,True
116,14,38,0.3308015071101241,True
117,4,3,0.3846311867237091,True
118,12,36,0.43387725813822314,True
119,6,7,0.3572446386019389,True
120,6,8,0.4185340126355489,True
121,4,4,0.5203310151894888,True
122,19,82,0.37540148503599113,True
123,9,16,0.34911973360511994,True
124,2,1,0.784989207983017,True
125,3,2,0.49275708695252735,True
126,25,125,0.3276438362896442,True
127,27,149,0.3422132348827487,True
128,16,57,0.37166206948459146,True
129,18,56,0.2853158623759263,True
130,27,152,0.3404847434018752,True
131,5,4,0.3034838572144508,True
132,12,29,0.3452382835023331,True
133,13,42,0.41648846367994946,True
134,104,1860,0.2714209319735704,True
135,2,1,0.7850911021232605,True
136,9,19,0.4198487057454056,True
137,4,4,0.5089127024014791,True
138,6,7,0.3606501787900925,True
139,22,101,0.3458754543489192,True
140,40,264,0.2653022861824586,True
141,8,19,0.5463689368750367,True
142,8,17,0.5070740713604859,True
143,8,12,0.33438935982329504,True
144,28,136,0.2843819048511919,True
145,1,0,,True
146,1,0,,True
147,4,3,0.38065623492002487,True
148,45,404,0.3204508878967979,True
149,2,1,0.7402189821004868,True
150,20,75,0.3076876474838508,True
151,25,118,0.3104088274637858,True
152,4,4,0.5034837598601977,True
153,16,58,0.37679392273227374,True
154,18,84,0.44108839167488945,True
155,7,11,0.4112836463110788,True
156,8,19,0.5349373833409378,True
157,6,9,0.47895892759164177,True
158,11,23,0.3266262089664286,True
159,14,45,0.3904830194436587,True
160,4,3,0.3880484774708748,True
161,12,39,0.46518000124981906,True
162,7,12,0.44607441198258174,True
163,3,2,0.49648723502953845,True
164,7,8,0.2931149232955206,True
165,1,0,,True
166,21,110,0.4245334645821935,True
167,7,11,0.41797287620249246,True
168,10,29,0.5115789886977937,True
169,2,1,0.7392379641532898,True
170,1,0,,True
171,5,8,0.6303744837641716,True
172,9,15,0.3216411765250895,True
173,49,329,0.2177732558350782,True
174,5,5,0.3722284123301506,True
175,17,78,0.45252679891007785,True
176,14,50,0.4241300703405024,True
177,11,27,0.38997255184433677,True
178,7,11,0.40995961072899045,True
179,6,7,0.36368749340375267,True
180,5,4,0.3145618200302124,True
181,15,56,0.41894920014199755,True
182,43,395,0.34865625899033426,True
183,8,11,0.30472375825047493,True
184,4,3,0.3781460002064705,True
185,25,172,0.4572475874423981,True
186,27,190,0.42333999276161194,True
187,10,20,0.3516762726836734,True
188,3,2,0.5101182262102762,True
189,20,76,0.31247993723342293,True
190,50,498,0.31541938730648583,True
191,9,19,0.40642112493515015,True
192,38,370,0.4180903108750773,True
193,8,18,0.51400718412229,True
194,1,0,,True
