token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,23
一大早,24
一天到晚,25
一头,26
一如既往,20
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,22
一年到头,25
一应俱全,31
一度,13
一律,32
一心,33
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,41
一无所知,42
一旦,43
一早,24
一时,44
一晃,3
一样,45
一概,2
一概而论,46
一模一样,47
一次性,48
一毛不拔,49
一流,50
一点儿,51
一生,52
一番,53
一目了然,54
一直,20
一眼,55
一瞬间,3
一筹莫展,56
一系列,57
一线,58
一经,59
一致,60
一般,61
一般来说,39
一行,62
一言一行,6
一言不发,23
一贯,20
一起,19
一路,63
一路上,63
一路平安,64
一路顺风,64
一身,65
一辈子,52
一边,66
一连,67
一连串,57
一道,68
一部分,16
一锅粥,69
一长一短,70
一阵,71
一面,72
一鼓作气,5
一齐,19
丁,73
七,74
七嘴八舌,75
万,76
万一,4
万万,77
万分,78
万古长青,79
万无一失,80
万能,81
丈夫,28
三,74
三明治,82
三番五次,13
三维,83
三角,84
上,85
上下,86
上个月,87
上任,88
上升,89
上午,24
上去,90
上台,91
上司,37
上周,87
上场,91
上头,40
上学,92
上岗,93
上市,94
上帝,95
上当,96
上报,97
上方,98
上旬,87
上映,99
上期,100
上来,90
上楼,90
上次,101
上流,102
上涨,89
上游,103
上演,104
上火,105
上班,24
上班族,106
上瘾,107
上空,108
上级,37
上网,109
上衣,110
上诉,111
上课,112
上调,89
上车,113
上边,40
上述,114
上门,115
上限,116
上面,40
下,117
下一代,9
下个月,118
下乡,119
下令,120
下决心,121
下功夫,122
下午,24
下去,123
下台,124
下场,125
下坠,126
下属,127
下山,128
下岗,129
下意识,130
下手,131
下旬,87
下期,100
下来,90
下棋,132
下楼,24
下次,118
下海,128
下游,103
下班,24
下级,37
下落,133
下课,124
下调,89
下跌,89
下车,134
下载,135
下边,40
下降,89
下雨,136
下雪,136
下面,40
不,137
不一会儿,10
不一定,138
不为人知,139
不久,140
不了了之,141
不予,142
不亚于,143
不亦乐乎,144
不仅,145
不仅仅,138
不以为然,146
不但,145
不便,147
不值,148
不假思索,130
不停,66
不像话,149
不光,138
不免,150
不再,151
不准,32
不利,152
不利于,152
不可思议,153
不可避免,150
不同,47
不同寻常,153
不在乎,154
不堪,155
不够,156
不大,157
不好意思,158
不如,143
不如说,138
不妨,159
不安,160
不定,161
