token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,8
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,16
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,22
一年到头,24
一应俱全,30
一度,13
一律,14
一心,31
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,43
一次性,45
一毛不拔,46
一流,47
一点儿,48
一生,49
一番,50
一目了然,51
一直,20
一眼,52
一瞬间,15
一筹莫展,53
一系列,54
一线,55
一经,56
一致,57
一般,8
一般来说,58
一行,59
一言一行,6
一言不发,16
一贯,20
一起,19
一路,29
一路上,60
一路平安,61
一路顺风,61
一身,11
一辈子,62
一边,63
一连,64
一连串,54
一道,65
一部分,8
一锅粥,66
一长一短,67
一阵,68
一面,63
一鼓作气,5
一齐,3
丁,69
七,70
七嘴八舌,71
万,72
万一,73
万万,74
万分,75
万古长青,28
万无一失,76
万能,77
丈夫,27
三,70
三明治,78
三番五次,13
三维,79
三角,80
上,81
上下,82
上个月,83
上任,84
上升,85
上午,23
上去,86
上台,87
上司,88
上周,83
上场,89
上头,39
上学,90
上岗,91
上市,92
上帝,93
上当,94
上报,95
上方,96
上旬,83
上映,97
上期,98
上来,86
上楼,86
上次,99
上流,100
上涨,85
上游,101
上演,102
上火,103
上班,104
上班族,105
上瘾,106
上空,107
上级,88
上网,108
上衣,109
上诉,110
上课,90
上调,85
上车,111
上边,39
上述,112
上门,113
上限,114
上面,39
下,115
下一代,9
下个月,83
下乡,116
下令,117
下决心,117
下功夫,118
下午,23
下去,86
下台,87
下场,89
下坠,119
下属,120
下山,86
下岗,91
下意识,3
下手,121
下旬,83
下期,98
下来,86
下棋,122
下楼,86
下次,123
下海,124
下游,101
下班,23
下级,88
下落,125
下课,126
下调,85
下跌,85
下车,111
下载,127
下边,39
下降,85
下雨,128
下雪,128
下面,39
不,20
不一会儿,129
不一定,130
不为人知,131
不久,129
不了了之,132
不予,2
不亚于,133
不亦乐乎,134
不仅,38
不仅仅,130
不以为然,135
不但,38
不便,136
不值,137
不假思索,3
不停,63
不像话,22
不光,130
不免,138
不再,62
不准,139
不利,140
不利于,141
不可思议,142
不可避免,138
不同,43
不同寻常,43
不在乎,143
不堪,144
不够,145
不大,145
不好意思,146
不如,147
不如说,130
不妨,148
不安,149
不定,150
