community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,1,1.0,1.0,1.0
1,1,1.0,1.0,1.0
2,14,0.5222222222222223,0.2777777777777778,0.2857142857142857
3,39,0.6263370732908549,0.5306122448979592,0.5641025641025641
4,14,0.7928571428571428,0.7333333333333333,0.7142857142857143
5,4,0.375,0.25,0.25
6,11,0.5465686274509804,0.35294117647058826,0.5454545454545454
7,7,0.8660714285714286,0.75,0.7142857142857143
8,24,0.6664928858477246,0.48484848484848486,0.6666666666666666
9,15,0.8020833333333333,0.6666666666666666,0.8
10,12,0.8461538461538461,0.8461538461538461,0.9166666666666666
11,3,0.7,0.2,0.3333333333333333
12,17,0.9411764705882353,0.8823529411764706,0.8823529411764706
13,17,0.7336066615814899,0.6086956521739131,0.7647058823529411
14,15,0.5202012674439145,0.13513513513513514,0.3333333333333333
15,42,0.45465116279069767,0.4,0.14285714285714285
16,29,0.6640509645153608,0.3684210526315789,0.3793103448275862
17,5,0.36607142857142855,0.25,0.4
18,15,0.6459150326797386,0.4666666666666667,0.26666666666666666
19,4,0.4556818181818182,0.25,0.75
20,14,0.5083692528735632,0.3,0.6428571428571429
21,6,0.5277777777777778,0.5,0.5
22,9,0.7587719298245613,0.3684210526315789,0.6666666666666666
23,50,0.9800980392156863,0.94,0.94
24,24,0.6587931034482759,0.5,0.5833333333333334
25,3,0.30654761904761907,0.14285714285714285,0.0
26,3,0.6625,0.4,0.3333333333333333
27,113,0.9299174809368367,0.905982905982906,0.9292035398230089
28,7,0.18018162393162393,0.1,0.0
29,25,0.7634335536216712,0.6764705882352942,0.8
30,12,0.6555059523809523,0.5625,0.4166666666666667
31,13,0.8325549450549451,0.75,0.9230769230769231
32,2,0.4625,0.2,0.5
33,35,0.7414642375168691,0.5333333333333333,0.6571428571428571
34,2,0.7666666666666666,0.4,1.0
35,6,0.5907738095238095,0.375,0.16666666666666666
36,17,0.45938151172951536,0.25925925925925924,0.23529411764705882
37,3,1.0,1.0,1.0
38,1,0.7625,0.05,1.0
39,42,0.8201408760730795,0.6779661016949152,0.8809523809523809
40,48,0.9750900360144057,0.9411764705882353,0.9791666666666666
41,8,0.5900584795321637,0.3157894736842105,0.75
42,5,0.48928571428571427,0.42857142857142855,0.2
43,3,0.78125,0.125,0.3333333333333333
44,16,0.9311145510835913,0.8421052631578947,1.0
45,4,0.875,0.5,0.75
46,1,1.0,1.0,1.0
47,1,1.0,1.0,1.0
48,10,0.6416666666666666,0.3333333333333333,0.5
49,12,0.9166666666666666,0.8333333333333334,0.75
50,6,0.5075757575757576,0.3333333333333333,0.6666666666666666
51,2,1.0,1.0,1.0
52,1,0.7777777777777778,0.1111111111111111,1.0
53,21,0.45445526695526695,0.4444444444444444,0.19047619047619047
54,11,0.6632925897631781,0.42857142857142855,0.36363636363636365
55,15,0.7212809036658141,0.4782608695652174,0.7333333333333333
56,4,0.6845238095238095,0.5,0.5
57,2,0.1625,0.08333333333333333,0.0
58,27,0.8543357683982684,0.7878787878787878,0.8888888888888888
59,12,0.9198717948717948,0.8461538461538461,0.9166666666666666
60,17,0.5146263910969793,0.2702702702702703,0.29411764705882354
61,11,0.7147435897435898,0.6666666666666666,0.6363636363636364
62,4,0.9,0.8,1.0
63,3,0.75,0.3333333333333333,0.6666666666666666
64,4,0.5218253968253967,0.4444444444444444,1.0
65,4,0.4676767676767677,0.18181818181818182,0.5
66,24,0.6886574074074074,0.5925925925925926,0.6666666666666666
67,7,0.6919642857142857,0.42857142857142855,0.42857142857142855
68,12,1.0,1.0,1.0
69,8,0.6041666666666667,0.5555555555555556,0.625
70,10,0.9068181818181817,0.9,0.9
71,2,0.4666666666666667,0.16666666666666666,0.5
72,1,0.7916666666666666,0.16666666666666666,1.0
73,3,0.475,0.3333333333333333,0.6666666666666666
74,1,0.7916666666666666,0.16666666666666666,1.0
75,2,1.0,1.0,1.0
76,162,0.9422929936114351,0.9333333333333333,0.9382716049382716
77,7,0.5178571428571428,0.5,0.5714285714285714
78,22,0.9039855072463768,0.8333333333333334,0.8181818181818182
79,1,1.0,1.0,1.0
80,6,0.32093253968253965,0.125,0.0
81,37,0.613893712876271,0.5238095238095238,0.5675675675675675
82,36,0.9016891891891892,0.85,0.9444444444444444
83,24,0.7022941970310391,0.5789473684210527,0.9166666666666666
84,17,0.6986714975845411,0.5555555555555556,0.8823529411764706
85,18,0.812058555479608,0.6818181818181818,0.7777777777777778
86,6,0.5625,0.375,0.5
87,8,0.5477272727272727,0.5,0.625
88,69,0.5952032991872503,0.3875,0.42028985507246375
89,17,0.6450341005967605,0.21739130434782608,0.058823529411764705
90,4,0.825,0.5,0.5
91,4,0.7666666666666666,0.4,0.5
92,4,0.45416666666666666,0.08333333333333333,0.0
93,8,0.22101823185414515,0.17647058823529413,0.0
94,32,0.8309173669467788,0.7777777777777778,0.8125
95,6,0.5833333333333334,0.5,0.5
96,13,0.19150488423021086,0.13333333333333333,0.0
97,18,0.46489234449760763,0.2727272727272727,0.2222222222222222
98,5,0.6972222222222222,0.4,0.4
99,17,0.5725082811924918,0.36363636363636365,0.47058823529411764
100,29,0.5866173361522199,0.5454545454545454,0.7931034482758621
101,12,0.379656862745098,0.2,0.3333333333333333
102,3,0.6857142857142857,0.14285714285714285,0.3333333333333333
103,17,0.7401629072681704,0.7,0.7058823529411765
