community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,1,,0.0,0.0,一,一,一,一
2,14,0.41178967619743917,0.0500677641526166,0.35714285714285715,全都 统统 全部 通通 完全 几乎 所有 基本上 一概 全 一切 彻底,全面 基本上 全 一一 所有 一切 彻底 完全,彻底 全 通通 完全 几乎 基本上 所有 统统 全面 全都 全部 一概,全都 统统 全部 通通 完全 几乎 所有 基本上 一概 全 一切 彻底 一一 全面
3,39,0.4340473669752652,0.033036136177527896,0.4358974358974359,急忙 赶忙 连忙 立刻 慌忙 赶紧 立即 马上 当即 随即 忽然 赶快,当场 一齐 来不及 瞬间 只得 灵机一动 突然 果断,慌忙 一齐 便 立刻 立即 只得 只好 瞬间 来不及 果断 连忙 连夜,急忙 赶忙 连忙 立刻 慌忙 赶紧 立即 马上 当即 随即 忽然 赶快 突然 猛然 火速 毫不犹豫 索性 顿时 毅然 便 匆匆 只好 干脆 悄悄 一下子 匆忙 只得 纷纷 连滚带爬 连夜 灵机一动 迫不及待 一齐 不假思索 果断 当场 来不及 争先恐后 瞬间
4,14,0.42882204769421384,0.06274723095414979,0.42857142857142855,小心 留神 当心 提防 留心 注意 生怕 警惕 怕 一不小心 留意 不慎,万一 戒备 警惕 怕 一不小心 不慎 留意 生怕,一不小心 不慎 怕 戒备 当心 生怕 小心 万一 注意 警惕 留心 提防,小心 留神 当心 提防 留心 注意 生怕 警惕 怕 一不小心 留意 不慎 万一 戒备
5,4,0.34921895925618496,-0.028479664483998298,0.75,收复 收回 解放 一举,解放 一举 收回 收复,收回 收复 解放 一举,收复 收回 解放 一举
6,11,0.49499858507047373,0.16859721677640294,0.0,言行 举止 举动 言辞 一言一行 言论 言语 所作所为 话语 行为 一举一动,言论 举动 话语 举止 一举一动 所作所为 行为 言语,举动 行为 举止 言语 言论 言行 言辞 一举一动 所作所为 话语 一言一行,言行 举止 举动 言辞 一言一行 言论 言语 所作所为 话语 行为 一举一动
7,7,0.4521207249970981,0.08904164201358002,0.2857142857142857,一无所有 一事无成 无所事事 无所作为 无能为力 一无所知 倾家荡产,倾家荡产 无能为力 一无所知 一事无成 无所事事 无所作为 一无所有,无所作为 无能为力 倾家荡产 一无所知 无所事事 一无所有 一事无成,一无所有 一事无成 无所事事 无所作为 无能为力 一无所知 倾家荡产
8,24,0.42522281033768755,0.023335177673161313,0.5,大多数 大部分 多数 绝大多数 大多 许多 不少 一些 部分 大都 半数 有的,有的 这些 其余 或多或少 一半 些 普遍 一般,一般 些 不少 部分 许多 那些 或多或少 有的 大多 多数 这些 绝大多数,大多数 大部分 多数 绝大多数 大多 许多 不少 一些 部分 大都 半数 有的 好多 一部分 少数 那些 个别 这些 或多或少 一般 普遍 一半 其余 些
9,15,0.4223089997853424,0.06325867636187647,0.3333333333333333,后代 子孙 后裔 祖先 世代 辈 祖宗 家族 后人 一代 世袭 血缘,下一代 后裔 世袭 血缘 族 代 一代 辈,祖先 祖宗 子孙 代 族 后人 后代 世代 辈 下一代 血缘 家族,后代 子孙 后裔 祖先 世代 辈 祖宗 家族 后人 一代 世袭 血缘 代 下一代 族
10,12,0.4581156796970042,0.1076264979879517,0.16666666666666666,钟头 分钟 半天 星期 小时 钟 好久 一会儿 多久 礼拜 秒 半,一会儿 钟 多久 好久 半 秒 半天 礼拜,半 一会儿 秒 礼拜 分钟 多久 钟 小时 好久 钟头 星期 半天,钟头 分钟 半天 星期 小时 钟 好久 一会儿 多久 礼拜 秒 半
11,3,0.37424064145510205,0.07173923059396818,0.3333333333333333,一体 一身 为主,一身 为主 一体,一身 为主 一体,一体 一身 为主
12,17,0.4442350350402756,0.09014667180402998,0.29411764705882354,共计 总共 总计 一共 共 合计 约 累计 大约 共有 仅 折合,平均 先后 计 仅 至少 共有 分别 折合,共有 共 仅 约 总共 总计 合计 大约 计 折合 共计 至少,共计 总共 总计 一共 共 合计 约 累计 大约 共有 仅 折合 平均 至少 分别 先后 计
