token,community,best_cluster_match_fraction
〇,0,1.0
一,1,1.0
一一,2,0.75
一下子,3,0.75
一不小心,4,1.0
一举,5,0.25
一举一动,6,1.0
一事无成,7,1.0
一些,8,0.75
一代,9,0.5
一会儿,10,1.0
一体,11,0.75
一共,12,1.0
一再,13,1.0
一切,2,1.0
一刹那,14,0.0
一动不动,15,0.75
一半,8,1.0
一卡通,16,0.75
一口气,17,1.0
一句话,18,1.0
一同,19,1.0
一向,20,1.0
一味,21,0.5
一块儿,19,1.0
一塌糊涂,22,1.0
一声不吭,15,1.0
一大早,23,1.0
一天到晚,24,0.5
一头,25,0.5
一如既往,20,1.0
一定,26,0.75
一家人,27,1.0
一帆风顺,28,0.75
一带,29,0.5
一干二净,22,0.75
一年到头,24,0.5
一应俱全,30,0.25
一度,13,1.0
一律,31,0.0
一心,32,1.0
一心一意,33,0.75
一成不变,34,1.0
一手,35,0.5
一技之长,36,0.25
一把手,37,1.0
一揽子,38,1.0
一方面,39,0.25
一旁,40,1.0
一无所有,7,1.0
一无所知,7,1.0
一旦,41,1.0
一早,23,1.0
一时,42,0.75
一晃,43,0.75
一样,44,1.0
一概,2,1.0
一概而论,45,1.0
一模一样,44,1.0
一次性,46,1.0
一毛不拔,47,1.0
一流,48,0.5
一点儿,49,1.0
一生,50,0.5
一番,51,1.0
一目了然,52,1.0
一直,20,1.0
一眼,53,1.0
一瞬间,14,0.0
一筹莫展,54,1.0
一系列,55,1.0
一线,56,1.0
一经,41,0.25
一致,57,0.75
一般,8,1.0
一般来说,39,1.0
一行,58,1.0
一言一行,6,1.0
一言不发,15,1.0
一贯,20,1.0
一起,19,1.0
一路,59,0.25
一路上,59,1.0
一路平安,60,1.0
一路顺风,60,0.75
一身,11,0.75
一辈子,61,1.0
一边,62,1.0
一连,63,1.0
一连串,55,1.0
一道,19,0.25
一部分,8,1.0
一锅粥,64,1.0
一长一短,65,1.0
一阵,66,1.0
一面,62,1.0
一鼓作气,17,1.0
一齐,3,0.75
丁,67,0.75
七,68,1.0
七嘴八舌,69,0.0
万,70,1.0
万一,4,0.25
万万,71,1.0
万分,72,1.0
万古长青,73,1.0
万无一失,74,1.0
万能,75,1.0
丈夫,27,1.0
三,68,1.0
三明治,76,1.0
三番五次,13,1.0
三维,77,1.0
三角,78,1.0
上,79,1.0
上下,80,0.0
上个月,81,1.0
上任,82,1.0
上升,83,1.0
上午,23,1.0
上去,84,1.0
上台,85,1.0
上司,86,0.25
上周,81,1.0
上场,87,1.0
上头,40,1.0
上学,88,1.0
上岗,89,0.25
上市,90,0.75
上帝,91,1.0
上当,92,0.75
上报,93,0.25
上方,80,0.5
上旬,81,1.0
上映,94,1.0
上期,95,1.0
上来,84,1.0
上楼,96,0.5
上次,81,0.0
上流,97,0.75
上涨,83,1.0
上游,98,0.75
上演,99,0.75
上火,100,1.0
上班,101,1.0
上班族,102,0.75
上瘾,103,0.75
上空,104,1.0
上级,86,0.25
上网,105,1.0
上衣,106,1.0
上诉,107,1.0
上课,88,0.75
上调,83,1.0
上车,108,1.0
上边,40,1.0
上述,109,0.25
上门,110,1.0
上限,111,0.75
上面,40,1.0
下,112,0.75
下一代,9,0.5
下个月,81,1.0
下乡,113,1.0
下令,114,0.75
下决心,114,1.0
下功夫,115,0.5
下午,23,1.0
下去,84,1.0
下台,82,0.0
下场,116,0.0
下坠,117,1.0
下属,86,1.0
下山,96,0.5
下岗,118,0.5
