community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,1,0,,True
2,13,37,0.35309896847376454,True
3,23,108,0.31986995765814197,True
4,11,32,0.44257682155479083,True
5,16,62,0.39032232090830804,True
6,7,14,0.5017526000738144,True
7,6,11,0.5358677526315053,True
8,30,166,0.2865303461236515,True
9,5,5,0.37261698544025423,True
10,12,30,0.34468540707320877,True
11,3,2,0.46558671196301776,True
12,16,76,0.48196377269923685,True
13,4,6,0.7367030158638954,True
14,44,335,0.2565081058893093,True
15,33,179,0.2469208911061287,True
16,4,3,0.36633753031492233,True
17,14,41,0.3305185325853117,True
18,9,20,0.4196639657020569,True
19,26,134,0.31219340021793657,True
20,10,20,0.3234606166680654,True
21,8,15,0.3864965071635587,True
22,50,615,0.37971342753390874,True
23,9,21,0.43374015018343925,True
24,4,4,0.4848879600564639,True
25,3,2,0.483106662829717,True
26,115,3151,0.3609995494127092,True
27,4,3,0.3486952409148216,True
28,28,171,0.34366937442904427,True
29,2,1,0.8819005787372589,True
30,2,1,0.6908185034990311,True
31,28,132,0.2553364964862349,True
32,2,1,0.6864549815654755,True
33,5,5,0.3695357471704483,True
34,11,30,0.4043434064496647,True
35,3,2,0.4913628200689952,True
36,1,0,,True
37,54,687,0.3570544042531466,True
38,48,564,0.37219638749957085,True
39,8,14,0.3686508557626179,True
40,4,3,0.35196157544851303,True
41,16,72,0.45059723729888596,True
42,4,5,0.5980472390850385,True
43,1,0,,True
44,1,0,,True
45,14,48,0.390623756981158,True
46,12,35,0.40157740247068985,True
47,9,21,0.4340062480833795,True
48,2,1,0.7559592723846436,True
49,1,0,,True
50,11,29,0.38386329249902207,True
51,16,44,0.27248565542201203,True
52,18,67,0.32306231714152045,True
53,2,1,0.7474526315927505,True
54,3,2,0.4655348062515259,True
55,4,3,0.352326658864816,True
56,32,181,0.26935880493012165,True
57,12,35,0.39793681782303436,True
58,15,50,0.3516219750756309,True
59,5,5,0.3611446589231491,True
60,3,2,0.5047315607468287,True
61,4,3,0.3491862292091052,True
62,7,10,0.3459659041393371,True
63,5,8,0.5811666220426559,True
64,19,97,0.42171536194302184,True
65,36,254,0.30032885857517755,True
66,6,6,0.2878459572792053,True
67,12,52,0.6296747306531126,True
68,11,26,0.3472649847919291,True
69,1,0,,True
70,6,7,0.33010128935178124,True
71,1,0,,True
72,2,1,0.7438491880893707,True
73,160,4802,0.2768086916936925,True
74,5,6,0.4368877366185188,True
75,23,105,0.2977577787731947,True
76,1,0,,True
77,3,2,0.4755453368028005,True
78,36,272,0.32343872118563877,True
79,38,327,0.34556166314722636,True
80,29,179,0.32970897398265125,True
81,23,104,0.3038133527686002,True
82,21,110,0.3879328333196186,True
83,7,10,0.3553302302247002,True
84,9,19,0.38805587796701324,True
85,77,955,0.23942795102003903,True
86,11,23,0.3027708888053894,True
87,4,3,0.35068311790625256,True
88,4,4,0.4870469644665718,True
89,4,4,0.4970501388112704,True
90,16,53,0.322776901970307,True
91,4,3,0.35404107471307117,True
92,33,278,0.3919130423190919,True
93,3,3,0.765335887670517,True
94,8,15,0.4025235702948911,True
95,10,23,0.37674202356073594,True
96,6,7,0.348477703332901,True
97,17,61,0.33046503934790106,True
98,43,406,0.32959145895006386,True
99,9,19,0.3825943358242512,True
100,3,3,0.7920816938082377,True
101,17,69,0.3742815869696,True
102,3,2,0.4782243271668752,True
103,2,1,0.7348581105470657,True
104,69,1264,0.40534332826517633,True
105,35,276,0.34499569262276175,True
106,46,429,0.3038391504742673,True
107,6,7,0.3470943222443263,True
108,4,3,0.37415844202041626,True
109,6,8,0.40198372105757396,True
110,5,7,0.49080957323312757,True
111,1,0,,True
112,7,11,0.38614092980112347,True
113,4,3,0.35926831761995953,True
114,4,3,0.37815579771995544,True
115,11,32,0.4316639258102937,True
116,3,3,0.7401637037595113,True
117,9,19,0.3868175111711025,True
118,3,2,0.49533143142859143,True
119,19,72,0.31048751313086836,True
120,4,4,0.5089957416057587,True
121,4,3,0.3548746208349864,True
122,7,8,0.27152789135773975,True
123,1,0,,True
124,13,46,0.42937629841841185,True
125,36,270,0.3191599302585163,True
126,14,42,0.34274536207482054,True
127,25,160,0.39712333237131436,True
128,120,2443,0.24925521969043907,True
129,1,0,,True
130,4,4,0.46374383568763733,True
131,8,16,0.4229264051786491,True
132,17,77,0.4232648715157719,True
133,8,17,0.4314323200711182,True
134,7,10,0.3454451234567733,True
135,4,3,0.3533327306310336,True
136,5,4,0.2845476433634758,True
137,21,117,0.4211990394053005,True
138,17,70,0.38315925374627113,True
139,14,49,0.405700751549595,True
140,7,11,0.3878571171136129,True
141,30,174,0.3007945101836632,True
142,25,117,0.2860428112745285,True
143,16,60,0.37046342169245083,True
144,9,25,0.5202255662944582,True
145,12,32,0.3530399627757795,True
146,10,24,0.38705160948965284,True
147,9,28,0.5770046197705798,True
148,15,60,0.4332353508188611,True
149,110,2093,0.2546712254513493,True
150,2,1,0.6988905519247055,True
151,1,0,,True
152,7,14,0.5067033242611658,True
153,50,411,0.24760534887411156,True
154,2,1,0.721587061882019,True
155,15,54,0.3840045845224744,True
156,16,67,0.41621879922846955,True
157,5,4,0.29038544595241544,True
158,9,21,0.4340907376673486,True
159,3,2,0.4737154394388199,True
160,9,18,0.3832506690588262,True
161,4,6,0.7501149649421374,True
162,6,13,0.6489726662635803,True
163,17,74,0.4135520737618208,True
164,1,0,,True
165,4,5,0.6321645304560661,True
166,28,223,0.43659515805029997,True
167,2,1,0.7003446370363235,True
168,10,22,0.35114694469504887,True
169,2,1,0.7119598239660263,True
170,46,431,0.3076129953642398,True
171,27,167,0.3582678840965287,True
172,3,3,0.8050200790166855,True
173,8,14,0.3687527073281152,True
174,11,31,0.4273080183701082,True
175,3,3,0.7060932368040085,True
176,12,36,0.3950990474585331,True
177,3,2,0.478880708416303,True
178,8,13,0.35129365378192495,True
179,7,12,0.4157504567078182,True
180,1,0,,True
181,16,57,0.344493609915177,True
182,60,549,0.22741830137658253,True
183,8,19,0.4989003171878202,True
184,3,2,0.4729607303937276,True
185,4,5,0.6032974397142729,True
186,2,1,0.7985288798809052,True
187,17,67,0.3601313128190882,True
188,40,350,0.335077373817181,True
189,6,8,0.40571536918481194,True
190,20,63,0.24335649233115347,True
191,10,20,0.3212665193610721,True
192,11,27,0.36974167850884526,True
193,4,3,0.35288650790850323,True
194,26,186,0.42817622647835657,True
195,23,132,0.38284625519405713,True
196,70,1096,0.33738955179726854,True
197,17,67,0.36736019163885536,True
198,9,15,0.3030411990152465,True
199,15,54,0.3766900776397614,True
200,52,582,0.31851648203298155,True
201,8,17,0.45445904561451506,True
202,31,274,0.43672048500789107,True
203,40,386,0.3654522000023952,True
204,3,3,0.8424154222011566,True
205,4,3,0.37436776359875995,True
206,18,69,0.3255421538758122,True
207,14,33,0.26787551779013413,True
208,14,39,0.32003450770299513,True
209,2,1,0.699333906173706,True
210,11,28,0.38067810372872785,True
211,11,27,0.3539433690634641,True
212,16,43,0.2614465398093065,True
213,10,22,0.3576761391427782,True
214,61,900,0.36462788315581496,True
215,13,45,0.42192104783577794,True
216,7,11,0.3804717745099749,True
217,19,68,0.29381659252253195,True
218,11,35,0.4721674599430778,True
219,7,9,0.317010528984524,True
220,6,8,0.38435215353965757,True
221,6,7,0.3411418586969376,True
222,20,93,0.3623103881352826,True
223,8,11,0.28694583954555647,True
224,4,4,0.534287209312121,True
225,8,14,0.3590060030775411,True
226,24,120,0.3211861662566662,True
227,10,23,0.3804431829187605,True
228,34,264,0.3505297175171966,True
229,17,70,0.3763385971679407,True
230,1,0,,True
231,4,3,0.37755459795395535,True
232,22,110,0.35018445377226,True
233,10,24,0.392419151796235,True
234,23,131,0.3817222906431191,True
235,1,0,,True
236,1,0,,True
237,11,22,0.29484526921402326,True
238,52,536,0.3017286382514427,True
239,15,50,0.3506738395917983,True
240,11,33,0.44429553882642225,True
241,51,661,0.3818843154696857,True
242,38,390,0.4197624345465032,True
243,12,28,0.31320085737741354,True
244,7,13,0.44689911674885524,True
245,12,31,0.34367413773681177,True
246,7,13,0.45342030766464414,True
247,1,0,,True
248,1,0,,True
249,29,178,0.32515886121342336,True
250,8,16,0.42808108404278755,True
251,15,60,0.4224547289666675,True
252,21,121,0.43946693518332075,True
253,4,5,0.5957868297894796,True
254,7,12,0.43445223286038354,True
255,8,16,0.43015131992953165,True
256,1,0,,True
257,22,99,0.31870701773600146,True
258,6,7,0.32965545256932577,True
259,9,15,0.30691488169961506,True
260,41,357,0.32065729108162044,True
261,2,1,0.6889403313398361,True
262,2,1,0.7382293194532394,True
263,23,126,0.3718640027427862,True
264,2,1,0.7729313671588898,True
265,4,4,0.49629950275023776,True
266,11,29,0.3899463870308616,True
267,8,16,0.418915652270828,True
268,2,1,0.7774366736412048,True
269,22,123,0.39422538915237826,True
270,10,23,0.3745498150587082,True
271,7,14,0.49681536640439716,True
272,17,58,0.3150910228929099,True
273,12,39,0.43490011380477384,True
274,3,2,0.4615695923566818,True
275,2,1,0.7043308913707733,True
276,15,47,0.32181655154341743,True
277,14,58,0.48230582082664575,True
278,28,161,0.31297147147869936,True
279,16,64,0.3903010873744885,True
280,28,154,0.30142317877875435,True
281,13,38,0.3576646651595067,True
282,21,97,0.3467482881177039,True
283,45,483,0.3644030680259069,True
284,5,6,0.44129638671875,True
285,6,7,0.3303960810105006,True
286,6,12,0.5953799595435461,True
287,9,20,0.42690301438172656,True
288,19,80,0.34562962245174317,True
289,23,121,0.35772365897069336,True
290,3,2,0.4624160925547282,True
291,5,4,0.28917240500450136,True
292,10,25,0.4218355529838138,True
293,27,124,0.2650137928306547,True
294,1,0,,True
295,6,10,0.5097613503535589,True
296,12,39,0.42826676684798615,True
297,1,0,,True
298,8,15,0.39457505515643526,True
299,11,33,0.4408413767814636,True
300,6,8,0.3922201017538706,True
301,5,5,0.36148792058229445,True
302,3,2,0.4598560680945714,True
303,19,100,0.4228095797418851,True
304,5,7,0.5081845074892044,True
305,12,26,0.29240750634309015,True
306,9,18,0.3632244910630915,True
307,9,21,0.43756989927755463,True
308,21,100,0.35145321807691027,True
309,9,19,0.38872237379352254,True
310,66,1070,0.36952757546395965,True
311,5,5,0.37520064413547516,True
312,11,24,0.32033695957877417,True
313,5,5,0.36106746196746825,True
314,4,3,0.35200096666812897,True
315,4,4,0.4766666367650032,True
316,2,1,0.6905604600906372,True
317,15,41,0.28936025273232235,True
318,15,43,0.29527848944777535,True
319,4,3,0.3625241244832675,True
320,34,233,0.30830033747695135,True
321,14,55,0.44983765155404476,True
322,18,69,0.3301175707111172,True
323,1,0,,True
324,6,9,0.4361412982145945,True
325,3,3,0.7791887472073237,True
326,5,7,0.5111914530396462,True
327,4,3,0.36575594296058017,True
328,5,6,0.4551490217447281,True
329,4,4,0.5062225634853045,True
330,8,16,0.4174939032111849,True
331,4,3,0.36128927022218704,True
332,11,29,0.3914443544366143,True
333,1,0,,True
334,36,276,0.32137066199192926,True
335,16,46,0.2822361911336581,True
336,6,8,0.3951557964086533,True
337,9,18,0.37721766407291096,True
338,6,8,0.39328810274600984,True
339,5,6,0.43142995089292524,True
340,20,73,0.28074468342881453,True
341,6,10,0.47961155474185946,True
342,5,5,0.3683501943945885,True
343,27,171,0.3616277147562076,True
344,21,96,0.3353900750478109,True
345,9,15,0.3029966201219294,True
346,17,65,0.35579530642751384,True
347,12,32,0.36300070809595514,True
348,7,9,0.3124949343147732,True
349,18,76,0.3682691623377644,True
350,1,0,,True
351,6,8,0.38725269337495166,True
352,12,37,0.4187763538776022,True
353,15,59,0.41455257478214447,True
354,28,177,0.3441935041672969,True
355,4,4,0.4979984760284424,True
356,5,6,0.42455739080905913,True
357,5,5,0.36451222747564316,True
358,14,38,0.30911674555186386,True
359,53,519,0.2790980251784422,True
360,5,4,0.28917639404535295,True
361,7,13,0.4666447291771571,True
362,15,54,0.3814231039512725,True
363,3,3,0.7435648888349533,True
364,19,80,0.34394008522493796,True
365,11,32,0.42553023154085334,True
366,14,38,0.31288439412038405,True
367,6,12,0.5986237545808156,True
368,4,3,0.35104797780513763,True
369,24,117,0.31311051110210625,True
370,55,590,0.29191958988555755,True
371,9,17,0.34558965845240486,True
372,19,99,0.42750484448427345,True
373,16,66,0.40444837721685567,True
374,5,5,0.3720491796731949,True
375,10,16,0.25775150193108454,True
376,7,12,0.41118769560541424,True
377,4,3,0.3494172419110934,True
378,3,2,0.4838404407103856,True
379,19,90,0.3920717127839027,True
380,15,53,0.3696408026275181,True
381,15,57,0.4087861818926675,True
382,10,26,0.42656488716602325,True
383,8,13,0.3416934572160244,True
384,3,2,0.4618787070115407,True
385,3,2,0.508626734217008,True
386,31,210,0.32982604615790867,True
387,3,2,0.4878145058949788,True
388,31,190,0.29824334831647975,True
389,7,9,0.3216370968591599,True
390,6,7,0.34065357645352684,True
391,6,7,0.342225456237793,True
392,3,2,0.46440767745176953,True
393,9,23,0.4746900134616428,True
394,10,22,0.36404227945539686,True
395,5,7,0.5130933940410614,True
396,11,29,0.3937674094330181,True
397,3,3,0.762969359755516,True
398,4,3,0.3478465850154559,True
399,12,32,0.35730389212117053,True
400,50,623,0.3742730484811627,True
401,15,51,0.35742789847510203,True
402,5,8,0.6488874018192291,True
403,5,6,0.4352375462651253,True
404,1,0,,True
405,6,10,0.46484294136365256,True
406,13,40,0.38332814761461353,True
407,4,3,0.3754793504873912,True
408,23,133,0.38989116298586957,True
409,14,42,0.3397981144569732,True
410,42,323,0.27609368836838194,True
411,1,0,,True
412,23,97,0.28007074336525006,True
413,18,68,0.3334328594550588,True
414,4,3,0.35641290495793027,True
415,10,26,0.425433052248425,True
416,4,4,0.48139501363039017,True
417,8,16,0.4313670923667295,True
418,6,7,0.32901579737663267,True
419,6,7,0.3481909344593684,True
420,11,39,0.5513112509792502,True
421,9,22,0.4412592922647794,True
422,1,0,,True
423,14,49,0.3989906476421671,True
424,1,0,,True
425,32,188,0.27813237181474126,True
426,6,8,0.39330162505308786,True
427,3,2,0.46339217325051624,True
428,1,0,,True
429,19,96,0.4206114971672582,True
430,35,297,0.3687632503880172,True
431,34,232,0.2996568941974385,True
432,3,3,0.7268462131420771,True
433,1,0,,True
434,10,25,0.40686370895968543,True
435,6,9,0.42916596233844756,True
436,24,129,0.34573219997295435,True
437,33,305,0.42799673867270804,True
438,1,0,,True
439,10,25,0.4086361871825324,True
440,2,1,0.6879977732896805,True
441,6,8,0.3976600021123886,True
442,14,35,0.28202523831482773,True
443,12,37,0.41381742692354956,True
444,23,124,0.3629269013880741,True
445,19,79,0.3405248831238663,True
446,9,16,0.3232949458890491,True
447,13,44,0.41929828375577927,True
448,31,190,0.2979760688479229,True
449,24,127,0.34386710887369903,True
450,10,22,0.3619350218110614,True
451,13,39,0.3732306250394919,True
452,1,0,,True
453,5,7,0.5128923699259758,True
454,7,9,0.3045474858511062,True
455,8,13,0.3312537499836513,True
456,6,10,0.48679272333780926,True
457,5,4,0.30694043934345244,True
458,7,11,0.3804632411116645,True
459,8,19,0.4978973077876227,True
460,2,1,0.8232438266277313,True
461,4,3,0.3504777227838834,True
462,9,19,0.3839544103377395,True
463,14,48,0.3839667897958022,True
464,5,9,0.6655867591500282,True
465,20,96,0.3741888242332559,True
466,9,21,0.4339281763467524,True
467,14,56,0.4539910030888987,True
468,2,1,0.7004182636737823,True
469,3,2,0.4727586656808853,True
470,9,20,0.4008825913899475,True
471,16,53,0.3268636140972376,True
472,1,0,,True
473,5,10,0.7576748132705688,True
474,5,7,0.5083995193243027,True
475,14,47,0.38108676278984155,True
476,8,15,0.39216723878468784,True
477,41,322,0.2915725937703761,True
478,11,26,0.3459838365966624,True
479,2,1,0.7089842706918716,True
480,1,0,,True
481,9,26,0.5455081351101398,True
482,19,68,0.29575735191155594,True
483,12,45,0.5246743611765631,True
484,4,4,0.5306863759954771,True
485,4,3,0.3688291584451993,True
486,5,4,0.27939368784427643,True
487,2,1,0.7510038018226624,True
488,4,6,0.7533369486530622,True
489,15,51,0.3587595499697186,True
490,12,38,0.43353240666064347,True
491,5,5,0.36804903000593187,True
492,7,7,0.23325216699214207,True
493,14,44,0.35174252796959093,True
494,3,2,0.46790221830209094,True
495,12,30,0.3362312321410035,True
496,7,14,0.4954572199355988,True
497,10,30,0.49073212212986417,True
498,8,19,0.5049050498221602,True
499,5,6,0.4441014438867569,True
500,11,34,0.46802945055744866,True
501,8,17,0.46054108600531307,True
502,4,5,0.6186367770036062,True
503,8,14,0.37332889437675476,True
504,25,97,0.23684231773018838,True
505,21,103,0.36101046644506,True
506,9,13,0.2640824408994781,True
507,17,84,0.46027234711629506,True
508,14,39,0.3171646311715409,True
509,20,92,0.36291756527988533,True
510,7,9,0.3151015518676667,True
511,4,3,0.34609294434388477,True
512,6,8,0.37959772646427153,True
513,22,131,0.42712659063019276,True
514,8,14,0.36632602182882174,True
515,3,2,0.46905950208504993,True
516,16,59,0.36190493690470854,True
517,12,37,0.40542226307319873,True
518,3,2,0.46619661152362823,True
519,9,12,0.243414090325435,True
520,2,1,0.6985839456319809,True
521,15,56,0.38765855062575566,True
522,1,0,,True
523,9,19,0.38679449549979633,True
524,6,9,0.4446578065554301,True
525,12,30,0.33972810570037726,True
526,3,2,0.5056299120187759,True
527,20,73,0.28185866302565526,True
528,11,29,0.3990462723103437,True
529,11,40,0.5425873016769236,True
530,3,2,0.46497078239917755,True
531,13,36,0.33845862727134657,True
532,12,36,0.40192635854085285,True
533,9,16,0.32288795626825756,True
534,10,22,0.3585406210687425,True
535,23,152,0.4502253070061386,True
536,4,4,0.4728894184033076,True
537,4,3,0.3634858801960945,True
538,4,5,0.5938562030593554,True
539,13,46,0.43670028581833226,True
540,11,32,0.4627966124903072,True
541,3,2,0.47701115409533185,True
542,4,3,0.35441196461518604,True
543,25,152,0.37588258867462476,True
544,5,5,0.36037668734788897,True
545,16,57,0.34436500581602253,True
546,2,1,0.7061208933591843,True
547,4,4,0.46996687601010007,True
548,14,48,0.3927016402338887,True
549,2,1,0.7319269776344299,True
550,7,13,0.45325791126205806,True
551,15,48,0.33466843707220895,True
552,5,4,0.29081535786390306,True
553,5,5,0.3587906986474991,True
554,10,18,0.28948180543051827,True
555,27,142,0.2998755473611701,True
556,3,2,0.49603059391180676,True
557,10,25,0.42123530904452006,True
558,5,4,0.2939181074500084,True
559,13,41,0.38914633637819535,True
560,9,18,0.36608145592941177,True
561,9,13,0.2694368813600805,True
562,19,73,0.31544476285663964,True
563,8,17,0.4420074533138956,True
564,3,3,0.7520920038223267,True
565,5,6,0.4281947612762451,True
566,19,74,0.31001779585205325,True
567,6,9,0.44257008135318754,True
568,1,0,,True
569,9,25,0.5123057137760851,True
570,13,49,0.4649312551587056,True
571,2,1,0.762643039226532,True
572,5,6,0.4544798105955124,True
573,1,0,,True
574,4,4,0.5116843283176422,True
575,2,1,0.6899516433477402,True
576,14,42,0.3388158782170369,True
577,1,0,,True
578,2,1,0.6874919086694717,True
579,12,33,0.37856579097834503,True
580,8,13,0.3421749014939581,True
581,4,4,0.4694734811782837,True
582,3,2,0.459359551469485,True
583,3,3,0.7436235497395197,True
584,8,13,0.344811774790287,True
585,4,4,0.4795299718777339,True
586,9,16,0.3289448387093014,True
587,11,24,0.31725979095155543,True
588,29,199,0.3673063654984747,True
589,3,2,0.4688401271899541,True
590,8,15,0.3849299129630838,True
591,24,122,0.32775762002321257,True
