community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,1,1.0,1.0,1.0
1,14,1.0,1.0,1.0
2,13,0.8024954212454213,0.625,0.6923076923076923
3,47,0.7274716553287982,0.36,0.3829787234042553
4,7,0.4642857142857143,0.19047619047619047,0.0
5,3,0.475,0.2,0.3333333333333333
6,4,0.5446428571428571,0.25,0.0
7,16,0.46950200534759357,0.36363636363636365,0.1875
8,21,0.5227272727272727,0.36363636363636365,0.047619047619047616
9,3,1.0,1.0,1.0
10,58,0.6215369080398986,0.3225806451612903,0.3275862068965517
11,2,0.6666666666666666,0.3333333333333333,0.5
12,15,0.890625,0.875,0.9333333333333333
13,15,0.850061274509804,0.7647058823529411,0.8666666666666667
14,19,0.6115683229813664,0.35714285714285715,0.47368421052631576
15,4,0.8,0.6,0.75
16,30,0.543518678243536,0.4444444444444444,0.3
17,11,0.5197680995475114,0.375,0.45454545454545453
18,7,0.475,0.4,0.2857142857142857
19,11,0.782051282051282,0.6923076923076923,0.8181818181818182
20,7,0.25441919191919193,0.18181818181818182,0.14285714285714285
21,3,0.75,0.75,1.0
22,43,0.8016660923995751,0.6538461538461539,0.7209302325581395
23,16,0.29306282009371254,0.11904761904761904,0.0
24,4,0.675,0.6,0.75
25,4,0.49166666666666664,0.16666666666666666,0.0
26,140,0.973578189865274,0.965034965034965,0.9714285714285714
27,4,0.4625,0.2,0.0
28,8,0.8055555555555556,0.7777777777777778,0.875
29,2,0.3005952380952381,0.25,1.0
30,19,0.34020048887039733,0.125,0.10526315789473684
31,17,0.6242877492877493,0.4074074074074074,0.5882352941176471
32,3,0.7083333333333333,0.5,0.3333333333333333
33,20,0.708403914925654,0.5,0.6
34,1,1.0,1.0,1.0
35,1,1.0,1.0,1.0
36,5,1.0,1.0,1.0
37,60,0.9629781420765027,0.9508196721311475,0.9166666666666666
38,5,0.5861111111111111,0.3,0.6
39,4,0.6041666666666666,0.16666666666666666,0.25
40,17,0.6910429099175902,0.48,0.7058823529411765
41,8,0.75,0.2222222222222222,0.25
42,1,1.0,1.0,1.0
43,4,0.25,0.25,0.25
44,10,0.37007575757575756,0.16666666666666666,0.2
45,9,0.8035353535353535,0.6363636363636364,0.7777777777777778
46,6,0.6089285714285714,0.4,0.5
47,2,1.0,1.0,1.0
48,6,0.5208333333333333,0.3333333333333333,0.3333333333333333
49,3,0.5625,0.25,0.3333333333333333
50,4,0.9375,0.75,0.75
51,10,0.22179487179487178,0.15384615384615385,0.0
52,17,0.4931951089845827,0.3,0.17647058823529413
53,37,0.8272181066413989,0.7659574468085106,0.7837837837837838
54,8,0.5461538461538461,0.38461538461538464,0.625
55,9,0.26338772338772337,0.16,0.0
56,3,1.0,1.0,1.0
57,6,0.2,0.2,0.6666666666666666
58,7,0.48387445887445885,0.1,0.0
59,3,0.46964285714285714,0.25,1.0
60,24,0.5660315850478121,0.38235294117647056,0.4166666666666667
61,5,0.9083333333333333,0.8,0.8
62,7,0.8571428571428571,0.42857142857142855,0.42857142857142855
63,5,0.45138888888888884,0.2222222222222222,0.4
64,7,0.7888888888888889,0.5555555555555556,0.7142857142857143
65,2,0.875,0.5,1.0
66,1,0.21944444444444444,0.1,1.0
67,5,0.6154761904761905,0.2,0.4
68,2,1.0,1.0,1.0
69,165,0.9803304125593282,0.9757575757575757,0.9515151515151515
70,2,0.7916666666666666,0.5,1.0
71,3,0.41666666666666663,0.3333333333333333,0.3333333333333333
72,1,0.8333333333333334,0.3333333333333333,1.0
73,5,0.7928571428571428,0.5714285714285714,0.6
74,23,0.6288736263736263,0.5384615384615384,0.5217391304347826
75,34,0.8549820062977957,0.8205128205128205,0.9411764705882353
76,29,0.8165329768270945,0.6176470588235294,0.6206896551724138
77,19,0.7894736842105263,0.7894736842105263,0.7894736842105263
78,4,0.38125,0.25,0.0
79,5,0.7361111111111112,0.4444444444444444,0.8
80,11,0.38636363636363635,0.16666666666666666,0.18181818181818182
81,60,0.7293232824846356,0.31343283582089554,0.3
82,7,0.42039627039627037,0.3333333333333333,0.2857142857142857
83,3,0.7666666666666666,0.4,0.6666666666666666
84,9,0.5132575757575758,0.18181818181818182,0.0
85,25,0.3935504469987229,0.25925925925925924,0.04
86,16,0.4162907268170426,0.21428571428571427,0.25
87,5,0.8333333333333334,0.5,0.6
88,36,0.8848980559506875,0.8378378378378378,0.8055555555555556
89,5,0.9166666666666667,0.8333333333333334,1.0
90,48,0.5770390213501668,0.23684210526315788,0.375
91,22,0.8740530303030303,0.8333333333333334,0.8636363636363636
92,11,0.39203778677462886,0.15789473684210525,0.18181818181818182
93,4,0.5,0.5,0.25
94,17,0.5948464912280702,0.42105263157894735,0.35294117647058826
95,46,0.39680711887425546,0.2391304347826087,0.1956521739130435
96,6,0.5262896825396826,0.2857142857142857,0.16666666666666666
97,8,0.6546717171717171,0.45454545454545453,0.625
98,14,0.6972426470588236,0.17647058823529413,0.21428571428571427
99,2,0.8333333333333333,0.6666666666666666,1.0
100,81,0.8081536461720533,0.5573770491803278,0.7160493827160493
101,34,0.9640756302521009,0.9428571428571428,0.9411764705882353
102,42,0.799707178164625,0.44680851063829785,0.5
103,7,0.6790674603174603,0.5555555555555556,0.5714285714285714
104,4,0.33333333333333337,0.2,0.25
105,1,0.41904761904761906,0.14285714285714285,1.0
106,7,0.6388888888888888,0.5555555555555556,0.2857142857142857
107,5,0.9,0.8,0.8
108,30,0.6439739053516144,0.5263157894736842,0.5333333333333333
109,4,0.48333333333333334,0.3333333333333333,0.5
110,5,0.2961309523809524,0.14285714285714285,0.0
111,7,0.2714975845410628,0.13043478260869565,0.0
112,16,0.673202614379085,0.5555555555555556,0.625
113,3,0.6946428571428571,0.42857142857142855,1.0
114,8,0.3055555555555556,0.2,0.125
115,8,0.634090909090909,0.6,0.625
116,4,0.625,0.4,0.25
117,12,0.3687306501547988,0.2631578947368421,0.08333333333333333
118,39,0.816397034041119,0.7906976744186046,0.8205128205128205
119,31,0.5045762714492134,0.3157894736842105,0.3225806451612903
120,52,0.7174362674362674,0.23214285714285715,0.25
121,2,0.2630952380952381,0.16666666666666666,0.5
122,24,0.8438461538461539,0.7692307692307693,0.8333333333333334
123,3,0.3666666666666667,0.3333333333333333,0.3333333333333333
124,9,0.8138888888888889,0.6666666666666666,0.5555555555555556
125,15,0.9583333333333334,0.8333333333333334,1.0
126,9,0.44177350427350426,0.3333333333333333,0.4444444444444444
