token,community,best_cluster_match_fraction
〇,0,1.0
一,1,1.0
一一,2,1.0
一下子,3,0.5
一不小心,4,0.5
一举,5,0.5
一举一动,6,0.75
一事无成,7,0.5
一些,8,0.75
一代,9,1.0
一会儿,10,0.75
一体,11,0.75
一共,12,1.0
一再,13,1.0
一切,2,1.0
一刹那,14,0.5
一动不动,10,0.75
一半,15,1.0
一卡通,16,1.0
一口气,5,1.0
一句话,17,1.0
一同,18,1.0
一向,19,1.0
一味,20,0.5
一块儿,18,0.75
一塌糊涂,21,1.0
一声不吭,10,0.75
一大早,22,1.0
一天到晚,23,0.25
一头,24,1.0
一如既往,19,1.0
一定,25,0.75
一家人,26,1.0
一帆风顺,27,0.75
一带,28,1.0
一干二净,21,1.0
一年到头,23,0.5
一应俱全,29,1.0
一度,13,1.0
一律,2,1.0
一心,30,0.75
一心一意,30,0.75
一成不变,31,0.5
一手,32,1.0
一技之长,33,1.0
一把手,34,1.0
一揽子,35,1.0
一方面,36,1.0
一旁,37,0.75
一无所有,7,0.5
一无所知,7,0.5
一旦,38,1.0
一早,22,1.0
一时,14,0.75
一晃,39,0.5
一样,40,1.0
一概,2,1.0
一概而论,41,1.0
一模一样,40,1.0
一次性,42,1.0
一毛不拔,43,1.0
一流,44,0.25
一点儿,45,0.0
一生,46,1.0
一番,47,1.0
一目了然,48,1.0
一直,19,1.0
一眼,10,1.0
一瞬间,14,0.5
一筹莫展,7,1.0
一系列,8,0.5
一线,49,0.0
一经,50,1.0
一致,51,0.5
一般,52,1.0
一般来说,53,1.0
一行,6,0.5
一言一行,6,0.75
一言不发,10,0.75
一贯,19,1.0
一起,18,1.0
一路,27,0.75
一路上,54,0.75
一路平安,55,0.75
一路顺风,27,0.25
一身,24,0.0
一辈子,30,0.5
一边,37,1.0
一连,56,1.0
一连串,8,0.5
一道,18,0.75
一部分,57,1.0
一锅粥,58,0.25
一长一短,59,1.0
一阵,60,1.0
一面,61,0.75
一鼓作气,5,0.5
一齐,3,0.25
丁,62,0.75
七,1,1.0
七嘴八舌,63,0.0
万,64,1.0
万一,38,0.75
万万,65,1.0
万分,65,1.0
万古长青,66,1.0
万无一失,67,0.75
万能,68,1.0
丈夫,26,1.0
三,1,1.0
三明治,69,1.0
三番五次,13,1.0
三维,70,1.0
三角,71,1.0
上,72,1.0
上下,73,0.5
上个月,74,0.5
上任,75,1.0
上升,76,1.0
上午,22,1.0
上去,77,1.0
上台,78,0.25
上司,79,1.0
上周,74,0.5
上场,80,0.25
上头,37,1.0
上学,81,0.75
上岗,82,0.5
上市,83,0.5
上帝,84,0.5
上当,85,0.75
上报,86,0.25
上方,87,1.0
上旬,74,1.0
上映,88,1.0
上期,89,1.0
上来,77,1.0
上楼,90,0.25
上次,91,1.0
上流,92,0.0
上涨,76,1.0
上游,93,0.25
上演,94,0.5
上火,95,0.5
上班,90,0.75
上班族,96,0.75
上瘾,97,0.5
上空,98,0.75
上级,79,1.0
上网,99,1.0
上衣,100,1.0
上诉,101,1.0
上课,90,0.5
上调,76,1.0
上车,102,1.0
上边,37,1.0
上述,103,1.0
上门,104,0.0
上限,105,1.0
上面,37,1.0
下,106,0.75
下一代,9,1.0
下个月,74,1.0
下乡,107,1.0
下令,108,1.0
下决心,109,0.0
下功夫,110,0.75
下午,22,1.0
下去,77,1.0
下台,75,1.0
下场,111,0.75
下坠,112,1.0
下属,79,0.75
下山,107,1.0
下岗,82,1.0
