community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,14,68,0.6176642077964741,True
2,7,10,0.35775565320537206,True
3,26,133,0.31848063519367803,True
4,21,86,0.3158555682216372,True
5,4,4,0.5083214392264684,True
6,9,22,0.4782338895731502,True
7,5,8,0.6121734589338302,True
8,24,119,0.3362626221732817,True
9,15,45,0.32916618968759265,True
10,14,55,0.48415316297457767,True
11,2,1,0.7462183237075806,True
12,17,60,0.3502077939098372,True
13,17,60,0.3446532946956508,True
14,13,32,0.31719894191393483,True
15,8,16,0.4457448832690716,True
16,66,791,0.2786587873122075,True
17,2,1,0.7414707094430923,True
18,16,59,0.37146714963018895,True
19,4,3,0.3712450936436653,True
20,17,55,0.30857123127755,True
21,8,16,0.4491726351635797,True
22,11,28,0.4022990665652535,True
23,8,16,0.4417857698031834,True
24,26,126,0.29132327831708466,True
25,56,643,0.32576251566023023,True
26,26,136,0.32528925052055946,True
27,4,4,0.49869978427886963,True
28,5,4,0.2979649543762207,True
29,133,3821,0.3369333343391512,True
30,15,47,0.34467645386854806,True
31,6,7,0.3488836000363032,True
32,3,2,0.489543413122495,True
33,6,8,0.41321506996949514,True
34,5,4,0.30755845457315445,True
35,31,199,0.3287465472695648,True
36,5,6,0.44914077818393705,True
37,4,3,0.3708688293894132,True
38,10,29,0.49449935919708676,True
39,3,2,0.5110184053579966,True
40,1,0,,True
41,30,269,0.4778694564241102,True
42,56,674,0.3371845475652001,True
43,17,71,0.4145423217731364,True
44,5,4,0.30604086369276046,True
45,10,32,0.5691371927658717,True
46,3,3,0.7566142479578654,True
47,14,56,0.47870909185199945,True
48,1,0,,True
49,1,0,,True
50,7,14,0.5150363679443087,True
51,10,26,0.45973798135916394,True
52,7,10,0.37879720826943714,True
53,2,1,0.7761057019233704,True
54,9,16,0.335668640004264,True
55,9,20,0.42895253747701645,True
56,13,40,0.3990259724549758,True
57,3,2,0.5131721347570419,True
58,1,0,,True
59,7,7,0.24653793090865725,True
60,5,4,0.2988038256764412,True
61,13,39,0.3890446978501784,True
62,2,1,0.7710011601448059,True
63,3,2,0.505582461754481,True
64,9,14,0.29357565318544704,True
65,26,160,0.37509088378686173,True
66,29,175,0.32931297811968574,True
67,5,6,0.4617386132478714,True
68,5,5,0.37941723614931105,True
69,8,15,0.41262374977980343,True
70,1,0,,True
71,7,11,0.3948588428043184,True
72,5,5,0.39952342659235,True
73,5,4,0.30622717589139936,True
74,154,4355,0.28123918664434167,True
75,4,5,0.6243719110886256,True
76,2,1,0.736763060092926,True
77,1,0,,True
78,5,5,0.3883702576160431,True
79,16,65,0.43050338787337145,True
80,35,241,0.3117096578373629,True
81,24,127,0.3583316114609656,True
82,23,120,0.3661912881102958,True
83,8,13,0.35768833703228403,True
84,6,7,0.36334694425264996,True
85,46,395,0.2933059827429085,True
86,9,13,0.2705466105706162,True
87,1,0,,True
88,4,3,0.37308939049641293,True
89,6,7,0.3595956762631734,True
90,20,76,0.3035950961865877,True
