token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,24
一塌糊涂,25
一声不吭,16
一大早,26
一天到晚,27
一头,28
一如既往,29
一定,30
一家人,31
一帆风顺,32
一带,33
一干二净,34
一年到头,27
一应俱全,35
一度,36
一律,37
一心,38
一心一意,39
一成不变,40
一手,41
一技之长,42
一把手,43
一揽子,44
一方面,45
一旁,46
一无所有,7
一无所知,7
一旦,47
一早,26
一时,48
一晃,49
一样,50
一概,2
一概而论,51
一模一样,50
一次性,52
一毛不拔,53
一流,54
一点儿,55
一生,56
一番,57
一目了然,58
一直,22
一眼,16
一瞬间,15
一筹莫展,59
一系列,14
一线,60
一经,2
一致,61
一般,8
一般来说,62
一行,63
一言一行,6
一言不发,16
一贯,22
一起,21
一路,33
一路上,64
一路平安,65
一路顺风,65
一身,11
一辈子,56
一边,66
一连,67
一连串,14
一道,68
一部分,17
一锅粥,69
一长一短,70
一阵,71
一面,66
一鼓作气,5
一齐,72
丁,73
七,74
七嘴八舌,72
万,75
万一,4
万万,76
万分,77
万古长青,78
万无一失,79
万能,80
丈夫,31
三,74
三明治,81
三番五次,13
三维,82
三角,83
上,84
上下,85
上个月,86
上任,87
上升,88
上午,26
上去,89
上台,90
上司,91
上周,86
上场,92
上头,84
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,99
上旬,86
上映,100
上期,101
上来,89
上楼,102
上次,103
上流,104
上涨,88
上游,105
上演,106
上火,107
上班,108
上班族,109
上瘾,110
上空,111
上级,91
上网,112
上衣,113
上诉,114
上课,115
上调,116
上车,117
上边,46
上述,118
上门,119
上限,120
上面,46
下,121
下一代,9
下个月,86
下乡,122
下令,123
下决心,124
下功夫,125
下午,26
下去,89
下台,126
下场,127
下坠,128
下属,91
下山,102
下岗,129
下意识,130
下手,131
下旬,86
下期,101
下来,89
下棋,132
下楼,102
下次,133
下海,134
下游,105
下班,26
下级,91
下落,128
下课,102
下调,116
下跌,88
下车,135
下载,136
下边,46
下降,88
下雨,137
下雪,137
下面,46
不,138
不一会儿,49
不一定,139
不为人知,140
不久,141
不了了之,142
不予,143
不亚于,144
不亦乐乎,145
不仅,45
不仅仅,45
不以为然,146
不但,45
不便,147
不值,148
不假思索,149
不停,27
不像话,150
不光,45
不免,151
不再,152
不准,153
不利,154
不利于,155
不可思议,156
不可避免,139
不同,50
不同寻常,50
不在乎,157
不堪,158
不够,159
不大,160
不好意思,150
不如,144
不如说,161
不妨,162
不安,163
不定,164
