community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,14,0.5804582588892292,0.34048446054729714,0.07142857142857142,四 五 六 三 七 八 九 十 二 两 第二 几,一 几 十 第 两 二 第二 九,第二 六 八 几 十 四 二 五 九 两 一 七,四 五 六 三 七 八 九 十 二 两 第二 几 第 一
2,7,0.46630509564482286,0.04884963562727727,0.42857142857142855,统统 通通 一概 一切 一律 所有 一一,所有 一一 一律 一概 通通 统统 一切,通通 所有 统统 一概 一切 一律 一一,统统 通通 一概 一切 一律 所有 一一
3,29,0.48279092014203784,-0.0034822718672407327,0.4827586206896552,急忙 赶忙 连忙 立刻 慌忙 赶紧 忽然 立即 猛然 马上 不由得 顿时,不由自主 迫不及待 赶快 悄悄 情不自禁 便 慌忙 恨不得,慌忙 便 立刻 立即 禁不住 不禁 不由自主 连忙 火速 不由得 一下子 迫不及待,急忙 赶忙 连忙 立刻 慌忙 赶紧 忽然 立即 猛然 马上 不由得 顿时 随即 忍不住 当即 突然 情不自禁 不禁 禁不住 不由自主 毫不犹豫 赶快 一下子 便 悄悄 下意识 恨不得 迫不及待 火速
4,8,0.5090648206448988,0.12393324245022179,0.0,免得 生怕 怕 以免 难免 不免 一不小心 万一,一不小心 万一 不免 难免 以免 怕 免得 生怕,不免 一不小心 以免 怕 免得 生怕 万一 难免,免得 生怕 怕 以免 难免 不免 一不小心 万一
5,4,0.43053322213012474,0.061754354594439655,0.25,一鼓作气 士气 振作 一举,一举 振作 士气 一鼓作气,一鼓作气 振作 士气 一举,一鼓作气 士气 振作 一举
6,10,0.450685162936145,0.05489198655339531,0.4,举动 言行 所作所为 行为 一言一行 一举一动 举措 行动 做法 表态,行动 做法 表态 举措 一言一行 行为 一举一动 言行,举动 行为 举措 行动 言行 一举一动 所作所为 做法 表态 一言一行,举动 言行 所作所为 行为 一言一行 一举一动 举措 行动 做法 表态
7,5,0.511466989843752,0.1345728011598813,0.0,无所事事 一无所有 一事无成 无所作为 一无所知,一无所知 无所事事 无所作为 一无所有 一事无成,无所作为 一无所知 无所事事 一无所有 一事无成,无所事事 一无所有 一事无成 无所作为 一无所知
8,16,0.48871685418629396,0.047296863646319486,0.375,许多 不少 一些 众多 大多数 好多 绝大多数 大量 无数 大批 诸多 大部分,大部分 这些 绝大多数 大多数 一些 成千上万 些 诸多,些 不少 许多 无数 那些 这些 绝大多数 大批 大量 好多 大多数 众多,许多 不少 一些 众多 大多数 好多 绝大多数 大量 无数 大批 诸多 大部分 那些 这些 成千上万 些
9,3,0.5756531560162128,0.3340254835868592,0.0,一代 代 下一代,代 下一代 一代,代 下一代 一代,一代 代 下一代
10,11,0.48397721136497973,0.06563570269807414,0.36363636363636365,钟头 分钟 星期 小时 半天 钟 天 一会儿 好久 礼拜 秒,秒 一会儿 好久 天 钟 礼拜 星期 小时,天 一会儿 秒 礼拜 分钟 钟 小时 好久 钟头 星期 半天,钟头 分钟 星期 小时 半天 钟 天 一会儿 好久 礼拜 秒
11,2,0.49243659431201126,0.20422105245787966,0.0,一体 一身,一体 一身,一身 一体,一体 一身
12,10,0.5721271107716329,0.26027757046341954,0.1,共计 总共 总计 共 一共 合计 共有 累计 约 折合,约 折合 累计 共有 一共 合计 总共 总计,共有 共 约 总共 总计 合计 折合 共计 一共 累计,共计 总共 总计 共 一共 合计 共有 累计 约 折合
13,11,0.5166340690719927,0.13460985090509966,0.09090909090909091,屡次 频频 多次 一再 接连 再次 再度 屡 接二连三 三番五次 频繁,接连 再度 频繁 再次 接二连三 三番五次 多次 屡,屡 频繁 三番五次 再度 再次 多次 接二连三 频频 屡次 接连 一再,屡次 频频 多次 一再 接连 再次 再度 屡 接二连三 三番五次 频繁
14,6,0.5352263046710747,0.21928637243531557,0.0,一瞬间 一刹那 瞬间 千钧一发 时刻 关头,关头 时刻 瞬间 千钧一发 一瞬间 一刹那,一瞬间 时刻 关头 瞬间 千钧一发 一刹那,一瞬间 一刹那 瞬间 千钧一发 时刻 关头
