token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,3
一体,10
一共,11
一再,5
一切,8
一刹那,3
一动不动,12
一半,8
一卡通,13
一口气,14
一句话,15
一同,16
一向,17
一味,18
一块儿,19
一塌糊涂,20
一声不吭,12
一大早,21
一天到晚,22
一头,23
一如既往,17
一定,24
一家人,19
一帆风顺,25
一带,26
一干二净,20
一年到头,22
一应俱全,10
一度,5
一律,2
一心,22
一心一意,22
一成不变,27
一手,28
一技之长,29
一把手,30
一揽子,31
一方面,32
一旁,33
一无所有,7
一无所知,7
一旦,4
一早,21
一时,34
一晃,3
一样,35
一概,2
一概而论,36
一模一样,35
一次性,37
一毛不拔,38
一流,39
一点儿,19
一生,40
一番,41
一目了然,42
一直,17
一眼,12
一瞬间,3
一筹莫展,12
一系列,8
一线,43
一经,2
一致,35
一般,8
一般来说,32
一行,44
一言一行,6
一言不发,12
一贯,17
一起,16
一路,45
一路上,46
一路平安,47
一路顺风,47
一身,48
一辈子,22
一边,33
一连,14
一连串,8
一道,16
一部分,8
一锅粥,20
一长一短,49
一阵,50
一面,23
一鼓作气,51
一齐,3
丁,52
七,1
七嘴八舌,12
万,53
万一,53
万万,53
万分,54
万古长青,47
万无一失,55
万能,56
丈夫,19
三,1
三明治,57
三番五次,5
三维,58
三角,59
上,33
上下,60
上个月,61
上任,62
上升,63
上午,21
上去,64
上台,65
上司,19
上周,61
上场,66
上头,33
上学,67
上岗,62
上市,68
上帝,69
上当,70
上报,71
上方,33
上旬,61
上映,72
上期,73
上来,64
上楼,48
上次,61
上流,74
上涨,63
上游,75
上演,76
上火,57
上班,21
上班族,77
上瘾,78
上空,69
上级,43
上网,79
上衣,48
上诉,80
上课,67
上调,63
上车,46
上边,33
上述,81
上门,82
上限,83
上面,33
下,84
下一代,9
下个月,61
下乡,82
下令,85
下决心,86
下功夫,87
下午,21
下去,64
下台,62
下场,88
下坠,89
下属,90
下山,82
下岗,62
下意识,12
下手,87
下旬,61
下期,73
下来,64
下棋,91
下楼,48
下次,92
下海,82
下游,75
下班,21
下级,43
下落,89
下课,21
下调,63
下跌,63
下车,46
下载,93
下边,33
下降,63
下雨,94
下雪,94
下面,33
不,95
不一会儿,3
不一定,4
不为人知,96
不久,92
不了了之,97
不予,98
不亚于,99
不亦乐乎,100
不仅,4
不仅仅,4
不以为然,12
不但,4
不便,101
不值,12
不假思索,3
不停,5
不像话,12
不光,4
不免,4
不再,95
不准,95
不利,23
不利于,102
不可思议,103
不可避免,104
不同,35
不同寻常,103
不在乎,105
不堪,12
不够,54
不大,54
不好意思,12
不如,99
不如说,4
不妨,95
不安,12
不定,106
