id,level,spellings
L1-0011,1,半年
L1-0032,1,不客气
L1-0434,1,一下儿
L2-0034,2,不太
L2-0062,2,称1
L2-0377,2,面1
L2-0378,2,面2
L2-0591,2,下周
L2-0611,2,笑话儿
L2-0661,2,一点点
L2-0684,2,有空儿
L3-0318,3,…极了
L3-0508,3,能不能
L4-0113,4,穿上
L4-0242,4,…分之…
L4-0522,4,名牌儿
L4-0897,4,有劲儿
L5-0101,5,称2
L5-0326,5,胡同儿
L5-0893,5,一下儿
L6-0050,6,表面上
L7-0217,7-9,别看
L7-0220,7-9,别提了
L7-0367,7-9,茶馆儿
L7-0557,7-9,出主意
L7-0601,7-9,吹了
L7-0711,7-9,大数据
L7-1882,7-9,极少数
L7-2537,7-9,老实说
L7-2952,7-9,哪知道
L7-3607,7-9,谁知道
L7-3893,7-9,说起来
L7-4884,7-9,一个劲儿
L7-4924,7-9,一回事
L7-5300,7-9,真是的
L7-5636,7-9,做证
