run,anchor,community,size,representatives,sample,boundary_words,soft_alternatives
pca100-plain-k10-reg0.001-seed42,猫,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,狗,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,鸟,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,牛奶,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,米饭,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,咖啡,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,医生,0,1467,学生 | 教师 | 讲课 | 外语 | 歌曲 | 演出 | 大学 | 朗诵 | 学校 | 舞蹈 | 戏剧 | 表演,网页 | 取款 | 闭幕式 | 华裔 | 汉字 | 复习 | 队 | 民主 | 共同体 | 任 | 从业 | 校长,师傅 | 小王 | 男人 | 姑娘 | 女人 | 练 | 主人 | 捧场,骨干:0.486576 | 登记:0.473171 | 市场经济:0.437195 | 授权:0.424057 | 新郎:0.309318 | 注册:0.295896 | 黑马:0.235825 | 上市:0.227675
pca100-plain-k10-reg0.001-seed42,感冒,8,1301,面条儿 | 钳子 | 杯子 | 米饭 | 罐头 | 梳子 | 肥皂 | 肉 | 袜子 | 刷子 | 饼干 | 枕头,剪刀 | 物体 | 份 | 秘方 | 睡眠 | 好吃 | 背包 | 焊 | 分量 | 裤子 | 午餐 | 奶,打扮 | 手里 | 脸 | 鬼 | 打扫 | 浑身 | 痴呆 | 做饭,产:0.319391 | 代:0.315784 | 光滑:0.225813 | 多媒体:0.224901 | 黄:0.222614 | 敷:0.186828 | 龙:0.173247 | 娃娃:0.145882
pca100-plain-k10-reg0.001-seed42,医院,0,1467,学生 | 教师 | 讲课 | 外语 | 歌曲 | 演出 | 大学 | 朗诵 | 学校 | 舞蹈 | 戏剧 | 表演,网页 | 取款 | 闭幕式 | 华裔 | 汉字 | 复习 | 队 | 民主 | 共同体 | 任 | 从业 | 校长,师傅 | 小王 | 男人 | 姑娘 | 女人 | 练 | 主人 | 捧场,骨干:0.486576 | 登记:0.473171 | 市场经济:0.437195 | 授权:0.424057 | 新郎:0.309318 | 注册:0.295896 | 黑马:0.235825 | 上市:0.227675
pca100-plain-k10-reg0.001-seed42,学校,0,1467,学生 | 教师 | 讲课 | 外语 | 歌曲 | 演出 | 大学 | 朗诵 | 学校 | 舞蹈 | 戏剧 | 表演,网页 | 取款 | 闭幕式 | 华裔 | 汉字 | 复习 | 队 | 民主 | 共同体 | 任 | 从业 | 校长,师傅 | 小王 | 男人 | 姑娘 | 女人 | 练 | 主人 | 捧场,骨干:0.486576 | 登记:0.473171 | 市场经济:0.437195 | 授权:0.424057 | 新郎:0.309318 | 注册:0.295896 | 黑马:0.235825 | 上市:0.227675
