run,stage,dimensions,whiten,clusters,regularization,seed,returncode,aic,bic,log_likelihood,parameters,fit_seconds,components,effective_hard_components,effective_soft_components,empty_hard_components,fraction_max_membership_below_half,fraction_membership_margin_below_point2,fraction_negative_silhouette,hard_components_size_1_to_5,largest_hard_size,largest_share,mean_cosine_silhouette,mean_max_membership,mean_normalized_membership_entropy,mean_pair_cosine,median_hard_size,occupied_components,retained_variance_ratio,smallest_hard_size,soft_components_mass_below_5,tokens,top5_share,words_in_components_size_1_to_5
pca20-plain-k2-reg1e-05-seed42,sensitivity,20,False,2,1e-05,42,0,-440966.13714706147,-437600.92225761735,220944.06857353073,461,0.111613333,2,1.995135447427399,1.9944467002458877,0,0.0,0.028163862472567667,0.152798098024872,0,5738,0.5246891002194587,0.025727287762233417,0.9521246301276926,0.16497315572136806,0.17515463927441416,5468.0,2,0.21806667873309996,5198,0,10936,1.0,0
pca20-plain-k5-reg1e-05-seed42,sensitivity,20,False,5,1e-05,42,0,-472821.61612462706,-464397.6291779491,237564.80806231353,1154,0.336613375,5,4.74918014403034,4.748055586207111,0,0.009967081199707389,0.04078273591806876,0.1789502560351134,0,2834,0.2591441111923921,0.02365790272711942,0.9312495413629049,0.10630723213984096,0.19326187835912956,2384.0,5,0.21806667873309996,1352,0,10936,1.0,0
pca20-plain-k10-reg1e-05-seed42,screen,20,False,10,1e-05,42,0,-489375.3832900976,-472520.1095813633,246996.6916450488,2309,0.77349775,10,9.29315018081051,9.307538661235725,0,0.018562545720555962,0.052944403803950255,0.23637527432333577,0,1879,0.17181784930504754,0.022644737843093236,0.9121178334453252,0.09790481145941698,0.2094224697289001,963.5,10,0.21806667873309996,820,0,10936,0.5790051207022677,0
pca20-plain-k10-reg1e-05-seed43,repeats,20,False,10,1e-05,43,0,-490554.89291512064,-473699.61920638627,247586.44645756032,2309,0.79161925,10,9.42895531175777,9.426801880001898,0,0.01289319678127286,0.04407461594732992,0.26316752011704464,0,1489,0.13615581565471835,0.020194222712791404,0.9192837891241986,0.09110429322829731,0.20907363345482086,981.0,10,0.21806667873309996,781,0,10936,0.6069861009509876,0
pca20-plain-k10-reg1e-05-seed44,repeats,20,False,10,1e-05,44,0,-490243.0140866842,-473387.7403779499,247430.5070433421,2309,0.732909459,10,9.366284098381147,9.396656880358034,0,0.014081931236283833,0.04197147037307974,0.2508229700073153,0,1688,0.15435259692757863,0.02250157226618161,0.9195891212573628,0.09156966916900733,0.20960595765747247,928.5,10,0.21806667873309996,813,0,10936,0.5950987564008778,0
pca20-plain-k10-reg1e-05-seed45,repeats,20,False,10,1e-05,45,0,-490587.4215341367,-473732.1478254023,247602.71076706835,2309,0.724291416,10,9.428900302050018,9.427372645410546,0,0.014447695683979517,0.044440380395025604,0.2643562545720556,0,1494,0.13661302121433797,0.02011361652290758,0.9192070168777094,0.09100873107989432,0.20915956810054542,969.5,10,0.21806667873309996,770,0,10936,0.6059802487198245,0
pca20-plain-k10-reg1e-05-seed46,repeats,20,False,10,1e-05,46,0,-489082.0414242474,-472226.767715513,246850.0207121237,2309,0.686738,10,9.572670063314554,9.574372995860596,0,0.01929407461594733,0.05641916605705925,0.24689100219458668,0,1636,0.14959765910753475,0.021897219023612583,0.9102291087094657,0.09935215355539188,0.20964656896795117,1021.5,10,0.21806667873309996,827,0,10936,0.5824798829553768,0
pca20-plain-k25-reg1e-05-seed42,screen,20,False,25,1e-05,42,0,-507954.153624459,-465805.0196295555,259751.0768122295,5774,1.302013166,25,23.758478835589933,23.748785918623636,0,0.015910753474762254,0.03794806144842721,0.33933796634967084,0,679,0.06208851499634235,0.020108468346337102,0.9227572043612691,0.06711481602668024,0.23749726267758403,433.0,25,0.21806667873309996,246,0,10936,0.263899049012436,0
pca20-plain-k50-reg1e-06-seed42,sensitivity,20,False,50,1e-06,42,0,-518891.71013184637,-434586.14232666104,270994.8550659232,11549,2.786451709,50,47.62784711121306,47.64757172114827,0,0.005669348939283102,0.01728237015362107,0.4146854425749817,0,374,0.034198975859546454,0.015009438682209919,0.9539941474468407,0.03564802383714088,0.2582077655796768,217.5,50,0.21806667873309996,116,0,10936,0.14109363569861008,0
pca20-plain-k50-reg1e-05-seed42,screen,20,False,50,1e-05,42,0,-518895.16289715515,-434589.5950919698,270996.5814485776,11549,2.733392958,50,47.723101208998095,47.72111787360255,0,0.0074067300658376,0.018288222384784197,0.4102048280907096,0,365,0.03337600585223116,0.015566039813547183,0.9536207506254976,0.035866005925969564,0.2582612704674759,222.0,50,0.21806667873309996,113,0,10936,0.13953913679590343,0
pca20-plain-k50-reg0.0001-seed42,sensitivity,20,False,50,0.0001,42,0,-518174.3903498001,-433868.8225446148,270636.19517490006,11549,2.5128035,50,47.36711664255987,47.39630822555662,0,0.0072238478419897586,0.022585954645208486,0.3931967812728603,0,372,0.03401609363569861,0.016867864210770588,0.9466586867518905,0.04081421760681029,0.2590351944856114,215.0,50,0.21806667873309996,117,0,10936,0.1459400146305779,0
pca20-plain-k50-reg0.001-seed42,sensitivity,20,False,50,0.001,42,0,-500040.70464888355,-415735.1368436982,261569.35232444177,11549,2.527031833,50,42.035400867728974,42.2418780953672,0,0.03383321141185077,0.058522311631309436,0.3766459400146306,0,551,0.05038405267008047,0.018066215945809566,0.8860223417839251,0.08407251456424204,0.26212362856040267,200.0,50,0.21806667873309996,88,0,10936,0.2008046817849305,0
pca20-plain-k50-reg0.001-seed43,repeats,20,False,50,0.001,43,0,-500127.84769860504,-415822.2798934197,261612.92384930252,11549,2.178369292,50,42.85418780780058,43.10007464818376,0,0.04005120702267739,0.06364301389904901,0.38514996342355523,0,540,0.04937820043891734,0.018402917483686002,0.881492208382462,0.08739813314144328,0.26127495419312685,191.5,50,0.21806667873309996,100,0,10936,0.19449524506217997,0
pca20-plain-k50-reg0.001-seed44,repeats,20,False,50,0.001,44,0,-500420.2218686256,-416114.6540634403,261759.1109343128,11549,2.5238368749999998,50,41.88603125304262,42.09915724645427,0,0.0348390636430139,0.05779078273591807,0.3841441111923921,0,579,0.052944403803950255,0.01877854717096338,0.8881481409345733,0.08325020287990026,0.26174723831953983,196.5,50,0.21806667873309996,101,0,10936,0.20235918068763717,0
pca20-plain-k50-reg0.001-seed45,repeats,20,False,50,0.001,45,0,-500303.6220469341,-415998.05424174876,261700.81102346705,11549,1.670593333,50,41.86893335760597,41.94623511758669,0,0.037033650329188005,0.05961960497439649,0.3736283833211412,0,578,0.052852962692026335,0.017895988832236958,0.8832675493267672,0.08554050152561936,0.2614143576796051,194.5,50,0.21806667873309996,83,0,10936,0.20528529626920264,0
pca20-plain-k50-reg0.001-seed46,repeats,20,False,50,0.001,46,0,-500380.9855717757,-416075.41776659037,261739.49278588785,11549,1.617162583,50,42.27008212539214,42.487424338065644,0,0.033741770299926845,0.057333577176298466,0.3824067300658376,0,574,0.05248719824433065,0.019657928835276384,0.8856298264866482,0.08414719799846,0.26276832059281907,204.0,50,0.21806667873309996,94,0,10936,0.19787856620336503,0
pca20-plain-k50-reg0.01-seed42,strong-regularization,20,False,50,0.01,42,0,-350362.66556382773,-266057.0977586424,186730.33278191386,11549,2.599682833,50,3.8522841730824644,10.930526508043931,39,0.8746342355523044,0.7682882223847842,0.7558522311631309,0,3903,0.35689465983906365,-0.04190152438159225,0.2982571339517911,0.6129606846571385,0.20050464204141782,612.0,11,0.21806667873309996,0,20,10936,0.9024323335771763,0
pca20-plain-k100-reg1e-05-seed42,screen,20,False,100,1e-05,42,0,-522723.44265136484,-354105.0072256158,284460.7213256824,23099,4.5695765,100,91.52220786933019,91.53873250468568,0,0.0016459400146305778,0.005486466715435259,0.4354425749817118,0,247,0.022585954645208486,0.013868449970182852,0.9812989250476833,0.013567120016175412,0.2844388025034224,101.5,100,0.21806667873309996,55,0,10936,0.09272128749085588,0
pca20-plain-k200-reg1e-06-seed42,sensitivity,20,False,200,1e-06,42,0,-516402.07730345987,-179157.9066365834,304400.03865172993,46199,7.3115292499999995,200,180.10755000557208,180.0996068018234,0,9.1441111923921e-05,0.0005486466715435259,0.4595830285296269,0,110,0.01005852231163131,0.011109912115370728,0.9962059198340146,0.0029626616633483234,0.31253395000469947,50.0,200,0.21806667873309996,22,0,10936,0.04700073152889539,0
pca20-plain-k200-reg1e-05-seed42,screen,20,False,200,1e-05,42,0,-516416.5728207198,-179172.40215384332,304407.2864103599,46199,6.588311292,200,179.88595219329648,179.89640212150815,0,9.1441111923921e-05,0.00045720555961960497,0.4582114118507681,0,113,0.010332845647403072,0.011236527847413415,0.9959853800074879,0.0030851537440553696,0.31249636729567803,50.0,200,0.21806667873309996,22,0,10936,0.04855523043160205,0
pca20-plain-k200-reg0.0001-seed42,sensitivity,20,False,200,0.0001,42,0,-515220.94637879217,-177976.7757119157,303809.4731893961,46199,7.219961542,200,179.6675980842843,179.648346880587,0,0.000182882223847842,0.001188734455010973,0.45309070958302855,0,136,0.012435991221653255,0.011999204088630814,0.9941702881793015,0.004256547918300391,0.31278697163934327,50.5,200,0.21806667873309996,22,0,10936,0.05148134601316752,0
pca20-plain-k200-reg0.001-seed42,sensitivity,20,False,200,0.001,42,0,-483155.20905137283,-145911.03838449635,287776.6045256864,46199,9.892821875,200,166.30340515946736,166.59355089268706,0,0.005120702267739576,0.012435991221653255,0.4508046817849305,0,198,0.018105340160936356,0.01323212856219126,0.9614692479495633,0.025030530616337303,0.3119047283968633,47.0,200,0.21806667873309996,23,0,10936,0.0696781272860278,0
pca20-plain-k200-reg0.01-seed42,strong-regularization,20,False,200,0.01,42,0,-281003.98008994316,56240.190576933324,186700.99004497158,46199,8.380703542,200,3.1110174191447233,9.720439615277469,189,0.8244330651060717,0.6555413313825896,0.8944769568397952,3,4603,0.42090343818580833,-0.08679426672102657,0.3383300469597895,0.48447495702467336,0.19000667101642874,121.0,11,0.21806667873309996,0,141,10936,0.9788771031455743,6
pca20-white-k50-reg0.01-seed42,sensitivity,20,True,50,0.01,42,0,525117.8665726967,609423.434377882,-251009.9332863484,11549,2.71524125,50,45.930097946442835,45.977867330271515,0,0.008412582297000731,0.02295171909290417,0.4303218727139722,0,469,0.04288588149231894,0.015062441651110436,0.9460475719959921,0.04099594434454317,0.2579437119322189,206.5,50,0.21806667873309996,126,0,10936,0.16779444038039504,0
pca20-white-k50-reg0.1-seed42,sensitivity,20,True,50,0.1,42,0,540617.1390149653,624922.7068201506,-258759.56950748264,11549,1.7804342499999999,50,41.5649564005519,41.78523545676844,0,0.03054133138258961,0.05413313825896123,0.38304681784930505,0,602,0.05504754937820044,0.019035551299036665,0.8932749334973548,0.07903553133852996,0.260862646856476,178.5,50,0.21806667873309996,117,0,10936,0.20793708851499634,0
pca20-white-k50-reg0.1-seed43,repeats,20,True,50,0.1,43,0,539761.9487991187,624067.5166043041,-258331.97439955937,11549,2.432394792,50,41.11914282354705,41.31519423909845,0,0.026975128017556693,0.05047549378200439,0.3814923189465984,0,601,0.05495610826627652,0.01949369611631159,0.899561332337128,0.07454044927489703,0.2614156594884438,198.0,50,0.21806667873309996,97,0,10936,0.20757132406730067,0
pca20-white-k50-reg0.1-seed44,repeats,20,True,50,0.1,44,0,540466.5256621549,624772.0934673402,-258684.26283107747,11549,2.028076334,50,41.077874652063166,41.442995357301776,0,0.03438185808339429,0.053950256035113386,0.37490855888807606,0,641,0.058613752743233355,0.019107220160917104,0.8945153573281753,0.07845121159099319,0.2603110228760899,191.0,50,0.21806667873309996,101,0,10936,0.2107717629846379,0
pca20-white-k50-reg0.1-seed45,repeats,20,True,50,0.1,45,0,540422.1209816635,624727.6887868487,-258662.0604908317,11549,2.536695625,50,42.12301872704027,42.379339403953345,0,0.031912948061448426,0.05331016825164594,0.368050475493782,0,583,0.05331016825164594,0.019094499130078848,0.8962853337375747,0.0770390486256665,0.26085722512588594,203.5,50,0.21806667873309996,100,0,10936,0.206016825164594,0
pca20-white-k50-reg0.1-seed46,repeats,20,True,50,0.1,46,0,539910.7679541862,624216.3357593715,-258406.3839770931,11549,2.846549,50,41.69909702469322,41.9785788641204,0,0.03044989027066569,0.051755669348939284,0.3846013167520117,0,609,0.055687637161667886,0.018309553489951044,0.8954017437012876,0.0783135483644819,0.2601154377688524,189.0,50,0.21806667873309996,108,0,10936,0.20720555961960496,0
pca20-white-k200-reg0.01-seed42,sensitivity,20,True,200,0.01,42,0,527739.4895056409,864983.6601725174,-217670.7447528205,46199,8.412490625,200,178.92464572960552,178.948756762942,0,0.000182882223847842,0.001280175566934894,0.46945866861741037,0,160,0.014630577907827359,0.010322269704507768,0.9946058786111976,0.003988858204503993,0.30960042537836174,51.0,200,0.21806667873309996,18,0,10936,0.052944403803950255,0
pca20-white-k200-reg0.1-seed42,sensitivity,20,True,200,0.1,42,0,555180.3953175511,892424.5659844276,-231391.19765877555,46199,8.519482667,200,166.67562693543758,166.75262580804525,0,0.0037490855888807607,0.008412582297000731,0.4604059985369422,0,224,0.020482809070958303,0.01220004351253493,0.9692370387490081,0.020491846628257978,0.3096200413894358,49.0,200,0.21806667873309996,18,0,10936,0.07086686174103878,0
pca30-plain-k10-reg1e-05-seed42,screen,30,False,10,1e-05,42,0,-806453.734826654,-770253.9503651496,408185.867413327,4959,0.884347625,10,9.559648398083148,9.558726102126561,0,0.0053950256035113385,0.02578639356254572,0.23811265544989027,0,1528,0.1397220190197513,0.02184456127902598,0.9520307543170251,0.05434342783337874,0.2098193251076543,1004.5,10,0.2767050544249359,826,0,10936,0.5820226773957571,0
pca30-plain-k25-reg1e-05-seed42,screen,30,False,25,1e-05,42,0,-834687.5720101463,-744177.1611333177,429742.78600507317,12399,1.7735275000000001,25,23.853888171077053,23.84334696109735,0,0.0038405267008046816,0.011795903438185809,0.3137344550109729,0,700,0.06400877834674469,0.021474961168377722,0.9691281461713903,0.02876005773200906,0.23773131636615125,413.0,25,0.2767050544249359,299,0,10936,0.2757863935625457,0
pca30-plain-k50-reg1e-05-seed42,screen,30,False,50,1e-05,42,0,-847474.1792051761,-666446.0576361406,448536.08960258804,24799,3.264589708,50,48.31552522225463,48.30101540741937,0,9.1441111923921e-05,0.002103145574250183,0.35351133869787854,0,381,0.0348390636430139,0.02361814908874809,0.9892691656319506,0.009814952697325604,0.2649700455779464,216.0,50,0.2767050544249359,117,0,10936,0.1345098756400878,0
pca30-plain-k100-reg1e-05-seed42,screen,30,False,100,1e-05,42,0,-847532.4019875984,-485468.85903414903,473365.2009937992,49599,6.029828,100,91.74462862157634,91.76469523887405,0,0.0,0.00027432333577176297,0.3847841989758595,0,229,0.02094001463057791,0.022299756832845154,0.9970919962360243,0.0026102783893142724,0.2954177392533583,106.5,100,0.2767050544249359,58,0,10936,0.09326993416239941,0
pca30-plain-k200-reg1e-05-seed42,screen,30,False,200,1e-05,42,0,-847043.1109543128,-122908.72523203574,522720.5554771564,99199,9.312669792,200,176.6251908825345,176.62403542491438,0,0.0,9.1441111923921e-05,0.40060351133869787,0,140,0.012801755669348939,0.02296185643365889,0.9994440627320069,0.00044534280203399466,0.3231792028275951,50.5,200,0.2767050544249359,21,0,10936,0.05550475493782005,0
pca50-plain-k2-reg1e-05-seed42,sensitivity,50,False,2,1e-05,42,0,-1351917.5888831783,-1332565.7783150298,678609.7944415892,2651,0.37811625,2,1.98445200787966,1.9841149907361428,0,0.0,0.007040965618141917,0.07178127286027798,0,5952,0.5442574981711777,0.021862354964658166,0.9874026586439915,0.04421261539802966,0.1735878681843219,5468.0,2,0.37323212567029945,4984,0,10936,1.0,0
pca50-plain-k5-reg1e-05-seed42,sensitivity,50,False,5,1e-05,42,0,-1423398.130770171,-1375007.6546267325,718328.0653850855,6629,0.935279417,5,4.908338949105102,4.904735539565249,0,0.001280175566934894,0.010515727871250914,0.2016276517922458,0,2561,0.23418068763716166,0.022474811301360326,0.9784369627237082,0.03511573276763581,0.19284024933151497,2163.0,5,0.37323212567029945,1689,0,10936,1.0,0
pca50-plain-k10-reg1e-05-seed42,screen,50,False,10,1e-05,42,0,-1469655.770127918,-1372867.5180256623,748086.885063959,13259,2.409186833,10,9.792730903510448,9.789444086853207,0,0.001005852231163131,0.006766642282370154,0.22759692757863936,0,1435,0.13121799561082662,0.022680590900206195,0.9832811671193883,0.02086041672272923,0.20995241446438592,1088.5,10,0.37323212567029945,866,0,10936,0.5534016093635699,0
pca50-plain-k25-reg1e-05-seed42,screen,50,False,25,1e-05,42,0,-1512010.1856975039,-1270028.6057187968,789154.0928487519,33149,2.988379166,25,23.406935020149017,23.39832089267839,0,9.1441111923921e-05,0.001554498902706657,0.30605340160936356,0,733,0.06702633504023409,0.025436090001700534,0.995281145833013,0.0052348875446202895,0.24249834639937307,418.0,25,0.37323212567029945,252,0,10936,0.2822787125091441,0
pca50-plain-k50-reg1e-06-seed42,sensitivity,50,False,50,1e-06,42,0,-1521950.9333613147,-1037980.4735885222,827274.4666806574,66299,6.087637834,50,47.127269058992184,47.12767894177585,0,0.0,9.1441111923921e-05,0.30459034381858086,0,477,0.04361741038771032,0.03185949903666277,0.9990532706458486,0.001072244123043307,0.27324668213257863,210.0,50,0.37323212567029945,141,0,10936,0.15151792245793708,0
pca50-plain-k50-reg1e-05-seed42,screen,50,False,50,1e-05,42,0,-1521968.8477093345,-1037998.3879365419,827283.4238546672,66299,5.953994625,50,47.12429793930854,47.12371290612412,0,0.0,9.1441111923921e-05,0.3041331382589612,0,478,0.04370885149963424,0.03189507990834424,0.9990244108501081,0.0011092062323052902,0.27325201966014634,209.5,50,0.37323212567029945,141,0,10936,0.15160936356986102,0
pca50-plain-k50-reg0.0001-seed42,sensitivity,50,False,50,0.0001,42,0,-1521416.843857689,-1037446.3840848965,827007.4219288445,66299,5.347935333,50,46.757663072673004,46.752175608849946,0,0.0,0.000182882223847842,0.30687637161667886,0,521,0.04764081931236284,0.03129002682139325,0.9986417481672517,0.0014810010774696468,0.2726954108266112,212.0,50,0.37323212567029945,142,0,10936,0.1555413313825896,0
pca50-plain-k50-reg0.001-seed42,sensitivity,50,False,50,0.001,42,0,-1459788.2765697786,-975817.816796986,796193.1382848893,66299,9.664651875,50,44.14488854897363,44.13648955055146,0,0.0,0.001188734455010973,0.3063277249451353,0,676,0.061814191660570596,0.02967886694772642,0.992203648507242,0.007437978134307675,0.27012816654422883,201.0,50,0.37323212567029945,132,0,10936,0.17922457937088515,0
