token,community
〇,183
一,36
一一,77
一下子,47
一不小心,47
一举,181
一举一动,73
一事无成,118
一些,176
一代,9
一会儿,19
一体,63
一共,181
一再,138
一切,126
一刹那,73
一动不动,19
一半,176
一卡通,149
一口气,47
一句话,2
一同,64
一向,65
一味,173
一块儿,10
一塌糊涂,43
一声不吭,19
一大早,59
一天到晚,48
一头,152
一如既往,92
一定,136
一家人,151
一帆风顺,118
一带,45
一干二净,155
一年到头,48
一应俱全,107
一度,138
一律,77
一心,92
一心一意,92
一成不变,177
一手,36
一技之长,9
一把手,98
一揽子,33
一方面,57
一旁,104
一无所有,118
一无所知,118
一旦,57
一早,59
一时,47
一晃,19
一样,13
一概,77
一概而论,66
一模一样,97
一次性,77
一毛不拔,114
一流,193
一点儿,43
一生,199
一番,2
一目了然,86
一直,138
一眼,19
一瞬间,73
一筹莫展,118
一系列,53
一线,193
一经,77
一致,97
一般,176
一般来说,57
一行,130
一言一行,131
一言不发,19
一贯,92
一起,10
一路,167
一路上,104
一路平安,5
一路顺风,5
一身,17
一辈子,136
一边,104
一连,47
一连串,106
一道,63
一部分,176
一锅粥,118
一长一短,58
一阵,179
一面,104
一鼓作气,47
一齐,47
丁,190
七,183
七嘴八舌,19
万,183
万一,136
万万,136
万分,122
万古长青,25
万无一失,188
万能,4
丈夫,54
三,183
三明治,96
三番五次,173
三维,30
三角,165
上,104
上下,63
上个月,37
上任,98
上升,28
上午,59
上去,104
上台,155
上司,175
上周,37
上场,144
上头,104
上学,143
上岗,168
上市,90
上帝,4
上当,155
上报,103
上方,94
上旬,37
上映,49
上期,181
上来,104
上楼,178
上次,13
上流,193
上涨,28
上游,72
上演,64
上火,46
上班,59
上班族,145
上瘾,112
上空,35
上级,113
上网,192
上衣,17
上诉,111
上课,143
上调,72
上车,21
上边,104
上述,162
上门,105
上限,88
上面,104
下,64
下一代,90
下个月,37
下乡,105
下令,153
下决心,173
下功夫,188
下午,59
下去,43
下台,155
下场,155
下坠,79
下属,98
下山,50
下岗,93
下意识,47
下手,155
下旬,37
下期,37
下来,104
下棋,48
下楼,59
下次,10
下海,9
下游,72
下班,59
下级,113
下落,163
下课,59
下调,28
下跌,28
下车,23
下载,192
下边,104
下降,28
下雨,78
下雪,78
