community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,230,0.371483967639628,0.29874213836477986,0.0
1,271,0.8066710519447992,0.7818791946308725,0.7343173431734318
2,206,0.6675732319917653,0.5253164556962026,0.6699029126213593
3,186,0.7553291132596747,0.6759259259259259,0.6559139784946236
4,193,0.31151979345657826,0.2965779467680608,0.046632124352331605
5,127,0.25758899001491214,0.1752136752136752,0.07086614173228346
6,299,0.37662538673734713,0.28776978417266186,0.2608695652173913
7,167,0.5220843659165411,0.3453815261044177,0.32335329341317365
8,202,0.34136047393782154,0.18,0.23267326732673269
9,228,0.7505210497860172,0.41846153846153844,0.5307017543859649
10,210,0.6813035531106233,0.6245210727969349,0.6523809523809524
11,218,0.6014849944208545,0.5071942446043165,0.4541284403669725
12,109,0.30076107185250733,0.08333333333333333,0.0
13,190,0.37577696411248995,0.21509433962264152,0.03684210526315789
14,141,0.4905134489693313,0.42777777777777776,0.28368794326241137
15,694,0.5365867385614592,0.4440052700922266,0.3285302593659942
16,356,0.5250909245129199,0.42548596112311016,0.41853932584269665
17,141,0.19948682170937906,0.12090680100755667,0.014184397163120567
18,239,0.8826977622026567,0.8269230769230769,0.8577405857740585
19,179,0.4487893173873858,0.26229508196721313,0.2346368715083799
20,143,0.1370803786722971,0.07342657342657342,0.06293706293706294
21,145,0.2003431105911863,0.15810276679841898,0.013793103448275862
22,211,0.2779732972296648,0.14394904458598726,0.02843601895734597
23,223,0.42725042597943574,0.20580474934036938,0.19730941704035873
24,274,0.7240472016012781,0.7075471698113207,0.6861313868613139
25,299,0.6064877342882156,0.4838709677419355,0.45484949832775917
26,224,0.42136140722456045,0.32398753894080995,0.13392857142857142
27,154,0.1637498850791623,0.11708860759493671,0.0
28,173,0.3486409960739434,0.2087912087912088,0.03468208092485549
29,227,0.7827515438975696,0.7649402390438247,0.7841409691629956
30,223,0.4899567334553788,0.33962264150943394,0.3183856502242152
31,205,0.3687423798448261,0.21329639889196675,0.25853658536585367
32,255,0.5868075878199497,0.5143603133159269,0.7137254901960784
33,136,0.410847385934809,0.23043478260869565,0.19117647058823528
34,188,0.5622805603027122,0.38924050632911394,0.39361702127659576
35,168,0.4056138136049681,0.24444444444444444,0.3333333333333333
36,238,0.6735079285976677,0.560126582278481,0.5210084033613446
37,211,0.42291418025182315,0.3642611683848797,0.08530805687203792
38,181,0.3270697102760115,0.24150943396226415,0.12154696132596685
39,314,0.7538172053520297,0.6738544474393531,0.732484076433121
40,151,0.3579011158991786,0.09642857142857143,0.046357615894039736
41,328,0.7513119879497712,0.6957671957671958,0.7560975609756098
42,135,0.30691926593065705,0.17567567567567569,0.11851851851851852
43,176,0.4105038869143146,0.19112627986348124,0.056818181818181816
44,285,0.4235144414338227,0.2076923076923077,0.24561403508771928
45,241,0.6182626654408924,0.3629242819843342,0.4979253112033195
46,167,0.2343090717299578,0.20476190476190476,0.19161676646706588
47,295,0.5474604457639678,0.33773087071240104,0.39322033898305087
48,225,0.5114413085531122,0.4180602006688963,0.5111111111111111
49,155,0.6050398682481763,0.23024054982817868,0.3419354838709677
