community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,1421,0.6429321584354961,0.5571581196581197,0.6129486277269528
1,955,0.7042035441858192,0.6574450772986168,0.7130890052356021
2,1879,0.6542748954885836,0.5340699815837937,0.5316657796700373
3,820,0.9212832517694814,0.9014084507042254,0.9231707317073171
4,1030,0.5651501566686223,0.4621542940320233,0.5368932038834952
5,1031,0.5672033449640683,0.43857036485480266,0.43452958292919497
6,956,0.5479223363175245,0.48573281452658884,0.6694560669456067
7,948,0.5513022731982908,0.3119007332205302,0.5453586497890295
8,971,0.8548363138021582,0.804093567251462,0.8177136972193615
9,925,0.4160970928377091,0.2583518930957684,0.005405405405405406
