token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
推动,0,1421,0.23660154543846218,9,0.058619931335736064,0.07131219002084668,0.9999619655391351,7,0.00003776504011217596,0.9999242004990229,0.00018532114152345106,3,tuīdòng,to push (e.g. for acceptance of a plan); to promote; to give impetus to,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
强化,0,1421,0.2274054667703598,7,0.054991655925001964,0.06644825233390426,0.9994960004271385,7,0.0002920193470472261,0.9992039810800912,0.002032638967744627,6,qiánghuà,to strengthen; to intensify,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
推进,0,1421,0.22726839896621606,9,0.04947524309759796,0.060173718390614916,0.9997118958907498,7,0.000279386959168281,0.9994325089315815,0.0011643140356729727,3,tuījìn,to impel; to carry forward; to push on; to advance; to drive forward,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
优化,0,1421,0.22554018030420211,7,0.033342112690167514,0.04127510885210008,0.9956813253145854,7,0.003924206268462982,0.9917571190461224,0.012764623995203742,7-9,yōuhuà,to optimize,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
深化,0,1421,0.22452539271629468,9,0.038173942769163194,0.04691699231404365,0.9994199174399497,9,0.0004116112527026513,0.9990083061872471,0.0022968648121933694,6,shēnhuà,to deepen; to intensify,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
促进,0,1421,0.224269688736779,9,0.055985556128200525,0.06731331975641228,0.9998854158883136,7,0.0001035084398174844,0.9997819074484962,0.0005171756628232707,4,cùjìn,to promote (an idea or cause); to advance; boost,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
确立,0,1421,0.22414815881660866,9,0.0556568960671843,0.06693483011521505,0.9769522316696647,7,0.01915360088912947,0.9577986307805353,0.05221050643472505,5,quèlì,to establish; to institute,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
构建,0,1421,0.22298195442367755,7,0.043062474297400205,0.05251005633450604,0.9999700428245536,7,0.00002414754196561334,0.999945895282588,0.0001549621164238622,6,gòujiàn,to construct (sth abstract),Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
提升,0,1421,0.22268365045505473,9,0.0536065651248549,0.0645144864564934,0.9987199155040939,9,0.000641430006685172,0.9980784854974087,0.004754539886738467,6,tíshēng,to promote (to a higher-ranking position); to lift; to hoist; (fig.) to elevate; to raise; to improve,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
加强,0,1421,0.22250650638257058,9,0.04764266750830004,0.057739158399386446,0.999899078585185,7,0.00005055167953197901,0.9998485269056531,0.00047961117374551164,3,jiāqiáng,to reinforce; to strengthen; to enhance,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
拓展,0,1421,0.22227533451377451,9,0.04569955098570086,0.05549940124606336,0.9998971703571803,7,0.00008870895171086278,0.9998084614054694,0.0004741949988773965,7-9,tuòzhǎn,"to expand (one's client base, outlook etc)",Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
规范,0,1421,0.2222051879044518,7,0.02422249295522505,0.03020195799103312,0.9736827671644332,7,0.02575534304927466,0.9479274241151586,0.054041858594896054,3,guīfàn,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
发展,0,1421,0.22166444919033146,9,0.036059698695112885,0.0442778843774447,0.9998536010184204,9,0.00012337505877413473,0.9997302259596462,0.000656366241229438,3,fāzhǎn,development; growth; to develop; to grow; to expand,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
制约,0,1421,0.2210070580885011,4,0.046949572250592014,0.05684363190605551,0.9980643521849827,4,0.0013933982569426138,0.9966709539280401,0.006591928603107835,5,zhìyuē,to restrict; condition,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
举措,0,1421,0.22096459789323772,9,0.030530001921399902,0.03771159410900152,0.9999231831677695,2,0.00003878292226505362,0.9998844002455045,0.00038242071021619473,7-9,jǔcuò,move; act; measure,Translation,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿,1.0
体现,0,1421,0.22062490475111043,7,0.045634641408758836,0.055314064042004986,0.9991643856636514,4,0.000652205668635821,0.9985121799950156,0.003127083645187525,3,tǐxiàn,to embody; to reflect; to incarnate,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
完善,0,1421,0.2206123144394869,7,0.014023536050840113,0.017674990810388987,0.9834985321155222,7,0.01649685998375217,0.96700167213177,0.03653916255275444,3,wánshàn,"(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve",Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
解决,0,1421,0.22035169579984493,4,0.028639365610133583,0.03543214461858049,0.9739563039473533,7,0.024225879617588177,0.9497304243297652,0.05545883352112366,3,jiějué,"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)",Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
影响,0,1421,0.2200832863708829,4,0.04021190103579775,0.04903121329601136,0.9993666189579582,4,0.00044330578866901476,0.9989233131692892,0.0024698177400379316,2,yǐngxiǎng,influence; effect; to influence; to affect (usually adversely); to disturb,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
提高,0,1421,0.22003196656111895,9,0.05383084475601774,0.06456094648694766,0.9890359033735621,7,0.009779569498493035,0.979256333875069,0.027931311438522597,2,tígāo,to raise; to increase; to improve,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
界定,0,1421,0.21980645736477208,9,0.04137084063070401,0.05035617594112858,0.9991230783554326,4,0.0006109461040967618,0.9985121322513358,0.003302306486797531,7-9,jièdìng,definition; to delimit,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
制定,0,1421,0.21923252897678888,9,0.021630162028814126,0.026956911558351695,0.9885066517268014,9,0.008893740229856704,0.9796129114969447,0.030681337777289368,3,zhìdìng,to draw up; to formulate,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
因素,0,1421,0.21914273607542228,7,0.055408773179370624,0.06625735199202322,0.9999876712486966,4,0.000012295295554595109,0.999975375953142,0.00006599015440898593,6,yīnsù,element; factor,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
改变,0,1421,0.2190680958880167,4,0.023658253580092797,0.02940410512596277,0.9826010645852572,4,0.016667155594691053,0.9659339089905662,0.03953800431782139,2,gǎibiàn,to change; to alter; to transform,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
差异,0,1421,0.21896827195124446,7,0.031008415270885825,0.03818581572103395,0.9999911529730652,4,7.457627403991157e-6,0.9999836953456612,0.00005086823843319018,6,chāyì,difference; discrepancy,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
导向,0,1421,0.21862409661603893,7,0.04432329573517457,0.05367971263925048,0.999700619547376,4,0.00029642243669166906,0.9994041971106843,0.0011929928514376822,7-9,dǎoxiàng,to be oriented towards; orientation,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
降低,0,1421,0.21826612906263163,4,0.0495834552898195,0.059644438682454524,0.9933777741187255,7,0.006406633777094725,0.9869711403416308,0.017745203731878975,4,jiàngdī,to reduce; to lower; to bring down,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
定义,0,1421,0.2179895079119426,9,0.048581993738578105,0.058490769622394946,0.9999208568001036,7,0.00005252601341573568,0.9998683307866878,0.0003820291555564686,7-9,dìngyì,definition; to define,Translation,精致 | 柔软 | 细腻 | 柔和 | 奇特 | 迷人 | 优美 | 古朴 | 别致 | 艳丽 | 明亮 | 坚硬,1.0
理念,0,1421,0.21791304167837122,2,0.04016521163916484,0.04884780254344602,0.999529721306652,2,0.0004570026094605325,0.9990727186971914,0.0017993478194152667,7-9,lǐniàn,idea; concept; philosophy; theory,Translation,害臊 | 心疼 | 羞愧 | 贪玩儿 | 怜惜 | 生气 | 厌烦 | 胆怯 | 惭愧 | 好笑 | 嫉妒 | 闹着玩儿,1.0
趋势,0,1421,0.21763800691649507,9,0.04473400398935515,0.054085625063682224,0.9999909409414333,4,5.33741916911291e-6,0.9999856035222642,0.00005228582313127178,4,qūshì,trend; tendency,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
机制,0,1421,0.2175454293207194,9,0.038150032149383006,0.046490151307801535,0.9995032193817237,9,0.00026129011273827007,0.9992419292689855,0.0020096329379431254,5,jīzhì,mechanism; machine-processed; machine-made,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
依据,0,1421,0.21750843124951835,9,0.04495019815254256,0.054324304078562036,0.9948562914796082,4,0.004434686570531565,0.9904216049090766,0.015116012839048612,5,yījù,according to; basis; foundation,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
限制,0,1421,0.21740840426046001,4,0.026950345177023827,0.0332908572303378,0.9507556239664827,4,0.03207727911281058,0.9186783448536722,0.09916964490012317,4,xiànzhì,to restrict; to limit; to confine; restriction; limit,Translation,逮捕 | 讹诈 | 杀害 | 谋害 | 逃跑 | 逃走 | 虐待 | 恐吓 | 迫害 | 骚扰 | 殴打 | 屠杀,1.0
落实,0,1421,0.21705912556326115,9,0.02387762398411636,0.029594789944517585,0.8918412534747888,9,0.10626741306763836,0.7855738404071505,0.15342960685790286,5,luòshí,practical; workable; to implement; to carry out; to decide,Translation,会议 | 招聘 | 聘任 | 申请 | 评审 | 颁奖 | 提交 | 办理 | 诉讼 | 公示 | 仲裁 | 贺信,1.0
