token,community
〇,0
一,3
一一,5
一下子,3
一不小心,3
一举,5
一举一动,2
一事无成,2
一些,3
一代,7
一会儿,4
一体,9
一共,3
一再,5
一切,5
一刹那,2
一动不动,2
一半,3
一卡通,1
一口气,4
一句话,2
一同,3
一向,3
一味,3
一块儿,4
一塌糊涂,2
一声不吭,2
一大早,3
一天到晚,3
一头,4
一如既往,5
一定,3
一家人,4
一帆风顺,2
一带,1
一干二净,2
一年到头,4
一应俱全,9
一度,3
一律,5
一心,2
一心一意,5
一成不变,3
一手,4
一技之长,7
一把手,7
一揽子,5
一方面,3
一旁,2
一无所有,2
一无所知,2
一旦,3
一早,3
一时,3
一晃,4
一样,3
一概,5
一概而论,3
一模一样,9
一次性,1
一毛不拔,2
一流,9
一点儿,2
一生,2
一番,2
一目了然,9
一直,3
一眼,2
一瞬间,2
一筹莫展,2
一系列,5
一线,1
一经,5
一致,5
一般,3
一般来说,3
一行,7
一言一行,2
一言不发,2
一贯,5
一起,4
一路,4
一路上,4
一路平安,2
一路顺风,2
一身,9
一辈子,2
一边,3
一连,4
一连串,2
一道,4
一部分,3
一锅粥,2
一长一短,4
一阵,2
一面,2
一鼓作气,2
一齐,2
丁,6
七,1
七嘴八舌,2
万,1
万一,3
万万,3
万分,2
万古长青,9
万无一失,9
万能,9
丈夫,7
三,3
三明治,6
三番五次,2
三维,1
三角,6
上,4
上下,4
上个月,3
上任,7
上升,1
上午,3
上去,2
上台,7
上司,7
上周,3
上场,7
上头,4
上学,7
上岗,7
上市,1
上帝,7
上当,2
上报,1
上方,4
上旬,3
上映,7
上期,1
上来,2
上楼,4
上次,3
上流,4
上涨,1
上游,1
上演,9
上火,0
上班,4
上班族,4
上瘾,8
上空,4
上级,5
上网,7
上衣,6
上诉,8
上课,7
上调,1
上车,4
上边,4
上述,5
上门,8
上限,1
上面,4
下,3
下一代,7
下个月,3
下乡,7
下令,5
下决心,5
下功夫,5
下午,3
下去,2
下台,8
下场,5
下坠,9
下属,7
下山,4
下岗,8
下意识,2
下手,2
下旬,3
下期,3
下来,4
下棋,7
下楼,4
下次,3
下海,7
下游,1
下班,4
下级,5
下落,8
下课,7
下调,1
下跌,5
下车,4
下载,1
下边,4
下降,5
下雨,4
下雪,4
下面,4
不,3
不一会儿,4
不一定,3
不为人知,2
不久,3
不了了之,2
不予,5
不亚于,3
不亦乐乎,2
不仅,3
不仅仅,3
不以为然,2
不但,3
不便,9
不值,2
不假思索,2
不停,2
不像话,2
不光,3
不免,3
不再,3
不准,3
不利,9
不利于,5
不可思议,2
不可避免,5
不同,3
不同寻常,2
不在乎,2
不堪,2
不够,3
不大,3
不好意思,2
不如,3
不如说,3
不妨,3
不安,2
不定,9
不宜,3
不容,3
不对,2
不少,3
不屑,2
不已,2
不平,2
不幸,2
不得不,3
不得了,2
不得已,5
不得而知,5
不必,3
不怎么,3
不怎么样,2
不惜,5
不慎,2
不懈,5
不成,2
不敢当,2
不料,3
不断,5
不时,3
不易,9
不景气,9
不曾,3
不服,2
不服气,2
不止,3
不正之风,5
不满,2
不然,3
不理,2
不用,3
不用说,3
不由得,2
不由自主,2
不相上下,9
不知,3
不知不觉,3
不禁,2
不算,3
不管,3
不约而同,3
不经意,2
不翼而飞,9
不耐烦,2
不耻下问,2
不肯,2
不能不,3
不至于,3
不良,8
不行,2
不要,3
不要紧,3
不见,2
不见得,3
不解,2
不许,3
不论,3
不起眼,9
不足,5
不辞而别,2
不过,3
不适,8
不通,0
不错,2
不难,3
不顾,5
与,5
与众不同,9
与其,3
与否,5
与日俱增,5
与时俱进,5
与此同时,3
丑,0
丑恶,2
丑闻,8
丑陋,2
专业,9
专人,5
专利,1
专制,2
专卖店,6
专家,1
专心,2
专柜,6
专栏,7
专注,5
专用,1
专程,4
专职,7
专著,7
专辑,7
专长,7
专门,5
专题,7
且,3
世代,7
世故,2
世界,7
世界杯,7
世界级,9
世纪,1
世袭,7
丘陵,6
丙,1
业,1
业余,7
业务,1
业绩,1
丛林,4
东,1
东北,1
东南,6
东奔西走,2
东张西望,2
东方,1
东西,4
东边,4
东道主,7
东部,1
丝,6
丝毫,3
丝绸,6
丢,0
丢人,2
丢失,8
丢弃,8
丢掉,8
丢脸,2
两,3
两侧,4
两口子,4
两岸,4
两手,2
两栖,8
两边,4
严,0
严厉,2
严密,9
严峻,9
严格,9
严禁,5
严肃,2
严谨,9
严重,9
丧失,8
丧生,8
个,3
个人,7
个体,8
个儿,2
个别,5
个头儿,2
个子,6
个性,2
个案,5
丫头,7
中,3
中介,1
中医,8
中午,4
中华,7
中华民族,2
中国,1
中国画,7
