token,community
〇,29
一,8
一一,10
一下子,24
一不小心,42
一举,24
一举一动,10
一事无成,25
一些,42
一代,30
一会儿,10
一体,30
一共,8
一再,24
一切,28
一刹那,45
一动不动,7
一半,8
一卡通,31
一口气,10
一句话,21
一同,10
一向,42
一味,24
一块儿,10
一塌糊涂,40
一声不吭,7
一大早,8
一天到晚,42
一头,10
一如既往,48
一定,42
一家人,32
一帆风顺,26
一带,9
一干二净,4
一年到头,32
一应俱全,30
一度,24
一律,24
一心,44
一心一意,44
一成不变,19
一手,10
一技之长,28
一把手,39
一揽子,35
一方面,42
一旁,10
一无所有,43
一无所知,22
一旦,42
一早,8
一时,42
一晃,10
一样,42
一概,48
一概而论,42
一模一样,30
一次性,18
一毛不拔,37
一流,30
一点儿,10
一生,32
一番,40
一目了然,19
一直,42
一眼,10
一瞬间,45
一筹莫展,7
一系列,24
一线,35
一经,48
一致,48
一般,42
一般来说,42
一行,39
一言一行,37
一言不发,14
一贯,48
一起,10
一路,10
一路上,10
一路平安,26
一路顺风,26
一身,37
一辈子,32
一边,24
一连,8
一连串,19
一道,10
一部分,42
一锅粥,40
一长一短,6
一阵,14
一面,10
一鼓作气,10
一齐,10
丁,6
七,8
七嘴八舌,14
万,6
万一,42
万万,32
万分,19
万古长青,0
万无一失,19
万能,30
丈夫,32
三,8
三明治,41
三番五次,24
三维,18
三角,6
上,8
上下,35
上个月,8
上任,15
上升,35
上午,8
上去,10
上台,47
上司,47
上周,8
上场,16
上头,10
上学,5
上岗,5
上市,31
上帝,32
上当,40
上报,33
上方,6
上旬,8
上映,15
上期,8
上来,10
上楼,10
上次,8
上流,26
上涨,35
上游,31
上演,46
上火,17
上班,5
上班族,32
上瘾,25
上空,9
上级,47
上网,36
上衣,12
上诉,47
上课,5
上调,35
上车,11
上边,10
上述,48
上门,10
上限,35
上面,10
下,8
下一代,30
下个月,8
下乡,5
下令,24
下决心,44
下功夫,4
下午,8
下去,10
下台,47
下场,16
下坠,43
下属,39
下山,10
下岗,25
下意识,14
下手,44
下旬,8
下期,8
下来,10
下棋,25
下楼,10
下次,10
下海,25
下游,35
下班,5
下级,47
下落,11
下课,25
下调,35
下跌,35
下车,11
下载,33
下边,10
下降,35
下雨,34
下雪,34
下面,10
不,42
不一会儿,10
不一定,42
不为人知,30
不久,8
不了了之,40
不予,48
不亚于,42
不亦乐乎,40
不仅,42
不仅仅,42
不以为然,7
不但,42
不便,19
不值,40
不假思索,24
不停,24
不像话,40
不光,42
不免,42
不再,42
不准,24
不利,43
不利于,42
不可思议,19
不可避免,42
不同,42
不同寻常,19
不在乎,40
不堪,43
不够,42
不大,42
不好意思,40
不如,42
不如说,42
不妨,10
不安,7
不定,19
