community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,164,0.33296776818186274,0.21153846153846154,0.0975609756097561
1,207,0.4409422973842196,0.34276729559748426,0.14009661835748793
2,176,0.6654341414127094,0.5118110236220472,0.6931818181818182
3,192,0.7257297561049811,0.6583333333333333,0.65625
4,174,0.3099444530768685,0.24161073825503357,0.21264367816091953
5,170,0.5811676489680462,0.4298245614035088,0.4647058823529412
6,268,0.361559136608278,0.256198347107438,0.12686567164179105
7,193,0.5537132470593028,0.48936170212765956,0.49222797927461137
8,365,0.5737782615928415,0.46557971014492755,0.42191780821917807
9,235,0.7026261613218068,0.6476868327402135,0.676595744680851
10,231,0.47215585542679106,0.22714681440443213,0.09090909090909091
11,180,0.5210830732509378,0.4933920704845815,0.4222222222222222
12,265,0.7233954857031573,0.555205047318612,0.5433962264150943
13,277,0.5347757442178389,0.19854721549636803,0.22021660649819494
14,136,0.22052455004990504,0.15546218487394958,0.21323529411764705
15,191,0.5338609003084844,0.3110539845758355,0.5287958115183246
16,172,0.5209834449762927,0.37209302325581395,0.22674418604651161
17,344,0.555617506403046,0.43914081145584727,0.36627906976744184
18,175,0.3292748889385474,0.2971698113207547,0.22857142857142856
19,166,0.2569729417745063,0.1968503937007874,0.2289156626506024
20,178,0.38604205985168183,0.1970260223048327,0.12921348314606743
21,165,0.5989172656013769,0.36298932384341637,0.5212121212121212
22,173,0.34655817093942387,0.23661971830985915,0.35260115606936415
23,175,0.2883106244927763,0.20261437908496732,0.2057142857142857
24,177,0.4507689293341541,0.34782608695652173,0.3220338983050847
25,139,0.27793602120162564,0.14225941422594143,0.014388489208633094
26,179,0.4022591200745731,0.2607003891050584,0.20670391061452514
27,163,0.2855626835499717,0.2271186440677966,0.03680981595092025
28,186,0.2863704197401158,0.20462046204620463,0.053763440860215055
29,156,0.320791503507293,0.2648401826484018,0.03205128205128205
30,155,0.3117943704397267,0.1609907120743034,0.15483870967741936
31,582,0.697998520547586,0.6240822320117474,0.6013745704467354
32,265,0.6575383533530417,0.5454545454545454,0.47924528301886793
33,236,0.2587374836747558,0.16802168021680217,0.00847457627118644
34,143,0.3493084964587255,0.27235772357723576,0.11888111888111888
35,311,0.37127250475151596,0.2658536585365854,0.13504823151125403
36,281,0.7530257354599614,0.4358974358974359,0.5266903914590747
37,161,0.4399533565391392,0.20300751879699247,0.2981366459627329
38,139,0.15090003242857125,0.140625,0.04316546762589928
39,381,0.42437810373953233,0.24266144814090018,0.1732283464566929
40,243,0.40476110281637806,0.34394904458598724,0.1646090534979424
41,303,0.6256965564866938,0.6085858585858586,0.768976897689769
42,602,0.8397463129427251,0.7529585798816568,0.7657807308970099
43,128,0.15142453989270827,0.08814589665653495,0.0
44,130,0.3697074566260613,0.13015873015873017,0.2692307692307692
45,123,0.2857982721214939,0.24,0.2764227642276423
46,235,0.522212136303759,0.39779005524861877,0.42127659574468085
47,258,0.393975832122395,0.30753968253968256,0.3682170542635659
48,171,0.2198318870126521,0.14482758620689656,0.04678362573099415
49,117,0.34650051296787304,0.2300469483568075,0.1452991452991453
