token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
电脑,0,65,0.40997567395677575,106,0.0729660529203423,0.11005597552472465,0.99999999999811,191,8.665985011144748e-13,0.9999999999972433,1.040913952155467e-11,1,diànnǎo,computer,Translation,电铃 | 响声 | 门铃 | 响 | 响起 | 喇叭 | 开关 | 铃声 | 关上 | 音量 | 声 | 关掉,1.0
显示器,0,65,0.40351152712992944,106,0.1381574538354397,0.1880599194975479,0.9999997491817142,142,2.5081037839990834e-7,0.9999994983713358,7.668443063775962e-7,7-9,xiǎnshìqì,monitor (computer),Translation,燃料 | 燃气 | 煤气 | 设备 | 发电 | 零件 | 配件 | 部件 | 天然气 | 管道 | 热水器 | 电池,1.0
硬盘,0,65,0.3943583986004807,106,0.12853158854891505,0.17506984769893683,0.9999999904792816,142,9.435537511039007e-9,0.9999999810437441,3.508224480925315e-8,7-9,yìngpán,hard disk,Translation,燃料 | 燃气 | 煤气 | 设备 | 发电 | 零件 | 配件 | 部件 | 天然气 | 管道 | 热水器 | 电池,1.0
打印机,0,65,0.3921537565166713,171,0.09078433826254328,0.12994612694404814,0.9999999988282298,35,6.78192949815474e-10,0.9999999981500368,4.931795642825585e-9,6,dǎyìnjī,printer,Translation,工艺品 | 首饰 | 家具 | 服装 | 珠宝 | 刺绣 | 瓷器 | 丝绸 | 地毯 | 服饰 | 装饰 | 玩具,1.0
屏幕,0,65,0.39192125159548097,106,0.08374720466086527,0.12105241829941922,0.999999999503288,137,3.835519792746061e-10,0.999999999119736,2.1525756503689944e-9,6,píngmù,"screen (TV, computer or movie)",Translation,节目 | 播出 | 电视剧 | 电影 | 影片 | 纪录片 | 演出 | 剧 | 播放 | 短片 | 动画片 | 放映,0.75
录音机,0,65,0.3820030131311745,191,0.018531441073003807,0.029113296845081824,0.9999999999999716,191,2.9410238134960374e-14,0.9999999999999422,1.802903625392816e-13,6,lùyīnjī,(tape) recording machine; tape recorder,Translation,电铃 | 响声 | 门铃 | 响 | 响起 | 喇叭 | 开关 | 铃声 | 关上 | 音量 | 声 | 关掉,1.0
摄像机,0,65,0.38156023453340693,137,0.10053030194025925,0.13982543432280464,0.9999999999934204,135,6.574759735464875e-12,0.9999999999868456,3.322456040455118e-11,5,shèxiàngjī,video camera,Translation,侦察 | 探测 | 观测 | 导弹 | 发射 | 飞行 | 作战 | 演习 | 监视 | 机动 | 测量 | 潜艇,1.0
音响,0,65,0.37675931753435116,191,0.004595580957197809,0.007319712518903503,0.9999999978663396,191,2.133577665765196e-9,0.999999995732762,8.443068464161097e-9,7-9,yīnxiǎng,sound; acoustics; audio; hi-fi system; stereo sound system; abbr. for 组合音响,Translation,电铃 | 响声 | 门铃 | 响 | 响起 | 喇叭 | 开关 | 铃声 | 关上 | 音量 | 声 | 关掉,1.0
鼠标,0,65,0.37389553223696376,171,0.08060011704277498,0.11405064969958031,0.9999999855665608,191,1.4433361675365903e-8,0.999999971133199,5.1905465123119435e-8,5,shǔbiāo,mouse (computing),Translation,电铃 | 响声 | 门铃 | 响 | 响起 | 喇叭 | 开关 | 铃声 | 关上 | 音量 | 声 | 关掉,0.75
相机,0,65,0.3736810798131209,157,0.0598381714658916,0.0872076849366336,0.9999999995431494,35,4.5017870071611537e-10,0.9999999990929708,1.947262704863281e-9,2,xiàngjī,camera (abbr. for 照相机); at the opportune moment; as the circumstances allow,Translation,工艺品 | 首饰 | 家具 | 服装 | 珠宝 | 刺绣 | 瓷器 | 丝绸 | 地毯 | 服饰 | 装饰 | 玩具,1.0
手机,0,65,0.3719301817194457,157,0.08702165805086415,0.12169304338139367,0.9999999938827244,127,6.110487215726239e-9,0.9999999877722372,2.3001091039064734e-8,1,shǒujī,cell phone; mobile phone,Translation,袋 | 筐 | 包 | 盒 | 兜儿 | 捆 | 箱 | 盒子 | 口袋 | 瓶 | 钱包 | 块,1.0
