token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
轻易,0,37,0.3720677639566831,276,0.04294482934805016,0.06401296386991208,0.9999999999969305,276,3.0755486983825434e-12,0.9999999999938549,1.4121889623177579e-11,4,qīngyì,easily; lightly; rashly,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.75
决不,0,37,0.36343378181140007,53,0.04024132081415016,0.059457554024064586,0.9999999804775686,53,1.9517677511871257e-8,0.9999999609598911,6.110779229131419e-8,5,jué bù,not at all; simply (can) not,Translation,故意 | 公然 | 偷偷 | 私自 | 擅自 | 存心 | 执意 | 趁机 | 竟敢 | 强行 | 企图 | 暗中,0.5
宁愿,0,37,0.35593835606807406,276,-0.024723125752582675,-0.038386272471763336,0.9999999998079545,276,1.9204217402195e-10,0.9999999996159123,7.491998260398224e-10,7-9,nìngyuàn,would rather ... (than ...),Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.5
宁可,0,37,0.3488608475070198,276,-0.016242221745397967,-0.024944317483002246,0.9999999472977678,276,5.270174965189025e-8,0.9999998945960181,1.5620964582046883e-7,7-9,nìngkě,preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.5
无法,0,37,0.3428701974935208,220,0.061335609151340176,0.08537030197433115,0.9999938471559346,220,6.152841218573975e-6,0.9999876943147161,0.000013348716367532661,4,wúfǎ,unable; incapable,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
不得不,0,37,0.34226799456545287,57,-0.007275873618964757,-0.011062064121629247,0.9999999979662135,57,1.891972934035156e-9,0.9999999960742406,7.218785508418008e-9,3,bùdébù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,Translation,赶忙 | 急忙 | 连忙 | 慌忙 | 赶紧 | 吩咐 | 立刻 | 告辞 | 赶快 | 匆匆 | 顾不得 | 当即,0.25
不能不,0,37,0.33750449095554724,229,0.012293437173433897,0.018218195840843537,0.9999999930830228,229,6.916438596229278e-9,0.9999999861665841,2.2847146111352417e-8,5,bù néng bù,have to; cannot but,Translation,反倒 | 也 | 确实 | 却 | 似乎 | 反而 | 竟然 | 倒是 | 的确 | 居然 | 不但 | 不仅,0.25
容易,0,37,0.3340000501625256,336,0.017222416711246635,0.025207630128160387,0.9999999999999716,220,2.2834188882129314e-14,0.9999999999999487,1.281394233248186e-13,3,róngyì,easy; straightforward; likely; liable to; apt to,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
难以,0,37,0.3326081569243344,220,0.07177246007741539,0.09709946729198496,0.9999999966443767,220,3.3542257472094787e-9,0.9999999932901509,1.1490733106041028e-8,5,nányǐ,"hard to (predict, imagine etc)",Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.0
不宜,0,37,0.3316842666291197,197,0.040845506143553145,0.05759692417978222,0.9999999999851212,220,8.314966435604404e-12,0.9999999999768062,6.620724039074785e-11,7-9,bùyí,not suitable; inadvisable; inappropriate,Translation,应该 | 不一定 | 未必 | 迟早 | 不见得 | 照样 | 必然 | 必须 | 能 | 才能 | 只要 | 会,0.25
