token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,2
一刹那,13
一动不动,14
一半,15
一卡通,16
一口气,4
一句话,17
一同,18
一向,19
一味,20
一块儿,21
一塌糊涂,22
一声不吭,9
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,22
一年到头,30
一应俱全,31
一度,12
一律,2
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,6
一无所知,6
一旦,40
一早,23
一时,13
一晃,3
一样,41
一概,2
一概而论,42
一模一样,41
一次性,43
一毛不拔,44
一流,45
一点儿,46
一生,47
一番,48
一目了然,49
一直,19
一眼,9
一瞬间,3
一筹莫展,6
一系列,7
一线,50
一经,51
一致,52
一般,53
一般来说,54
一行,55
一言一行,5
一言不发,9
一贯,19
一起,18
一路,28
一路上,56
一路平安,28
一路顺风,28
一身,10
一辈子,32
一边,39
一连,57
一连串,7
一道,58
一部分,7
一锅粥,59
一长一短,60
一阵,61
一面,62
一鼓作气,4
一齐,63
丁,64
七,1
七嘴八舌,63
万,65
万一,66
万万,66
万分,66
万古长青,67
万无一失,68
万能,69
丈夫,27
三,1
三明治,70
三番五次,12
三维,71
三角,72
上,73
上下,74
上个月,75
上任,76
上升,77
上午,23
上去,78
上台,79
上司,80
上周,75
上场,81
上头,39
上学,82
上岗,83
上市,84
上帝,85
上当,86
上报,87
上方,88
上旬,75
上映,89
上期,90
上来,78
上楼,91
上次,92
上流,93
上涨,77
上游,94
上演,95
上火,96
上班,23
上班族,97
上瘾,98
上空,99
上级,80
上网,100
上衣,101
上诉,102
上课,82
上调,77
上车,103
上边,39
上述,104
上门,105
上限,106
上面,39
下,107
下一代,8
下个月,75
下乡,108
下令,109
下决心,110
下功夫,111
下午,23
下去,78
下台,76
下场,112
下坠,113
下属,114
下山,108
下岗,83
下意识,3
下手,115
下旬,75
下期,90
下来,78
下棋,116
下楼,91
下次,21
下海,108
下游,94
下班,23
下级,80
下落,117
下课,118
下调,77
下跌,77
下车,103
下载,119
下边,39
下降,77
下雨,120
下雪,120
下面,39
不,121
不一会儿,3
不一定,122
不为人知,123
不久,124
不了了之,125
不予,126
不亚于,127
不亦乐乎,128
不仅,122
不仅仅,129
不以为然,130
不但,122
不便,131
不值,132
不假思索,133
不停,24
不像话,46
不光,134
不免,24
不再,121
不准,135
不利,136
不利于,136
不可思议,137
不可避免,138
不同,41
不同寻常,139
不在乎,132
不堪,140
不够,141
不大,142
不好意思,46
不如,143
不如说,134
不妨,144
不安,130
不定,145
