token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,10
一半,15
一卡通,16
一口气,5
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,10
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,21
一年到头,23
一应俱全,29
一度,13
一律,2
一心,30
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,7
一无所知,7
一旦,38
一早,22
一时,14
一晃,4
一样,39
一概,2
一概而论,40
一模一样,39
一次性,41
一毛不拔,42
一流,43
一点儿,44
一生,45
一番,46
一目了然,47
一直,48
一眼,10
一瞬间,14
一筹莫展,49
一系列,35
一线,50
一经,51
一致,52
一般,53
一般来说,54
一行,55
一言一行,6
一言不发,10
一贯,19
一起,18
一路,27
一路上,56
一路平安,57
一路顺风,57
一身,11
一辈子,30
一边,37
一连,58
一连串,35
一道,18
一部分,8
一锅粥,21
一长一短,59
一阵,60
一面,61
一鼓作气,5
一齐,18
丁,62
七,1
七嘴八舌,63
万,64
万一,38
万万,65
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,26
三,1
三明治,69
三番五次,13
三维,70
三角,71
上,72
上下,73
上个月,74
上任,75
上升,76
上午,22
上去,77
上台,78
上司,79
上周,74
上场,80
上头,37
上学,81
上岗,82
上市,83
上帝,84
上当,85
上报,86
上方,87
上旬,88
上映,89
上期,90
上来,77
上楼,91
上次,92
上流,93
上涨,76
上游,94
上演,95
上火,96
上班,91
上班族,97
上瘾,98
上空,99
上级,79
上网,100
上衣,101
上诉,102
上课,91
上调,76
上车,103
上边,37
上述,104
上门,105
上限,106
上面,37
下,72
下一代,9
下个月,88
下乡,107
下令,108
下决心,109
下功夫,110
下午,22
下去,77
下台,75
下场,111
下坠,112
下属,79
下山,107
下岗,113
下意识,3
下手,110
下旬,88
下期,90
下来,77
下棋,114
下楼,91
下次,115
下海,107
下游,94
下班,91
下级,79
下落,116
下课,91
下调,76
下跌,76
下车,103
下载,117
下边,37
下降,76
下雨,118
下雪,118
下面,37
不,119
不一会儿,3
不一定,120
不为人知,121
不久,122
不了了之,123
不予,124
不亚于,125
不亦乐乎,63
不仅,126
不仅仅,127
不以为然,128
不但,126
不便,129
不值,130
不假思索,3
不停,131
不像话,44
不光,126
不免,132
不再,119
不准,119
不利,133
不利于,133
不可思议,134
不可避免,132
不同,39
不同寻常,39
不在乎,135
不堪,136
不够,137
不大,138
不好意思,44
不如,139
不如说,126
不妨,140
不安,128
不定,141
