token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,2
一刹那,13
一动不动,9
一半,14
一卡通,15
一口气,4
一句话,16
一同,17
一向,18
一味,19
一块儿,17
一塌糊涂,20
一声不吭,9
一大早,21
一天到晚,22
一头,23
一如既往,18
一定,24
一家人,25
一帆风顺,26
一带,27
一干二净,20
一年到头,22
一应俱全,28
一度,12
一律,2
一心,29
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,9
一无所有,6
一无所知,6
一旦,37
一早,21
一时,13
一晃,38
一样,39
一概,2
一概而论,40
一模一样,39
一次性,41
一毛不拔,42
一流,43
一点儿,44
一生,45
一番,46
一目了然,47
一直,18
一眼,9
一瞬间,13
一筹莫展,48
一系列,7
一线,49
一经,50
一致,51
一般,52
一般来说,53
一行,54
一言一行,5
一言不发,9
一贯,18
一起,17
一路,26
一路上,55
一路平安,26
一路顺风,26
一身,10
一辈子,45
一边,56
一连,57
一连串,7
一道,17
一部分,58
一锅粥,59
一长一短,60
一阵,61
一面,62
一鼓作气,4
一齐,63
丁,64
七,1
七嘴八舌,63
万,65
万一,66
万万,66
万分,66
万古长青,67
万无一失,68
万能,69
丈夫,25
三,1
三明治,70
三番五次,12
三维,71
三角,72
上,73
上下,74
上个月,75
上任,76
上升,77
上午,21
上去,78
上台,79
上司,80
上周,75
上场,79
上头,56
上学,81
上岗,82
上市,83
上帝,84
上当,85
上报,86
上方,87
上旬,75
上映,88
上期,89
上来,78
上楼,90
上次,91
上流,92
上涨,77
上游,93
上演,94
上火,95
上班,21
上班族,96
上瘾,97
上空,98
上级,80
上网,99
上衣,100
上诉,101
上课,81
上调,77
上车,102
上边,56
上述,103
上门,104
上限,105
上面,56
下,106
下一代,8
下个月,75
下乡,107
下令,108
下决心,109
下功夫,110
下午,21
下去,78
下台,76
下场,79
下坠,111
下属,80
下山,107
下岗,82
下意识,9
下手,112
下旬,75
下期,89
下来,78
下棋,113
下楼,90
下次,114
下海,107
下游,93
下班,21
下级,80
下落,115
下课,116
下调,77
下跌,77
下车,117
下载,118
下边,56
下降,77
下雨,119
下雪,119
下面,56
不,120
不一会儿,13
不一定,24
不为人知,121
不久,122
不了了之,123
不予,124
不亚于,125
不亦乐乎,126
不仅,127
不仅仅,128
不以为然,129
不但,127
不便,130
不值,131
不假思索,132
不停,133
不像话,44
不光,134
不免,135
不再,120
不准,136
不利,137
不利于,137
不可思议,138
不可避免,135
不同,39
不同寻常,139
不在乎,140
不堪,141
不够,142
不大,143
不好意思,44
不如,144
不如说,134
不妨,145
不安,129
不定,146
