token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,5
一切,2
一刹那,3
一动不动,13
一半,14
一卡通,15
一口气,16
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,13
一大早,22
一天到晚,23
一头,24
一如既往,19
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,21
一年到头,23
一应俱全,29
一度,5
一律,2
一心,30
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,13
一无所有,7
一无所知,7
一旦,37
一早,22
一时,3
一晃,38
一样,39
一概,2
一概而论,40
一模一样,39
一次性,41
一毛不拔,42
一流,43
一点儿,44
一生,45
一番,46
一目了然,47
一直,19
一眼,48
一瞬间,3
一筹莫展,7
一系列,49
一线,28
一经,50
一致,39
一般,8
一般来说,51
一行,52
一言一行,6
一言不发,13
一贯,19
一起,18
一路,53
一路上,54
一路平安,55
一路顺风,55
一身,56
一辈子,57
一边,58
一连,16
一连串,49
一道,18
一部分,8
一锅粥,59
一长一短,60
一阵,61
一面,62
一鼓作气,63
一齐,18
丁,64
七,1
七嘴八舌,65
万,66
万一,37
万万,67
万分,68
万古长青,69
万无一失,70
万能,71
丈夫,72
三,1
三明治,73
三番五次,5
三维,74
三角,75
上,76
上下,77
上个月,78
上任,79
上升,80
上午,22
上去,81
上台,82
上司,83
上周,78
上场,84
上头,76
上学,85
上岗,86
上市,87
上帝,88
上当,89
上报,90
上方,91
上旬,78
上映,92
上期,78
上来,81
上楼,93
上次,78
上流,94
上涨,80
上游,95
上演,96
上火,97
上班,98
上班族,99
上瘾,100
上空,101
上级,83
上网,102
上衣,56
上诉,103
上课,104
上调,80
上车,93
上边,105
上述,106
上门,107
上限,108
上面,105
下,109
下一代,9
下个月,78
下乡,110
下令,111
下决心,112
下功夫,113
下午,22
下去,81
下台,114
下场,84
下坠,115
下属,83
下山,93
下岗,114
下意识,116
下手,117
下旬,78
下期,78
下来,81
下棋,118
下楼,93
下次,119
下海,110
下游,95
下班,93
下级,83
下落,120
下课,93
下调,80
下跌,80
下车,93
下载,121
下边,105
下降,80
下雨,122
下雪,122
下面,105
不,123
不一会儿,124
不一定,25
不为人知,125
不久,126
不了了之,127
不予,128
不亚于,129
不亦乐乎,130
不仅,131
不仅仅,131
不以为然,132
不但,131
不便,133
不值,134
不假思索,116
不停,58
不像话,21
不光,131
不免,116
不再,135
不准,136
不利,137
不利于,137
不可思议,138
不可避免,25
不同,39
不同寻常,139
不在乎,140
不堪,141
不够,142
不大,68
不好意思,143
不如,129
不如说,119
不妨,144
不安,145
不定,58
