token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,5
一切,8
一刹那,3
一动不动,13
一半,2
一卡通,14
一口气,15
一句话,16
一同,17
一向,18
一味,19
一块儿,17
一塌糊涂,20
一声不吭,21
一大早,22
一天到晚,23
一头,24
一如既往,18
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,20
一年到头,23
一应俱全,29
一度,5
一律,2
一心,30
一心一意,30
一成不变,19
一手,24
一技之长,31
一把手,32
一揽子,33
一方面,34
一旁,35
一无所有,7
一无所知,7
一旦,36
一早,22
一时,3
一晃,3
一样,37
一概,2
一概而论,38
一模一样,11
一次性,39
一毛不拔,40
一流,41
一点儿,8
一生,42
一番,43
一目了然,44
一直,18
一眼,45
一瞬间,3
一筹莫展,46
一系列,8
一线,47
一经,48
一致,11
一般,2
一般来说,34
一行,49
一言一行,6
一言不发,21
一贯,18
一起,17
一路,28
一路上,50
一路平安,27
一路顺风,27
一身,51
一辈子,42
一边,35
一连,5
一连串,8
一道,17
一部分,2
一锅粥,52
一长一短,53
一阵,54
一面,55
一鼓作气,56
一齐,17
丁,57
七,1
七嘴八舌,15
万,1
万一,36
万万,58
万分,59
万古长青,60
万无一失,61
万能,62
丈夫,26
三,1
三明治,63
三番五次,5
三维,64
三角,65
上,35
上下,66
上个月,67
上任,68
上升,69
上午,22
上去,70
上台,68
上司,26
上周,67
上场,71
上头,35
上学,72
上岗,68
上市,73
上帝,74
上当,75
上报,76
上方,35
上旬,67
上映,77
上期,67
上来,70
上楼,78
上次,67
上流,79
上涨,69
上游,80
上演,81
上火,52
上班,78
上班族,82
上瘾,83
上空,84
上级,85
上网,86
上衣,51
上诉,87
上课,88
上调,69
上车,78
上边,35
上述,66
上门,78
上限,89
上面,35
下,35
下一代,9
下个月,67
下乡,78
下令,90
下决心,91
下功夫,91
下午,22
下去,70
下台,68
下场,71
下坠,92
下属,85
下山,78
下岗,68
下意识,93
下手,94
下旬,67
下期,67
下来,70
下棋,95
下楼,78
下次,67
下海,78
下游,80
下班,78
下级,85
下落,92
下课,78
下调,69
下跌,69
下车,78
下载,86
下边,35
下降,69
下雨,96
下雪,96
下面,35
不,97
不一会儿,98
不一定,25
不为人知,99
不久,98
不了了之,7
不予,100
不亚于,101
不亦乐乎,102
不仅,103
不仅仅,103
不以为然,104
不但,18
不便,105
不值,106
不假思索,93
不停,23
不像话,20
不光,103
不免,25
不再,107
不准,108
不利,105
不利于,105
不可思议,104
不可避免,25
不同,11
不同寻常,99
不在乎,21
不堪,109
不够,59
不大,59
不好意思,110
不如,101
不如说,103
不妨,107
不安,46
不定,46
