token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,5
一切,8
一刹那,3
一动不动,13
一半,2
一卡通,14
一口气,15
一句话,0
一同,16
一向,17
一味,18
一块儿,16
一塌糊涂,19
一声不吭,13
一大早,20
一天到晚,21
一头,22
一如既往,17
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,27
一年到头,21
一应俱全,28
一度,5
一律,2
一心,29
一心一意,29
一成不变,18
一手,22
一技之长,30
一把手,31
一揽子,32
一方面,33
一旁,34
一无所有,7
一无所知,7
一旦,35
一早,20
一时,3
一晃,36
一样,37
一概,2
一概而论,38
一模一样,37
一次性,39
一毛不拔,40
一流,41
一点儿,8
一生,42
一番,43
一目了然,44
一直,17
一眼,45
一瞬间,3
一筹莫展,46
一系列,8
一线,47
一经,48
一致,37
一般,2
一般来说,33
一行,49
一言一行,6
一言不发,13
一贯,17
一起,16
一路,50
一路上,50
一路平安,25
一路顺风,25
一身,51
一辈子,52
一边,34
一连,5
一连串,8
一道,16
一部分,2
一锅粥,53
一长一短,54
一阵,55
一面,56
一鼓作气,57
一齐,16
丁,58
七,1
七嘴八舌,15
万,1
万一,35
万万,59
万分,60
万古长青,61
万无一失,62
万能,63
丈夫,24
三,1
三明治,64
三番五次,5
三维,65
三角,66
上,34
上下,67
上个月,68
上任,69
上升,70
上午,20
上去,71
上台,72
上司,73
上周,68
上场,74
上头,34
上学,75
上岗,69
上市,76
上帝,65
上当,77
上报,78
上方,34
上旬,68
上映,79
上期,68
上来,71
上楼,80
上次,68
上流,40
上涨,70
上游,81
上演,82
上火,53
上班,80
上班族,80
上瘾,83
上空,84
上级,73
上网,85
上衣,51
上诉,86
上课,87
上调,70
上车,80
上边,34
上述,88
上门,80
上限,89
上面,34
下,34
下一代,9
下个月,68
下乡,80
下令,90
下决心,91
下功夫,43
下午,20
下去,71
下台,69
下场,92
下坠,93
下属,73
下山,80
下岗,69
下意识,94
下手,95
下旬,68
下期,68
下来,71
下棋,96
下楼,80
下次,68
下海,80
下游,81
下班,80
下级,73
下落,93
下课,80
下调,70
下跌,70
下车,80
下载,85
下边,34
下降,70
下雨,97
下雪,97
下面,34
不,98
不一会儿,99
不一定,23
不为人知,100
不久,99
不了了之,101
不予,102
不亚于,103
不亦乐乎,104
不仅,105
不仅仅,105
不以为然,106
不但,17
不便,107
不值,101
不假思索,94
不停,21
不像话,19
不光,105
不免,94
不再,98
不准,108
不利,107
不利于,107
不可思议,106
不可避免,23
不同,37
不同寻常,109
不在乎,110
不堪,111
不够,60
不大,60
不好意思,112
不如,103
不如说,23
不妨,113
不安,46
不定,46
