token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,18
一句话,19
一同,20
一向,21
一味,22
一块儿,20
一塌糊涂,23
一声不吭,15
一大早,24
一天到晚,25
一头,26
一如既往,21
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,23
一年到头,25
一应俱全,31
一度,5
一律,2
一心,32
一心一意,32
一成不变,33
一手,26
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,15
一无所有,7
一无所知,7
一旦,38
一早,24
一时,3
一晃,3
一样,39
一概,2
一概而论,40
一模一样,39
一次性,41
一毛不拔,42
一流,43
一点儿,44
一生,45
一番,46
一目了然,47
一直,48
一眼,49
一瞬间,3
一筹莫展,7
一系列,14
一线,50
一经,51
一致,39
一般,16
一般来说,52
一行,53
一言一行,6
一言不发,15
一贯,21
一起,20
一路,30
一路上,54
一路平安,29
一路顺风,29
一身,55
一辈子,56
一边,26
一连,57
一连串,14
一道,20
一部分,16
一锅粥,23
一长一短,58
一阵,59
一面,26
一鼓作气,60
一齐,20
丁,61
七,1
七嘴八舌,62
万,63
万一,38
万万,64
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,69
三,1
三明治,70
三番五次,13
三维,71
三角,72
上,73
上下,74
上个月,75
上任,76
上升,77
上午,24
上去,78
上台,79
上司,80
上周,81
上场,82
上头,73
上学,83
上岗,84
上市,85
上帝,86
上当,87
上报,88
上方,89
上旬,75
上映,90
上期,81
上来,78
上楼,91
上次,81
上流,92
上涨,77
上游,93
上演,94
上火,95
上班,96
上班族,96
上瘾,97
上空,98
上级,80
上网,99
上衣,100
上诉,101
上课,102
上调,77
上车,91
上边,73
上述,103
上门,91
上限,104
上面,73
下,105
下一代,9
下个月,75
下乡,106
下令,107
下决心,108
下功夫,109
下午,24
下去,78
下台,110
下场,82
下坠,111
下属,80
下山,106
下岗,112
下意识,113
下手,114
下旬,75
下期,81
下来,78
下棋,115
下楼,91
下次,116
下海,106
下游,93
下班,96
下级,80
下落,111
下课,117
下调,77
下跌,77
下车,91
下载,99
下边,73
下降,77
下雨,118
下雪,118
下面,73
不,119
不一会儿,120
不一定,27
不为人知,121
不久,120
不了了之,122
不予,123
不亚于,124
不亦乐乎,125
不仅,126
不仅仅,126
不以为然,127
不但,126
不便,128
不值,129
不假思索,113
不停,130
不像话,23
不光,126
不免,113
不再,131
不准,132
不利,133
不利于,133
不可思议,134
不可避免,135
不同,39
不同寻常,136
不在乎,137
不堪,138
不够,119
不大,119
不好意思,139
不如,124
不如说,27
不妨,140
不安,141
不定,141
