token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,8
一卡通,16
一口气,17
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,24
一应俱全,32
一度,33
一律,14
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,23
一时,43
一晃,3
一样,44
一概,14
一概而论,45
一模一样,44
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,54
一瞬间,3
一筹莫展,55
一系列,56
一线,57
一经,58
一致,59
一般,60
一般来说,61
一行,62
一言一行,6
一言不发,15
一贯,26
一起,19
一路,63
一路上,64
一路平安,65
一路顺风,65
一身,66
一辈子,67
一边,68
一连,17
一连串,56
一道,69
一部分,8
一锅粥,70
一长一短,71
一阵,72
一面,68
一鼓作气,5
一齐,73
丁,74
七,1
七嘴八舌,75
万,76
万一,42
万万,77
万分,78
万古长青,79
万无一失,80
万能,81
丈夫,82
三,1
三明治,83
三番五次,13
三维,84
三角,85
上,41
上下,86
上个月,87
上任,88
上升,89
上午,23
上去,90
上台,91
上司,92
上周,87
上场,93
上头,94
上学,95
上岗,96
上市,97
上帝,98
上当,99
上报,100
上方,57
上旬,101
上映,102
上期,103
上来,90
上楼,104
上次,105
上流,106
上涨,89
上游,107
上演,108
上火,109
上班,104
上班族,110
上瘾,111
上空,112
上级,92
上网,113
上衣,66
上诉,114
上课,115
上调,89
上车,116
上边,94
上述,117
上门,118
上限,119
上面,94
下,120
下一代,9
下个月,121
下乡,122
下令,123
下决心,124
下功夫,125
下午,23
下去,90
下台,91
下场,126
下坠,127
下属,128
下山,104
下岗,129
下意识,130
下手,131
下旬,101
下期,121
下来,90
下棋,132
下楼,104
下次,133
下海,122
下游,107
下班,23
下级,92
下落,134
下课,104
下调,89
下跌,89
下车,116
下载,135
下边,94
下降,89
下雨,136
下雪,136
下面,94
不,137
不一会儿,3
不一定,27
不为人知,138
不久,139
不了了之,140
不予,141
不亚于,142
不亦乐乎,143
不仅,40
不仅仅,144
不以为然,145
不但,40
不便,146
不值,147
不假思索,148
不停,24
不像话,22
不光,40
不免,149
不再,150
不准,151
不利,152
不利于,153
不可思议,154
不可避免,149
不同,44
不同寻常,155
不在乎,156
不堪,157
不够,158
不大,159
不好意思,160
不如,161
不如说,161
不妨,162
不安,163
不定,164
