token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,3
一动不动,14
一半,15
一卡通,16
一口气,17
一句话,18
一同,19
一向,20
一味,21
一块儿,10
一塌糊涂,22
一声不吭,14
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,24
一应俱全,32
一度,33
一律,2
一心,34
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,23
一时,43
一晃,3
一样,44
一概,2
一概而论,45
一模一样,44
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,20
一眼,53
一瞬间,3
一筹莫展,54
一系列,8
一线,55
一经,56
一致,57
一般,15
一般来说,58
一行,59
一言一行,6
一言不发,14
一贯,20
一起,19
一路,60
一路上,61
一路平安,62
一路顺风,62
一身,63
一辈子,64
一边,65
一连,17
一连串,8
一道,66
一部分,15
一锅粥,67
一长一短,68
一阵,69
一面,65
一鼓作气,5
一齐,70
丁,71
七,1
七嘴八舌,72
万,73
万一,42
万万,74
万分,75
万古长青,76
万无一失,77
万能,78
丈夫,79
三,1
三明治,80
三番五次,81
三维,82
三角,83
上,41
上下,84
上个月,85
上任,86
上升,87
上午,23
上去,88
上台,89
上司,90
上周,85
上场,91
上头,92
上学,93
上岗,94
上市,95
上帝,96
上当,97
上报,98
上方,55
上旬,99
上映,100
上期,101
上来,88
上楼,102
上次,103
上流,104
上涨,87
上游,105
上演,106
上火,107
上班,108
上班族,109
上瘾,110
上空,111
上级,90
上网,112
上衣,63
上诉,113
上课,114
上调,87
上车,115
上边,92
上述,116
上门,117
上限,118
上面,92
下,119
下一代,9
下个月,120
下乡,121
下令,122
下决心,123
下功夫,124
下午,23
下去,88
下台,89
下场,125
下坠,126
下属,127
下山,102
下岗,128
下意识,129
下手,130
下旬,99
下期,120
下来,88
下棋,131
下楼,102
下次,132
下海,133
下游,105
下班,23
下级,90
下落,134
下课,102
下调,87
下跌,87
下车,135
下载,136
下边,92
下降,87
下雨,137
下雪,137
下面,92
不,138
不一会儿,3
不一定,27
不为人知,139
不久,140
不了了之,141
不予,142
不亚于,143
不亦乐乎,144
不仅,40
不仅仅,40
不以为然,145
不但,40
不便,146
不值,147
不假思索,148
不停,149
不像话,22
不光,40
不免,150
不再,138
不准,151
不利,152
不利于,153
不可思议,154
不可避免,150
不同,44
不同寻常,155
不在乎,156
不堪,157
不够,158
不大,159
不好意思,160
不如,161
不如说,161
不妨,162
不安,163
不定,164
