token,community
〇,0
一,1
一一,1
一下子,2
一不小心,3
一举,2
一举一动,4
一事无成,5
一些,1
一代,6
一会儿,7
一体,8
一共,9
一再,2
一切,1
一刹那,7
一动不动,4
一半,1
一卡通,10
一口气,4
一句话,0
一同,8
一向,7
一味,11
一块儿,8
一塌糊涂,12
一声不吭,4
一大早,13
一天到晚,14
一头,4
一如既往,7
一定,15
一家人,6
一帆风顺,16
一带,17
一干二净,12
一年到头,14
一应俱全,18
一度,2
一律,1
一心,19
一心一意,19
一成不变,11
一手,4
一技之长,20
一把手,21
一揽子,22
一方面,15
一旁,17
一无所有,5
一无所知,5
一旦,15
一早,13
一时,7
一晃,2
一样,8
一概,1
一概而论,8
一模一样,8
一次性,10
一毛不拔,11
一流,23
一点儿,1
一生,14
一番,1
一目了然,18
一直,15
一眼,4
一瞬间,2
一筹莫展,5
一系列,1
一线,17
一经,2
一致,8
一般,1
一般来说,15
一行,24
一言一行,4
一言不发,4
一贯,7
一起,8
一路,17
一路上,25
一路平安,26
一路顺风,26
一身,27
一辈子,14
一边,17
一连,2
一连串,1
一道,8
一部分,1
一锅粥,28
一长一短,29
一阵,30
一面,17
一鼓作气,19
一齐,2
丁,31
七,1
七嘴八舌,4
万,1
万一,15
万万,15
万分,12
万古长青,26
万无一失,32
万能,33
丈夫,6
三,1
三明治,28
三番五次,2
三维,34
三角,35
上,17
上下,17
上个月,7
上任,36
上升,37
上午,13
上去,38
上台,36
上司,6
上周,7
上场,39
上头,17
上学,40
上岗,36
上市,41
上帝,42
上当,43
上报,10
上方,17
上旬,7
上映,44
上期,7
上来,38
上楼,38
上次,7
上流,16
上涨,37
上游,41
上演,45
上火,28
上班,13
上班族,13
上瘾,26
上空,46
上级,21
上网,33
上衣,27
上诉,43
上课,40
上调,37
上车,47
上边,17
上述,1
上门,38
上限,37
上面,17
下,17
下一代,6
下个月,7
下乡,38
下令,48
下决心,19
下功夫,19
下午,13
下去,38
下台,36
下场,39
下坠,35
下属,21
下山,38
下岗,36
下意识,2
下手,19
下旬,7
下期,7
下来,38
下棋,25
下楼,38
下次,7
下海,38
下游,41
下班,13
下级,21
下落,35
下课,40
下调,37
下跌,37
下车,47
下载,49
下边,17
下降,37
下雨,31
下雪,31
下面,17
不,2
不一会儿,7
不一定,15
不为人知,23
不久,7
不了了之,15
不予,22
不亚于,9
不亦乐乎,5
不仅,15
不仅仅,15
不以为然,5
不但,15
不便,50
不值,5
不假思索,2
不停,14
不像话,12
不光,15
不免,2
不再,2
不准,2
不利,51
不利于,51
不可思议,23
不可避免,15
不同,8
不同寻常,23
不在乎,5
不堪,5
不够,12
不大,12
不好意思,5
不如,9
不如说,15
不妨,2
不安,5
不定,5
