token,community
〇,0
一,1
一一,1
一下子,2
一不小心,3
一举,2
一举一动,4
一事无成,5
一些,1
一代,6
一会儿,7
一体,8
一共,9
一再,2
一切,1
一刹那,7
一动不动,4
一半,1
一卡通,10
一口气,4
一句话,0
一同,8
一向,11
一味,12
一块儿,8
一塌糊涂,11
一声不吭,4
一大早,7
一天到晚,7
一头,4
一如既往,11
一定,11
一家人,6
一帆风顺,13
一带,14
一干二净,15
一年到头,7
一应俱全,16
一度,2
一律,1
一心,17
一心一意,17
一成不变,12
一手,4
一技之长,18
一把手,19
一揽子,20
一方面,11
一旁,14
一无所有,5
一无所知,5
一旦,11
一早,7
一时,7
一晃,21
一样,8
一概,1
一概而论,12
一模一样,8
一次性,10
一毛不拔,22
一流,23
一点儿,1
一生,24
一番,17
一目了然,17
一直,11
一眼,4
一瞬间,7
一筹莫展,5
一系列,1
一线,14
一经,2
一致,8
一般,1
一般来说,11
一行,25
一言一行,4
一言不发,4
一贯,11
一起,8
一路,13
一路上,26
一路平安,13
一路顺风,13
一身,27
一辈子,24
一边,14
一连,2
一连串,1
一道,8
一部分,1
一锅粥,15
一长一短,12
一阵,28
一面,14
一鼓作气,2
一齐,2
丁,29
七,1
七嘴八舌,4
万,9
万一,11
万万,11
万分,30
万古长青,13
万无一失,3
万能,12
丈夫,6
三,1
三明治,29
三番五次,2
三维,31
三角,21
上,14
上下,14
上个月,7
上任,32
上升,33
上午,7
上去,34
上台,32
上司,6
上周,7
上场,35
上头,14
上学,36
上岗,32
上市,37
上帝,38
上当,22
上报,39
上方,14
上旬,7
上映,40
上期,7
上来,34
上楼,34
上次,7
上流,41
上涨,33
上游,37
上演,39
上火,15
上班,7
上班族,6
上瘾,18
上空,38
上级,19
上网,31
上衣,27
上诉,42
上课,36
上调,33
上车,26
上边,14
上述,1
上门,34
上限,12
上面,14
下,14
下一代,6
下个月,7
下乡,34
下令,43
下决心,18
下功夫,18
下午,7
下去,34
下台,32
下场,35
下坠,21
下属,19
下山,34
下岗,32
下意识,2
下手,43
下旬,7
下期,7
下来,34
下棋,35
下楼,34
下次,7
下海,34
下游,37
下班,7
下级,19
下落,21
下课,36
下调,33
下跌,33
下车,26
下载,31
下边,14
下降,33
下雨,15
下雪,15
下面,14
不,11
不一会儿,7
不一定,11
不为人知,17
不久,7
不了了之,11
不予,44
不亚于,8
不亦乐乎,5
不仅,11
不仅仅,11
不以为然,5
不但,11
不便,37
不值,37
不假思索,2
不停,2
不像话,11
不光,11
不免,11
不再,11
不准,2
不利,45
不利于,45
不可思议,5
不可避免,11
不同,8
不同寻常,17
不在乎,5
不堪,5
不够,11
不大,11
不好意思,5
不如,8
不如说,11
不妨,11
不安,5
不定,5
