token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,22
一年到头,24
一应俱全,30
一度,13
一律,31
一心,32
一心一意,33
一成不变,34
一手,35
一技之长,36
一把手,37
一揽子,38
一方面,39
一旁,40
一无所有,7
一无所知,7
一旦,41
一早,23
一时,42
一晃,14
一样,43
一概,2
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,15
一瞬间,14
一筹莫展,54
一系列,8
一线,35
一经,2
一致,55
一般,16
一般来说,39
一行,56
一言一行,6
一言不发,15
一贯,20
一起,19
一路,28
一路上,57
一路平安,28
一路顺风,28
一身,11
一辈子,50
一边,40
一连,58
一连串,8
一道,19
一部分,16
一锅粥,22
一长一短,59
一阵,60
一面,61
一鼓作气,5
一齐,62
丁,63
七,1
七嘴八舌,15
万,64
万一,41
万万,64
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,27
三,1
三明治,69
三番五次,13
三维,70
三角,71
上,72
上下,73
上个月,74
上任,75
上升,76
上午,23
上去,77
上台,78
上司,79
上周,74
上场,78
上头,40
上学,80
上岗,81
上市,82
上帝,83
上当,84
上报,85
上方,86
上旬,74
上映,87
上期,88
上来,77
上楼,77
上次,74
上流,89
上涨,76
上游,90
上演,91
上火,92
上班,23
上班族,93
上瘾,94
上空,95
上级,79
上网,96
上衣,97
上诉,98
上课,99
上调,76
上车,100
上边,40
上述,101
上门,102
上限,103
上面,40
下,104
下一代,9
下个月,74
下乡,105
下令,106
下决心,107
下功夫,108
下午,23
下去,77
下台,109
下场,110
下坠,111
下属,79
下山,77
下岗,81
下意识,3
下手,112
下旬,74
下期,88
下来,77
下棋,113
下楼,23
下次,88
下海,114
下游,90
下班,23
下级,79
下落,111
下课,23
下调,76
下跌,76
下车,100
下载,115
下边,40
下降,76
下雨,116
下雪,116
下面,40
不,117
不一会儿,10
不一定,26
不为人知,118
不久,119
不了了之,120
不予,121
不亚于,122
不亦乐乎,123
不仅,124
不仅仅,124
不以为然,125
不但,124
不便,126
不值,127
不假思索,3
不停,128
不像话,129
不光,124
不免,24
不再,117
不准,31
不利,130
不利于,131
不可思议,132
不可避免,26
不同,45
不同寻常,45
不在乎,133
不堪,134
不够,135
不大,135
不好意思,129
不如,122
不如说,124
不妨,136
不安,125
不定,137
