token,community
〇,0
一,1
一一,2
一下子,3
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,3
一体,9
一共,4
一再,4
一切,7
一刹那,3
一动不动,6
一半,7
一卡通,10
一口气,4
一句话,11
一同,12
一向,3
一味,12
一块儿,3
一塌糊涂,3
一声不吭,6
一大早,13
一天到晚,3
一头,14
一如既往,12
一定,3
一家人,8
一帆风顺,15
一带,16
一干二净,17
一年到头,13
一应俱全,2
一度,4
一律,3
一心,6
一心一意,6
一成不变,12
一手,18
一技之长,5
一把手,19
一揽子,7
一方面,3
一旁,6
一无所有,6
一无所知,6
一旦,3
一早,13
一时,3
一晃,3
一样,3
一概,7
一概而论,20
一模一样,9
一次性,21
一毛不拔,22
一流,23
一点儿,3
一生,24
一番,25
一目了然,2
一直,3
一眼,6
一瞬间,3
一筹莫展,6
一系列,7
一线,26
一经,7
一致,9
一般,3
一般来说,3
一行,27
一言一行,5
一言不发,6
一贯,12
一起,12
一路,15
一路上,28
一路平安,6
一路顺风,15
一身,29
一辈子,3
一边,30
一连,4
一连串,7
一道,12
一部分,7
一锅粥,29
一长一短,29
一阵,6
一面,30
一鼓作气,4
一齐,3
丁,31
七,1
七嘴八舌,6
万,1
万一,3
万万,1
万分,32
万古长青,27
万无一失,12
万能,33
丈夫,8
三,1
三明治,29
三番五次,4
三维,34
三角,35
上,30
上下,30
上个月,13
上任,19
上升,32
上午,13
上去,30
上台,19
上司,8
上周,13
上场,36
上头,30
上学,11
上岗,19
上市,37
上帝,14
上当,38
上报,20
上方,30
上旬,13
上映,11
上期,13
上来,30
上楼,29
上次,13
上流,39
上涨,32
上游,37
上演,40
上火,29
上班,13
上班族,8
上瘾,6
上空,16
上级,19
上网,41
上衣,29
上诉,38
上课,11
上调,32
上车,28
上边,30
上述,7
上门,42
上限,43
上面,30
下,30
下一代,44
下个月,13
下乡,42
下令,38
下决心,12
下功夫,12
下午,13
下去,30
下台,19
下场,36
下坠,45
下属,46
下山,28
下岗,19
下意识,6
下手,12
下旬,13
下期,13
下来,30
下棋,6
下楼,29
下次,3
下海,19
下游,37
下班,13
下级,19
下落,34
下课,13
下调,32
下跌,32
下车,28
下载,11
下边,30
下降,32
下雨,13
下雪,13
下面,30
不,3
不一会儿,3
不一定,3
不为人知,47
不久,3
不了了之,48
不予,40
不亚于,9
不亦乐乎,6
不仅,3
不仅仅,3
不以为然,6
不但,3
不便,49
不值,6
不假思索,6
不停,6
不像话,6
不光,3
不免,3
不再,3
不准,3
不利,49
不利于,3
不可思议,6
不可避免,3
不同,9
不同寻常,50
不在乎,6
不堪,6
不够,32
不大,32
不好意思,6
不如,3
不如说,3
不妨,3
不安,6
不定,51
