token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,2
一动不动,11
一半,1
一卡通,12
一口气,13
一句话,14
一同,15
一向,16
一味,17
一块儿,15
一塌糊涂,18
一声不吭,13
一大早,8
一天到晚,19
一头,20
一如既往,16
一定,21
一家人,22
一帆风顺,23
一带,24
一干二净,25
一年到头,19
一应俱全,26
一度,4
一律,1
一心,17
一心一意,17
一成不变,27
一手,20
一技之长,28
一把手,29
一揽子,30
一方面,31
一旁,32
一无所有,6
一无所知,6
一旦,33
一早,8
一时,2
一晃,2
一样,34
一概,1
一概而论,35
一模一样,34
一次性,12
一毛不拔,6
一流,36
一点儿,18
一生,37
一番,4
一目了然,26
一直,16
一眼,13
一瞬间,2
一筹莫展,38
一系列,1
一线,24
一经,2
一致,34
一般,1
一般来说,31
一行,39
一言一行,5
一言不发,13
一贯,16
一起,15
一路,40
一路上,40
一路平安,41
一路顺风,41
一身,42
一辈子,16
一边,32
一连,4
一连串,1
一道,15
一部分,1
一锅粥,43
一长一短,44
一阵,45
一面,32
一鼓作气,17
一齐,2
丁,46
七,0
七嘴八舌,13
万,47
万一,33
万万,48
万分,49
万古长青,41
万无一失,50
万能,51
丈夫,22
三,0
三明治,52
三番五次,4
三维,53
三角,54
上,32
上下,32
上个月,55
上任,56
上升,57
上午,8
上去,25
上台,56
上司,22
上周,55
上场,58
上头,32
上学,59
上岗,56
上市,60
上帝,61
上当,62
上报,63
上方,32
上旬,55
上映,64
上期,55
上来,25
上楼,25
上次,55
上流,65
上涨,57
上游,66
上演,67
上火,68
上班,8
上班族,8
上瘾,69
上空,70
上级,29
上网,71
上衣,42
上诉,72
上课,59
上调,57
上车,73
上边,32
上述,0
上门,25
上限,74
上面,32
下,32
下一代,7
下个月,55
下乡,25
下令,75
下决心,17
下功夫,17
下午,8
下去,25
下台,56
下场,76
下坠,77
下属,29
下山,25
下岗,56
下意识,2
下手,78
下旬,55
下期,55
下来,25
下棋,79
下楼,25
下次,80
下海,25
下游,66
下班,8
下级,29
下落,77
下课,8
下调,57
下跌,57
下车,73
下载,71
下边,32
下降,57
下雨,81
下雪,81
下面,32
不,49
不一会儿,2
不一定,33
不为人知,82
不久,55
不了了之,6
不予,83
不亚于,34
不亦乐乎,23
不仅,48
不仅仅,48
不以为然,84
不但,48
不便,85
不值,86
不假思索,2
不停,19
不像话,18
不光,48
不免,21
不再,21
不准,87
不利,88
不利于,88
不可思议,84
不可避免,21
不同,34
不同寻常,82
不在乎,3
不堪,38
不够,49
不大,49
不好意思,38
不如,34
不如说,33
不妨,21
不安,38
不定,19
不宜,21
不容,21
不对,18
不少,1
不屑,89
不已,84
不平,38
不幸,76
不得不,2
不得了,18
不得已,2
