token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,20
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,32
一律,2
一心,33
一心一意,34
一成不变,35
一手,36
一技之长,37
一把手,38
一揽子,39
一方面,40
一旁,41
一无所有,7
一无所知,7
一旦,42
一早,23
一时,43
一晃,14
一样,44
一概,2
一概而论,45
一模一样,46
一次性,47
一毛不拔,48
一流,49
一点儿,50
一生,51
一番,52
一目了然,53
一直,20
一眼,15
一瞬间,14
一筹莫展,54
一系列,8
一线,55
一经,42
一致,56
一般,57
一般来说,58
一行,59
一言一行,6
一言不发,15
一贯,20
一起,19
一路,28
一路上,60
一路平安,28
一路顺风,28
一身,11
一辈子,61
一边,41
一连,62
一连串,8
一道,19
一部分,16
一锅粥,63
一长一短,64
一阵,65
一面,66
一鼓作气,5
一齐,67
丁,68
七,1
七嘴八舌,67
万,69
万一,4
万万,69
万分,70
万古长青,71
万无一失,72
万能,73
丈夫,27
三,1
三明治,74
三番五次,13
三维,75
三角,76
上,77
上下,78
上个月,79
上任,80
上升,81
上午,23
上去,82
上台,83
上司,84
上周,79
上场,85
上头,41
上学,86
上岗,87
上市,88
上帝,89
上当,90
上报,91
上方,92
上旬,79
上映,93
上期,94
上来,82
上楼,95
上次,96
上流,97
上涨,81
上游,98
上演,99
上火,100
上班,95
上班族,101
上瘾,102
上空,103
上级,84
上网,104
上衣,105
上诉,106
上课,107
上调,81
上车,108
上边,41
上述,109
上门,110
上限,111
上面,41
下,112
下一代,9
下个月,79
下乡,113
下令,114
下决心,115
下功夫,116
下午,23
下去,82
下台,117
下场,118
下坠,119
下属,84
下山,95
下岗,117
下意识,3
下手,120
下旬,79
下期,94
下来,82
下棋,121
下楼,95
下次,96
下海,122
下游,98
下班,95
下级,84
下落,119
下课,95
下调,81
下跌,81
下车,108
下载,123
下边,41
下降,81
下雨,124
下雪,124
下面,41
不,125
不一会儿,3
不一定,126
不为人知,127
不久,128
不了了之,129
不予,130
不亚于,131
不亦乐乎,132
不仅,133
不仅仅,134
不以为然,135
不但,133
不便,136
不值,137
不假思索,3
不停,138
不像话,139
不光,140
不免,141
不再,125
不准,142
不利,143
不利于,144
不可思议,145
不可避免,141
不同,46
不同寻常,46
不在乎,146
不堪,147
不够,148
不大,149
不好意思,139
不如,131
不如说,140
不妨,150
不安,135
不定,151
