token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,11
一动不动,12
一半,1
一卡通,13
一口气,14
一句话,15
一同,16
一向,17
一味,18
一块儿,16
一塌糊涂,19
一声不吭,14
一大早,20
一天到晚,17
一头,21
一如既往,22
一定,23
一家人,24
一帆风顺,25
一带,26
一干二净,8
一年到头,17
一应俱全,27
一度,4
一律,1
一心,28
一心一意,28
一成不变,29
一手,21
一技之长,30
一把手,31
一揽子,32
一方面,23
一旁,33
一无所有,6
一无所知,6
一旦,34
一早,20
一时,11
一晃,2
一样,9
一概,1
一概而论,35
一模一样,9
一次性,36
一毛不拔,6
一流,37
一点儿,19
一生,38
一番,39
一目了然,40
一直,23
一眼,14
一瞬间,11
一筹莫展,41
一系列,1
一线,42
一经,43
一致,44
一般,1
一般来说,34
一行,45
一言一行,5
一言不发,14
一贯,22
一起,16
一路,46
一路上,46
一路平安,47
一路顺风,47
一身,48
一辈子,38
一边,33
一连,4
一连串,1
一道,16
一部分,1
一锅粥,49
一长一短,50
一阵,51
一面,16
一鼓作气,52
一齐,2
丁,53
七,0
七嘴八舌,14
万,54
万一,34
万万,55
万分,41
万古长青,47
万无一失,56
万能,57
丈夫,24
三,0
三明治,53
三番五次,4
三维,58
三角,59
上,33
上下,33
上个月,60
上任,61
上升,62
上午,20
上去,8
上台,61
上司,24
上周,60
上场,63
上头,33
上学,64
上岗,61
上市,65
上帝,66
上当,67
上报,68
上方,33
上旬,60
上映,69
上期,60
上来,8
上楼,8
上次,70
上流,71
上涨,62
上游,72
上演,73
上火,49
上班,20
上班族,74
上瘾,75
上空,76
上级,77
上网,78
上衣,48
上诉,79
上课,64
上调,62
上车,80
上边,33
上述,81
上门,82
上限,83
上面,33
下,84
下一代,7
下个月,60
下乡,8
下令,85
下决心,28
下功夫,52
下午,20
下去,8
下台,61
下场,86
下坠,87
下属,77
下山,8
下岗,61
下意识,2
下手,88
下旬,60
下期,60
下来,8
下棋,89
下楼,8
下次,19
下海,8
下游,72
下班,20
下级,77
下落,90
下课,20
下调,62
下跌,62
下车,80
下载,78
下边,33
下降,62
下雨,91
下雪,91
下面,33
不,92
不一会儿,2
不一定,23
不为人知,93
不久,60
不了了之,94
不予,92
不亚于,95
不亦乐乎,96
不仅,23
不仅仅,23
不以为然,41
不但,23
不便,97
不值,98
不假思索,2
不停,17
不像话,19
不光,23
不免,17
不再,92
不准,92
不利,99
不利于,100
不可思议,101
不可避免,17
不同,9
不同寻常,101
不在乎,3
不堪,86
不够,102
不大,102
不好意思,19
不如,95
不如说,34
不妨,92
不安,41
不定,17
不宜,92
不容,92
不对,19
不少,1
不屑,103
不已,41
不平,41
不幸,86
不得不,2
不得了,19
不得已,2
