token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,11
一再,5
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,14
一句话,0
一同,10
一向,15
一味,16
一块儿,10
一塌糊涂,17
一声不吭,12
一大早,18
一天到晚,19
一头,20
一如既往,15
一定,21
一家人,22
一帆风顺,23
一带,24
一干二净,17
一年到头,19
一应俱全,25
一度,5
一律,2
一心,26
一心一意,26
一成不变,16
一手,20
一技之长,27
一把手,28
一揽子,2
一方面,29
一旁,30
一无所有,7
一无所知,7
一旦,29
一早,18
一时,3
一晃,3
一样,10
一概,2
一概而论,21
一模一样,10
一次性,13
一毛不拔,31
一流,32
一点儿,2
一生,33
一番,4
一目了然,34
一直,15
一眼,35
一瞬间,3
一筹莫展,7
一系列,2
一线,24
一经,3
一致,10
一般,2
一般来说,29
一行,36
一言一行,6
一言不发,12
一贯,15
一起,10
一路,24
一路上,37
一路平安,38
一路顺风,38
一身,39
一辈子,15
一边,30
一连,5
一连串,2
一道,10
一部分,2
一锅粥,17
一长一短,40
一阵,41
一面,30
一鼓作气,42
一齐,10
丁,43
七,1
七嘴八舌,14
万,1
万一,29
万万,1
万分,44
万古长青,38
万无一失,45
万能,46
丈夫,22
三,1
三明治,47
三番五次,5
三维,48
三角,49
上,30
上下,30
上个月,9
上任,50
上升,51
上午,18
上去,52
上台,50
上司,22
上周,9
上场,53
上头,30
上学,54
上岗,50
上市,55
上帝,56
上当,57
上报,58
上方,30
上旬,9
上映,59
上期,9
上来,52
上楼,52
上次,9
上流,31
上涨,51
上游,55
上演,60
上火,61
上班,18
上班族,18
上瘾,62
上空,63
上级,28
上网,64
上衣,39
上诉,65
上课,54
上调,51
上车,66
上边,30
上述,30
上门,52
上限,67
上面,30
下,30
下一代,8
下个月,9
下乡,52
下令,68
下决心,26
下功夫,26
下午,18
下去,52
下台,50
下场,53
下坠,69
下属,28
下山,52
下岗,50
下意识,3
下手,26
下旬,9
下期,9
下来,52
下棋,70
下楼,52
下次,71
下海,52
下游,55
下班,18
下级,28
下落,69
下课,54
下调,51
下跌,51
下车,66
下载,64
下边,30
下降,51
下雨,72
下雪,72
下面,30
不,44
不一会儿,9
不一定,21
不为人知,73
不久,9
不了了之,17
不予,74
不亚于,11
不亦乐乎,75
不仅,29
不仅仅,29
不以为然,75
不但,29
不便,76
不值,76
不假思索,3
不停,19
不像话,17
不光,29
不免,21
不再,21
不准,77
不利,78
不利于,78
不可思议,75
不可避免,21
不同,10
不同寻常,79
不在乎,80
不堪,81
不够,44
不大,44
不好意思,7
不如,11
不如说,29
不妨,21
不安,7
不定,19
