token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,2
一代,8
一会儿,9
一体,10
一共,11
一再,5
一切,2
一刹那,3
一动不动,12
一半,2
一卡通,13
一口气,6
一句话,0
一同,10
一向,14
一味,15
一块儿,10
一塌糊涂,16
一声不吭,12
一大早,17
一天到晚,18
一头,19
一如既往,14
一定,20
一家人,21
一帆风顺,22
一带,23
一干二净,24
一年到头,18
一应俱全,25
一度,5
一律,2
一心,26
一心一意,26
一成不变,15
一手,19
一技之长,27
一把手,28
一揽子,29
一方面,30
一旁,23
一无所有,7
一无所知,7
一旦,31
一早,17
一时,3
一晃,32
一样,10
一概,2
一概而论,15
一模一样,10
一次性,33
一毛不拔,34
一流,35
一点儿,2
一生,36
一番,9
一目了然,25
一直,14
一眼,37
一瞬间,3
一筹莫展,7
一系列,2
一线,23
一经,3
一致,10
一般,2
一般来说,30
一行,38
一言一行,6
一言不发,12
一贯,14
一起,10
一路,23
一路上,39
一路平安,22
一路顺风,22
一身,40
一辈子,14
一边,23
一连,5
一连串,2
一道,10
一部分,2
一锅粥,24
一长一短,41
一阵,42
一面,43
一鼓作气,44
一齐,10
丁,45
七,1
七嘴八舌,6
万,1
万一,31
万万,1
万分,46
万古长青,22
万无一失,47
万能,48
丈夫,21
三,1
三明治,49
三番五次,5
三维,50
三角,32
上,23
上下,23
上个月,51
上任,52
上升,53
上午,17
上去,54
上台,52
上司,21
上周,51
上场,55
上头,23
上学,56
上岗,52
上市,57
上帝,58
上当,59
上报,60
上方,23
上旬,51
上映,61
上期,51
上来,54
上楼,54
上次,51
上流,62
上涨,53
上游,57
上演,63
上火,64
上班,17
上班族,17
上瘾,27
上空,65
上级,28
上网,66
上衣,40
上诉,67
上课,56
上调,53
上车,68
上边,23
上述,2
上门,54
上限,69
上面,23
下,23
下一代,8
下个月,51
下乡,54
下令,70
下决心,26
下功夫,26
下午,17
下去,54
下台,52
下场,55
下坠,71
下属,28
下山,54
下岗,52
下意识,3
下手,55
下旬,51
下期,51
下来,54
下棋,72
下楼,54
下次,73
下海,54
下游,57
下班,17
下级,28
下落,71
下课,56
下调,53
下跌,53
下车,68
下载,74
下边,23
下降,53
下雨,75
下雪,75
下面,23
不,46
不一会儿,51
不一定,20
不为人知,76
不久,51
不了了之,16
不予,77
不亚于,11
不亦乐乎,78
不仅,30
不仅仅,30
不以为然,79
不但,30
不便,80
不值,80
不假思索,3
不停,5
不像话,16
不光,30
不免,20
不再,20
不准,81
不利,80
不利于,80
不可思议,79
不可避免,20
不同,10
不同寻常,76
不在乎,82
不堪,7
不够,46
不大,46
不好意思,7
不如,11
不如说,30
不妨,20
不安,7
不定,7
