token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,28
一干二净,21
一年到头,24
一应俱全,29
一度,30
一律,31
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,54
一瞬间,3
一筹莫展,55
一系列,56
一线,57
一经,58
一致,59
一般,60
一般来说,61
一行,62
一言一行,6
一言不发,22
一贯,19
一起,2
一路,28
一路上,63
一路平安,64
一路顺风,28
一身,65
一辈子,50
一边,66
一连,67
一连串,56
一道,68
一部分,16
一锅粥,69
一长一短,70
一阵,51
一面,38
一鼓作气,5
一齐,2
丁,71
七,72
七嘴八舌,73
万,74
万一,40
万万,75
万分,76
万古长青,77
万无一失,78
万能,79
丈夫,80
三,72
三明治,81
三番五次,13
三维,82
三角,83
上,84
上下,85
上个月,86
上任,87
上升,88
上午,23
上去,89
上台,90
上司,91
上周,92
上场,90
上头,93
上学,94
上岗,95
上市,96
上帝,93
上当,97
上报,98
上方,99
上旬,86
上映,100
上期,101
上来,89
上楼,102
上次,103
上流,104
上涨,88
上游,105
上演,106
上火,107
上班,102
上班族,108
上瘾,109
上空,110
上级,91
上网,111
上衣,112
上诉,113
上课,114
上调,115
上车,102
上边,39
上述,116
上门,117
上限,118
上面,39
下,119
下一代,9
下个月,86
下乡,120
下令,121
下决心,122
下功夫,123
下午,23
下去,89
下台,90
下场,90
下坠,124
下属,125
下山,102
下岗,126
下意识,127
下手,128
下旬,86
下期,101
下来,89
下棋,129
下楼,102
下次,103
下海,130
下游,105
下班,23
下级,91
下落,124
下课,131
下调,115
下跌,88
下车,102
下载,132
下边,39
下降,88
下雨,133
下雪,133
下面,39
不,134
不一会儿,135
不一定,26
不为人知,136
不久,135
不了了之,137
不予,138
不亚于,139
不亦乐乎,140
不仅,141
不仅仅,141
不以为然,142
不但,141
不便,143
不值,144
不假思索,145
不停,66
不像话,146
不光,141
不免,3
不再,147
不准,31
不利,148
不利于,148
不可思议,149
不可避免,26
不同,45
不同寻常,45
不在乎,150
不堪,151
不够,152
不大,153
不好意思,154
不如,155
不如说,155
不妨,155
不安,156
不定,157
