token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,3
一动不动,15
一半,16
一卡通,17
一口气,5
一句话,18
一同,2
一向,19
一味,20
一块儿,2
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,28
一干二净,21
一年到头,24
一应俱全,29
一度,30
一律,31
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,41
一晃,42
一样,43
一概,14
一概而论,44
一模一样,45
一次性,46
一毛不拔,47
一流,48
一点儿,49
一生,50
一番,51
一目了然,52
一直,53
一眼,54
一瞬间,3
一筹莫展,55
一系列,56
一线,57
一经,58
一致,59
一般,60
一般来说,61
一行,62
一言一行,6
一言不发,22
一贯,19
一起,2
一路,28
一路上,63
一路平安,64
一路顺风,28
一身,65
一辈子,50
一边,66
一连,67
一连串,56
一道,68
一部分,16
一锅粥,69
一长一短,70
一阵,71
一面,38
一鼓作气,5
一齐,2
丁,72
七,1
七嘴八舌,73
万,74
万一,75
万万,76
万分,77
万古长青,78
万无一失,79
万能,80
丈夫,81
三,1
三明治,82
三番五次,13
三维,83
三角,84
上,85
上下,86
上个月,87
上任,88
上升,89
上午,23
上去,90
上台,91
上司,92
上周,87
上场,93
上头,94
上学,95
上岗,96
上市,97
上帝,94
上当,98
上报,99
上方,100
上旬,87
上映,101
上期,102
上来,90
上楼,103
上次,104
上流,105
上涨,89
上游,106
上演,107
上火,108
上班,109
上班族,110
上瘾,111
上空,112
上级,92
上网,113
上衣,114
上诉,115
上课,116
上调,117
上车,103
上边,39
上述,118
上门,119
上限,120
上面,39
下,121
下一代,9
下个月,87
下乡,122
下令,123
下决心,124
下功夫,125
下午,23
下去,90
下台,91
下场,126
下坠,127
下属,128
下山,103
下岗,129
下意识,130
下手,131
下旬,87
下期,102
下来,90
下棋,132
下楼,109
下次,104
下海,133
下游,106
下班,109
下级,92
下落,127
下课,134
下调,117
下跌,89
下车,103
下载,135
下边,39
下降,89
下雨,136
下雪,136
下面,39
不,137
不一会儿,138
不一定,26
不为人知,139
不久,138
不了了之,140
不予,141
不亚于,142
不亦乐乎,143
不仅,144
不仅仅,144
不以为然,145
不但,144
不便,146
不值,147
不假思索,148
不停,66
不像话,149
不光,144
不免,150
不再,151
不准,31
不利,152
不利于,152
不可思议,153
不可避免,150
不同,45
不同寻常,45
不在乎,154
不堪,155
不够,156
不大,157
不好意思,158
不如,159
不如说,159
不妨,159
不安,160
不定,161
