token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,3
一动不动,14
一半,8
一卡通,15
一口气,5
一句话,16
一同,2
一向,17
一味,18
一块儿,2
一塌糊涂,18
一声不吭,14
一大早,19
一天到晚,3
一头,20
一如既往,17
一定,21
一家人,22
一帆风顺,7
一带,23
一干二净,18
一年到头,3
一应俱全,4
一度,13
一律,8
一心,24
一心一意,24
一成不变,25
一手,26
一技之长,27
一把手,28
一揽子,29
一方面,21
一旁,30
一无所有,7
一无所知,7
一旦,21
一早,19
一时,17
一晃,31
一样,21
一概,8
一概而论,32
一模一样,33
一次性,34
一毛不拔,35
一流,36
一点儿,37
一生,38
一番,39
一目了然,40
一直,21
一眼,26
一瞬间,3
一筹莫展,14
一系列,8
一线,41
一经,42
一致,43
一般,21
一般来说,21
一行,44
一言一行,6
一言不发,14
一贯,17
一起,2
一路,23
一路上,23
一路平安,45
一路顺风,45
一身,26
一辈子,38
一边,30
一连,13
一连串,8
一道,46
一部分,8
一锅粥,26
一长一短,47
一阵,48
一面,30
一鼓作气,5
一齐,2
丁,49
七,1
七嘴八舌,14
万,1
万一,21
万万,50
万分,18
万古长青,38
万无一失,51
万能,52
丈夫,22
三,1
三明治,53
三番五次,13
三维,47
三角,54
上,30
上下,55
上个月,56
上任,57
上升,58
上午,19
上去,19
上台,57
上司,59
上周,56
上场,60
上头,30
上学,16
上岗,57
上市,61
上帝,22
上当,62
上报,63
上方,30
上旬,56
上映,48
上期,64
上来,19
上楼,19
上次,56
上流,65
上涨,58
上游,66
上演,67
上火,53
上班,19
上班族,19
上瘾,27
上空,68
上级,59
上网,66
上衣,69
上诉,70
上课,16
上调,58
上车,23
上边,30
上述,71
上门,72
上限,73
上面,30
下,30
下一代,9
下个月,56
下乡,74
下令,75
下决心,5
下功夫,5
下午,19
下去,19
下台,57
下场,60
下坠,31
下属,76
下山,19
下岗,57
下意识,3
下手,60
下旬,56
下期,64
下来,19
下棋,19
下楼,19
下次,56
下海,77
下游,66
下班,19
下级,59
下落,31
下课,19
下调,58
下跌,58
下车,23
下载,78
下边,30
下降,58
下雨,72
下雪,72
下面,30
不,17
不一会儿,56
不一定,21
不为人知,79
不久,56
不了了之,80
不予,81
不亚于,33
不亦乐乎,5
不仅,21
不仅仅,21
不以为然,14
不但,21
不便,82
不值,14
不假思索,3
不停,3
不像话,21
不光,21
不免,3
不再,17
不准,17
不利,83
不利于,83
不可思议,14
不可避免,3
不同,33
不同寻常,33
不在乎,84
不堪,14
不够,18
不大,18
不好意思,14
不如,33
不如说,21
不妨,83
不安,14
不定,85
