token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,8
一刹那,3
一动不动,14
一半,2
一卡通,15
一口气,16
一句话,17
一同,18
一向,19
一味,20
一块儿,18
一塌糊涂,21
一声不吭,22
一大早,23
一天到晚,24
一头,25
一如既往,19
一定,26
一家人,27
一帆风顺,28
一带,29
一干二净,30
一年到头,24
一应俱全,31
一度,13
一律,2
一心,32
一心一意,32
一成不变,33
一手,25
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,38
一无所有,7
一无所知,7
一旦,39
一早,23
一时,3
一晃,3
一样,40
一概,2
一概而论,41
一模一样,40
一次性,13
一毛不拔,7
一流,42
一点儿,43
一生,44
一番,10
一目了然,45
一直,19
一眼,46
一瞬间,3
一筹莫展,47
一系列,8
一线,48
一经,49
一致,40
一般,2
一般来说,50
一行,51
一言一行,6
一言不发,22
一贯,19
一起,18
一路,28
一路上,52
一路平安,28
一路顺风,28
一身,53
一辈子,54
一边,25
一连,13
一连串,8
一道,18
一部分,2
一锅粥,55
一长一短,56
一阵,57
一面,25
一鼓作气,58
一齐,18
丁,59
七,1
七嘴八舌,60
万,61
万一,4
万万,62
万分,63
万古长青,64
万无一失,65
万能,66
丈夫,67
三,1
三明治,68
三番五次,13
三维,69
三角,70
上,38
上下,71
上个月,72
上任,73
上升,74
上午,23
上去,75
上台,73
上司,76
上周,72
上场,77
上头,38
上学,78
上岗,79
上市,80
上帝,81
上当,82
上报,83
上方,38
上旬,72
上映,84
上期,85
上来,75
上楼,75
上次,86
上流,87
上涨,74
上游,88
上演,89
上火,90
上班,91
上班族,91
上瘾,92
上空,93
上级,76
上网,94
上衣,53
上诉,95
上课,96
上调,74
上车,97
上边,38
上述,98
上门,99
上限,100
上面,38
下,101
下一代,9
下个月,72
下乡,75
下令,102
下决心,102
下功夫,34
下午,23
下去,75
下台,73
下场,103
下坠,104
下属,76
下山,75
下岗,105
下意识,106
下手,107
下旬,72
下期,85
下来,75
下棋,108
下楼,75
下次,4
下海,75
下游,88
下班,91
下级,76
下落,104
下课,96
下调,74
下跌,74
下车,97
下载,94
下边,38
下降,74
下雨,109
下雪,109
下面,38
不,110
不一会儿,3
不一定,26
不为人知,111
不久,112
不了了之,113
不予,114
不亚于,115
不亦乐乎,30
不仅,37
不仅仅,37
不以为然,116
不但,37
不便,117
不值,118
不假思索,49
不停,24
不像话,21
不光,37
不免,106
不再,119
不准,120
不利,121
不利于,121
不可思议,116
不可避免,26
不同,40
不同寻常,40
不在乎,122
不堪,123
不够,63
不大,63
不好意思,124
不如,125
不如说,126
不妨,127
不安,128
不定,129
