token,community
〇,0
一,0
一一,1
一下子,2
一不小心,2
一举,3
一举一动,4
一事无成,5
一些,6
一代,7
一会儿,8
一体,9
一共,10
一再,3
一切,6
一刹那,11
一动不动,12
一半,6
一卡通,13
一口气,8
一句话,14
一同,15
一向,16
一味,17
一块儿,15
一塌糊涂,18
一声不吭,12
一大早,19
一天到晚,20
一头,21
一如既往,17
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,8
一年到头,20
一应俱全,6
一度,3
一律,26
一心,17
一心一意,17
一成不变,27
一手,21
一技之长,28
一把手,29
一揽子,30
一方面,31
一旁,32
一无所有,5
一无所知,5
一旦,33
一早,19
一时,11
一晃,2
一样,34
一概,1
一概而论,34
一模一样,34
一次性,35
一毛不拔,5
一流,36
一点儿,18
一生,14
一番,37
一目了然,38
一直,22
一眼,12
一瞬间,11
一筹莫展,39
一系列,6
一线,40
一经,1
一致,41
一般,42
一般来说,31
一行,43
一言一行,4
一言不发,12
一贯,16
一起,15
一路,44
一路上,44
一路平安,45
一路顺风,45
一身,46
一辈子,14
一边,32
一连,3
一连串,6
一道,15
一部分,6
一锅粥,47
一长一短,48
一阵,49
一面,50
一鼓作气,51
一齐,2
丁,52
七,0
七嘴八舌,12
万,53
万一,33
万万,0
万分,39
万古长青,45
万无一失,54
万能,55
丈夫,23
三,0
三明治,56
三番五次,3
三维,57
三角,58
上,32
上下,32
上个月,59
上任,60
上升,61
上午,19
上去,8
上台,60
上司,23
上周,59
上场,62
上头,32
上学,63
上岗,60
上市,64
上帝,65
上当,66
上报,67
上方,32
上旬,59
上映,68
上期,59
上来,8
上楼,8
上次,11
上流,69
上涨,61
上游,70
上演,71
上火,47
上班,19
上班族,72
上瘾,73
上空,74
上级,75
上网,76
上衣,46
上诉,77
上课,63
上调,61
上车,78
上边,32
上述,6
上门,8
上限,79
上面,32
下,32
下一代,7
下个月,59
下乡,8
下令,80
下决心,17
下功夫,17
下午,19
下去,8
下台,60
下场,81
下坠,82
下属,83
下山,8
下岗,84
下意识,2
下手,85
下旬,59
下期,86
下来,8
下棋,87
下楼,8
下次,86
下海,8
下游,70
下班,19
下级,75
下落,82
下课,19
下调,61
下跌,61
下车,78
下载,76
下边,32
下降,61
下雨,88
下雪,88
下面,32
不,89
不一会儿,2
不一定,22
不为人知,90
不久,91
不了了之,92
不予,1
不亚于,79
不亦乐乎,93
不仅,22
不仅仅,33
不以为然,39
不但,22
不便,38
不值,94
不假思索,2
不停,20
不像话,18
不光,33
不免,20
不再,89
不准,26
不利,95
不利于,96
不可思议,97
不可避免,98
不同,34
不同寻常,97
不在乎,99
不堪,100
不够,101
不大,101
不好意思,18
不如,79
不如说,33
不妨,102
不安,39
不定,20
不宜,102
不容,89
不对,18
不少,6
不屑,39
不已,39
不平,39
不幸,103
不得不,2
不得了,18
不得已,2
