token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,3
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,4
一体,9
一共,10
一再,3
一切,7
一刹那,3
一动不动,11
一半,7
一卡通,12
一口气,3
一句话,13
一同,14
一向,4
一味,15
一块儿,16
一塌糊涂,17
一声不吭,11
一大早,18
一天到晚,4
一头,19
一如既往,15
一定,4
一家人,20
一帆风顺,21
一带,16
一干二净,17
一年到头,18
一应俱全,22
一度,3
一律,2
一心,15
一心一意,15
一成不变,23
一手,24
一技之长,25
一把手,26
一揽子,27
一方面,4
一旁,16
一无所有,6
一无所知,6
一旦,4
一早,18
一时,3
一晃,3
一样,4
一概,2
一概而论,28
一模一样,28
一次性,29
一毛不拔,30
一流,31
一点儿,4
一生,32
一番,33
一目了然,34
一直,4
一眼,11
一瞬间,3
一筹莫展,11
一系列,7
一线,35
一经,2
一致,28
一般,4
一般来说,4
一行,36
一言一行,5
一言不发,11
一贯,15
一起,14
一路,21
一路上,37
一路平安,21
一路顺风,21
一身,38
一辈子,4
一边,16
一连,3
一连串,7
一道,14
一部分,7
一锅粥,39
一长一短,38
一阵,40
一面,24
一鼓作气,15
一齐,3
丁,41
七,1
七嘴八舌,11
万,1
万一,4
万万,1
万分,42
万古长青,21
万无一失,43
万能,44
丈夫,20
三,1
三明治,39
三番五次,3
三维,45
三角,45
上,16
上下,46
上个月,47
上任,48
上升,49
上午,18
上去,16
上台,48
上司,20
上周,47
上场,50
上头,16
上学,51
上岗,48
上市,52
上帝,53
上当,54
上报,55
上方,16
上旬,47
上映,56
上期,57
上来,16
上楼,38
上次,47
上流,58
上涨,49
上游,59
上演,60
上火,39
上班,18
上班族,61
上瘾,62
上空,63
上级,64
上网,65
上衣,38
上诉,66
上课,51
上调,49
上车,37
上边,16
上述,67
上门,68
上限,69
上面,16
下,46
下一代,8
下个月,47
下乡,70
下令,13
下决心,15
下功夫,15
下午,18
下去,16
下台,48
下场,5
下坠,71
下属,72
下山,37
下岗,48
下意识,11
下手,73
下旬,47
下期,57
下来,16
下棋,50
下楼,38
下次,4
下海,48
下游,59
下班,18
下级,64
下落,74
下课,18
下调,49
下跌,49
下车,37
下载,75
下边,16
下降,49
下雨,18
下雪,18
下面,16
不,76
不一会儿,4
不一定,4
不为人知,77
不久,47
不了了之,6
不予,2
不亚于,10
不亦乐乎,17
不仅,4
不仅仅,4
不以为然,11
不但,4
不便,78
不值,11
不假思索,11
不停,3
不像话,11
不光,4
不免,4
不再,76
不准,76
不利,79
不利于,79
不可思议,11
不可避免,80
不同,28
不同寻常,81
不在乎,11
不堪,11
不够,42
不大,42
不好意思,11
不如,4
不如说,4
不妨,4
不安,11
不定,69
