token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,8
一动不动,11
一半,1
一卡通,12
一口气,11
一句话,13
一同,14
一向,15
一味,16
一块儿,8
一塌糊涂,17
一声不吭,11
一大早,18
一天到晚,19
一头,20
一如既往,15
一定,21
一家人,22
一帆风顺,23
一带,24
一干二净,25
一年到头,19
一应俱全,26
一度,4
一律,1
一心,27
一心一意,27
一成不变,28
一手,20
一技之长,29
一把手,30
一揽子,31
一方面,32
一旁,24
一无所有,6
一无所知,6
一旦,3
一早,18
一时,8
一晃,8
一样,9
一概,1
一概而论,16
一模一样,9
一次性,33
一毛不拔,6
一流,34
一点儿,8
一生,35
一番,4
一目了然,36
一直,15
一眼,11
一瞬间,8
一筹莫展,37
一系列,1
一线,38
一经,2
一致,9
一般,1
一般来说,39
一行,40
一言一行,5
一言不发,11
一贯,15
一起,14
一路,41
一路上,41
一路平安,23
一路顺风,23
一身,42
一辈子,35
一边,24
一连,4
一连串,1
一道,14
一部分,1
一锅粥,43
一长一短,44
一阵,45
一面,46
一鼓作气,47
一齐,2
丁,48
七,0
七嘴八舌,11
万,0
万一,3
万万,0
万分,49
万古长青,50
万无一失,51
万能,52
丈夫,22
三,0
三明治,43
三番五次,4
三维,53
三角,54
上,24
上下,55
上个月,56
上任,57
上升,58
上午,18
上去,25
上台,57
上司,22
上周,56
上场,59
上头,24
上学,60
上岗,57
上市,61
上帝,62
上当,63
上报,64
上方,24
上旬,56
上映,65
上期,56
上来,25
上楼,25
上次,56
上流,66
上涨,58
上游,67
上演,68
上火,69
上班,18
上班族,66
上瘾,70
上空,71
上级,72
上网,73
上衣,42
上诉,74
上课,60
上调,58
上车,75
上边,24
上述,0
上门,25
上限,76
上面,24
下,77
下一代,7
下个月,56
下乡,25
下令,2
下决心,78
下功夫,78
下午,18
下去,25
下台,57
下场,79
下坠,80
下属,72
下山,25
下岗,57
下意识,2
下手,78
下旬,56
下期,56
下来,25
下棋,81
下楼,25
下次,82
下海,25
下游,67
下班,18
下级,72
下落,80
下课,18
下调,58
下跌,58
下车,75
下载,73
下边,24
下降,58
下雨,83
下雪,83
下面,24
不,49
不一会儿,8
不一定,3
不为人知,84
不久,56
不了了之,6
不予,85
不亚于,86
不亦乐乎,23
不仅,32
不仅仅,32
不以为然,87
不但,32
不便,88
不值,88
不假思索,2
不停,19
不像话,17
不光,32
不免,2
不再,21
不准,89
不利,90
不利于,91
不可思议,92
不可避免,21
不同,9
不同寻常,92
不在乎,93
不堪,37
不够,49
不大,49
不好意思,37
不如,86
不如说,3
不妨,21
不安,37
不定,26
不宜,21
不容,89
不对,17
不少,1
不屑,87
不已,37
不平,87
不幸,79
不得不,2
不得了,17
不得已,2
