token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,24
一塌糊涂,25
一声不吭,26
一大早,27
一天到晚,28
一头,29
一如既往,30
一定,31
一家人,32
一帆风顺,33
一带,34
一干二净,35
一年到头,36
一应俱全,37
一度,38
一律,39
一心,40
一心一意,41
一成不变,42
一手,43
一技之长,44
一把手,45
一揽子,46
一方面,47
一旁,48
一无所有,49
一无所知,50
一旦,51
一早,52
一时,53
一晃,54
一样,55
一概,56
一概而论,57
一模一样,58
一次性,59
一毛不拔,60
一流,61
一点儿,62
一生,63
一番,64
一目了然,65
一直,66
一眼,67
一瞬间,68
一筹莫展,69
一系列,70
一线,71
一经,72
一致,73
一般,74
一般来说,75
一行,76
一言一行,77
一言不发,78
一贯,79
一起,80
一路,81
一路上,82
一路平安,83
一路顺风,84
一身,85
一辈子,86
一边,87
一连,88
一连串,89
一道,90
一部分,91
一锅粥,92
一长一短,93
一阵,94
一面,95
一鼓作气,96
一齐,97
丁,98
七,99
七嘴八舌,100
万,101
万一,102
万万,103
万分,104
万古长青,105
万无一失,106
万能,107
丈夫,108
三,109
三明治,110
三番五次,111
三维,112
三角,113
上,114
上下,115
上个月,116
上任,117
上升,118
上午,119
上去,120
上台,121
上司,122
上周,123
上场,124
上头,125
上学,126
上岗,127
上市,128
上帝,129
上当,130
上报,131
上方,132
上旬,133
上映,134
上期,135
上来,136
上楼,137
上次,138
上流,139
上涨,140
上游,141
上演,142
上火,143
上班,144
上班族,145
上瘾,146
上空,147
上级,148
上网,149
上衣,150
上诉,151
上课,152
上调,153
上车,154
上边,155
上述,156
上门,157
上限,158
上面,159
下,160
下一代,161
下个月,162
下乡,163
下令,164
下决心,165
下功夫,166
下午,167
下去,168
下台,169
下场,170
下坠,171
下属,172
下山,173
下岗,174
下意识,175
下手,176
下旬,177
下期,178
下来,179
下棋,180
下楼,181
下次,182
下海,183
下游,184
下班,185
下级,186
下落,187
下课,188
下调,189
下跌,190
下车,191
下载,192
下边,193
下降,194
下雨,195
下雪,196
下面,197
不,198
不一会儿,199
不一定,200
不为人知,201
不久,202
不了了之,203
不予,204
不亚于,205
不亦乐乎,206
不仅,207
不仅仅,208
不以为然,209
不但,210
不便,211
不值,212
不假思索,213
不停,214
不像话,215
不光,216
不免,217
不再,218
不准,219
不利,220
不利于,221
不可思议,222
不可避免,223
不同,224
不同寻常,225
不在乎,226
不堪,227
不够,228
不大,229
不好意思,230
不如,231
不如说,232
不妨,233
不安,234
不定,235
