token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,2
一刹那,14
一动不动,15
一半,8
一卡通,16
一口气,17
一句话,18
一同,19
一向,20
一味,21
一块儿,19
一塌糊涂,22
一声不吭,15
一大早,23
一天到晚,24
一头,25
一如既往,26
一定,27
一家人,28
一帆风顺,29
一带,30
一干二净,31
一年到头,24
一应俱全,11
一度,13
一律,2
一心,32
一心一意,32
一成不变,33
一手,34
一技之长,35
一把手,36
一揽子,37
一方面,38
一旁,39
一无所有,7
一无所知,7
一旦,40
一早,23
一时,14
一晃,41
一样,42
一概,2
一概而论,43
一模一样,44
一次性,45
一毛不拔,7
一流,46
一点儿,47
一生,48
一番,49
一目了然,50
一直,51
一眼,52
一瞬间,14
一筹莫展,53
一系列,54
一线,55
一经,5
一致,44
一般,56
一般来说,57
一行,58
一言一行,6
一言不发,15
一贯,20
一起,19
一路,29
一路上,59
一路平安,60
一路顺风,29
一身,61
一辈子,48
一边,19
一连,62
一连串,54
一道,19
一部分,8
一锅粥,63
一长一短,64
一阵,65
一面,66
一鼓作气,67
一齐,68
丁,69
七,1
七嘴八舌,70
万,71
万一,40
万万,72
万分,73
万古长青,60
万无一失,74
万能,75
丈夫,28
三,1
三明治,76
三番五次,13
三维,77
三角,78
上,39
上下,79
上个月,80
上任,81
上升,82
上午,23
上去,31
上台,83
上司,84
上周,85
上场,86
上头,39
上学,87
上岗,88
上市,89
上帝,90
上当,91
上报,92
上方,93
上旬,80
上映,94
上期,95
上来,31
上楼,96
上次,97
上流,98
上涨,82
上游,99
上演,100
上火,101
上班,102
上班族,103
上瘾,104
上空,105
上级,84
上网,106
上衣,61
上诉,107
上课,108
上调,82
上车,109
上边,39
上述,110
上门,96
上限,111
上面,39
下,79
下一代,9
下个月,80
下乡,96
下令,112
下决心,113
下功夫,114
下午,23
下去,31
下台,81
下场,115
下坠,116
下属,117
下山,96
下岗,88
下意识,118
下手,119
下旬,80
下期,95
下来,31
下棋,120
下楼,96
下次,121
下海,96
下游,99
下班,102
下级,84
下落,122
下课,102
下调,82
下跌,82
下车,109
下载,106
下边,39
下降,82
下雨,123
下雪,123
下面,39
不,124
不一会儿,41
不一定,27
不为人知,125
不久,126
不了了之,22
不予,127
不亚于,128
不亦乐乎,129
不仅,38
不仅仅,38
不以为然,130
不但,38
不便,131
不值,132
不假思索,3
不停,24
不像话,22
不光,38
不免,118
不再,124
不准,133
不利,134
不利于,135
不可思议,136
不可避免,27
不同,137
不同寻常,138
不在乎,139
不堪,140
不够,141
不大,142
不好意思,143
不如,42
不如说,42
不妨,144
不安,145
不定,146
