token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,2
一举一动,2
一事无成,4
一些,0
一代,5
一会儿,2
一体,6
一共,7
一再,2
一切,0
一刹那,2
一动不动,2
一半,0
一卡通,8
一口气,2
一句话,9
一同,6
一向,3
一味,10
一块儿,11
一塌糊涂,3
一声不吭,2
一大早,12
一天到晚,3
一头,13
一如既往,10
一定,3
一家人,5
一帆风顺,14
一带,15
一干二净,16
一年到头,3
一应俱全,0
一度,2
一律,3
一心,10
一心一意,10
一成不变,17
一手,13
一技之长,18
一把手,19
一揽子,20
一方面,3
一旁,15
一无所有,4
一无所知,4
一旦,3
一早,12
一时,12
一晃,2
一样,6
一概,3
一概而论,6
一模一样,6
一次性,8
一毛不拔,18
一流,21
一点儿,3
一生,21
一番,0
一目了然,1
一直,3
一眼,2
一瞬间,2
一筹莫展,4
一系列,0
一线,15
一经,2
一致,6
一般,3
一般来说,3
一行,16
一言一行,22
一言不发,2
一贯,3
一起,6
一路,23
一路上,23
一路平安,4
一路顺风,14
一身,24
一辈子,21
一边,15
一连,2
一连串,0
一道,0
一部分,0
一锅粥,25
一长一短,24
一阵,26
一面,15
一鼓作气,10
一齐,2
丁,25
七,0
七嘴八舌,2
万,7
万一,3
万万,3
万分,4
万古长青,4
万无一失,1
万能,1
丈夫,5
三,0
三明治,25
三番五次,2
三维,27
三角,17
上,15
上下,15
上个月,12
上任,19
上升,28
上午,12
上去,16
上台,19
上司,5
上周,12
上场,29
上头,15
上学,9
上岗,19
上市,30
上帝,31
上当,32
上报,8
上方,15
上旬,12
上映,27
上期,12
上来,16
上楼,16
上次,12
上流,5
上涨,28
上游,30
上演,33
上火,25
上班,12
上班族,5
上瘾,13
上空,15
上级,19
上网,26
上衣,24
上诉,32
上课,9
上调,28
上车,23
上边,15
上述,0
上门,16
上限,7
上面,15
下,15
下一代,5
下个月,12
下乡,16
下令,2
下决心,10
下功夫,10
下午,12
下去,16
下台,19
下场,34
下坠,35
下属,19
下山,23
下岗,19
下意识,2
下手,11
下旬,12
下期,12
下来,16
下棋,11
下楼,12
下次,3
下海,16
下游,30
下班,12
下级,19
下落,28
下课,12
下调,28
下跌,28
下车,23
下载,27
下边,15
下降,28
下雨,12
下雪,12
下面,15
不,3
不一会儿,2
不一定,3
不为人知,17
不久,12
不了了之,3
不予,3
不亚于,7
不亦乐乎,14
不仅,3
不仅仅,3
不以为然,4
不但,3
不便,34
不值,4
不假思索,2
不停,2
不像话,3
不光,3
不免,3
不再,3
不准,3
不利,34
不利于,3
不可思议,17
不可避免,3
不同,6
不同寻常,17
不在乎,4
不堪,4
不够,28
不大,28
不好意思,4
不如,3
不如说,3
不妨,3
不安,4
不定,4
不宜,3
不容,3
不对,3
不少,0
不屑,4
不已,4
不平,4
不幸,4
不得不,2
不得了,3
不得已,2
