token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,7
一刹那,13
一动不动,14
一半,7
一卡通,15
一口气,4
一句话,16
一同,1
一向,17
一味,18
一块儿,1
一塌糊涂,19
一声不吭,20
一大早,21
一天到晚,22
一头,23
一如既往,17
一定,24
一家人,25
一帆风顺,26
一带,27
一干二净,19
一年到头,22
一应俱全,28
一度,12
一律,29
一心,30
一心一意,30
一成不变,31
一手,32
一技之长,33
一把手,34
一揽子,35
一方面,36
一旁,37
一无所有,6
一无所知,6
一旦,38
一早,21
一时,13
一晃,20
一样,39
一概,29
一概而论,40
一模一样,39
一次性,41
一毛不拔,6
一流,42
一点儿,43
一生,44
一番,9
一目了然,45
一直,17
一眼,20
一瞬间,13
一筹莫展,46
一系列,7
一线,47
一经,48
一致,39
一般,29
一般来说,49
一行,50
一言一行,5
一言不发,20
一贯,17
一起,1
一路,51
一路上,52
一路平安,53
一路顺风,53
一身,54
一辈子,55
一边,37
一连,4
一连串,7
一道,1
一部分,7
一锅粥,56
一长一短,57
一阵,58
一面,59
一鼓作气,4
一齐,2
丁,60
七,0
七嘴八舌,61
万,62
万一,38
万万,63
万分,64
万古长青,53
万无一失,65
万能,66
丈夫,25
三,0
三明治,67
三番五次,12
三维,68
三角,69
上,37
上下,70
上个月,71
上任,72
上升,73
上午,21
上去,74
上台,75
上司,34
上周,71
上场,76
上头,37
上学,77
上岗,78
上市,79
上帝,80
上当,81
上报,82
上方,37
上旬,71
上映,83
上期,84
上来,74
上楼,74
上次,85
上流,86
上涨,73
上游,87
上演,88
上火,89
上班,21
上班族,90
上瘾,91
上空,92
上级,34
上网,93
上衣,54
上诉,94
上课,95
上调,73
上车,96
上边,37
上述,97
上门,98
上限,99
上面,37
下,100
下一代,8
下个月,71
下乡,101
下令,102
下决心,103
下功夫,104
下午,21
下去,74
下台,72
下场,105
下坠,106
下属,107
下山,74
下岗,108
下意识,2
下手,109
下旬,71
下期,110
下来,74
下棋,111
下楼,74
下次,112
下海,101
下游,87
下班,21
下级,34
下落,113
下课,21
下调,73
下跌,73
下车,96
下载,93
下边,37
下降,73
下雨,114
下雪,114
下面,37
不,115
不一会儿,13
不一定,24
不为人知,116
不久,110
不了了之,117
不予,118
不亚于,119
不亦乐乎,120
不仅,36
不仅仅,36
不以为然,64
不但,36
不便,121
不值,122
不假思索,2
不停,123
不像话,124
不光,36
不免,24
不再,115
不准,125
不利,121
不利于,126
不可思议,127
不可避免,24
不同,39
不同寻常,128
不在乎,129
不堪,130
不够,131
不大,131
不好意思,132
不如,133
不如说,133
不妨,134
不安,46
不定,135
不宜,134
不容,115
不对,124
不少,7
不屑,136
不已,64
不平,137
不幸,105
不得不,138
不得了,124
不得已,138
