token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,7
一代,8
一会儿,9
一体,10
一共,11
一再,12
一切,7
一刹那,13
一动不动,14
一半,7
一卡通,15
一口气,4
一句话,16
一同,17
一向,18
一味,19
一块儿,17
一塌糊涂,20
一声不吭,21
一大早,22
一天到晚,23
一头,24
一如既往,18
一定,25
一家人,26
一帆风顺,27
一带,28
一干二净,29
一年到头,23
一应俱全,30
一度,12
一律,1
一心,31
一心一意,31
一成不变,32
一手,33
一技之长,34
一把手,35
一揽子,36
一方面,37
一旁,38
一无所有,6
一无所知,6
一旦,39
一早,22
一时,13
一晃,3
一样,40
一概,1
一概而论,41
一模一样,40
一次性,42
一毛不拔,6
一流,43
一点儿,44
一生,45
一番,9
一目了然,46
一直,18
一眼,47
一瞬间,13
一筹莫展,48
一系列,7
一线,49
一经,50
一致,40
一般,1
一般来说,51
一行,52
一言一行,5
一言不发,21
一贯,18
一起,17
一路,53
一路上,54
一路平安,27
一路顺风,27
一身,55
一辈子,45
一边,38
一连,4
一连串,7
一道,17
一部分,7
一锅粥,56
一长一短,57
一阵,58
一面,59
一鼓作气,4
一齐,2
丁,60
七,0
七嘴八舌,61
万,62
万一,63
万万,64
万分,65
万古长青,66
万无一失,67
万能,68
丈夫,26
三,0
三明治,69
三番五次,12
三维,70
三角,71
上,38
上下,72
上个月,73
上任,74
上升,75
上午,22
上去,76
上台,77
上司,35
上周,73
上场,78
上头,38
上学,79
上岗,80
上市,81
上帝,82
上当,83
上报,84
上方,38
上旬,73
上映,85
上期,86
上来,76
上楼,76
上次,87
上流,88
上涨,75
上游,89
上演,90
上火,91
上班,22
上班族,92
上瘾,93
上空,94
上级,35
上网,95
上衣,55
上诉,96
上课,97
上调,75
上车,98
上边,38
上述,99
上门,100
上限,101
上面,38
下,102
下一代,8
下个月,73
下乡,103
下令,104
下决心,105
下功夫,106
下午,22
下去,76
下台,74
下场,107
下坠,108
下属,109
下山,76
下岗,110
下意识,111
下手,112
下旬,73
下期,113
下来,76
下棋,114
下楼,76
下次,115
下海,103
下游,89
下班,22
下级,35
下落,116
下课,22
下调,75
下跌,75
下车,98
下载,95
下边,38
下降,75
下雨,117
下雪,117
下面,38
不,118
不一会儿,3
不一定,25
不为人知,119
不久,113
不了了之,120
不予,121
不亚于,122
不亦乐乎,123
不仅,37
不仅仅,37
不以为然,124
不但,37
不便,125
不值,126
不假思索,2
不停,127
不像话,20
不光,37
不免,25
不再,118
不准,128
不利,125
不利于,129
不可思议,130
不可避免,25
不同,40
不同寻常,119
不在乎,131
不堪,132
不够,133
不大,133
不好意思,134
不如,135
不如说,63
不妨,136
不安,137
不定,138
不宜,136
不容,118
不对,20
不少,7
不屑,139
不已,124
不平,65
不幸,107
不得不,111
不得了,20
不得已,140
