token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,33
一年到头,26
一应俱全,34
一度,5
一律,2
一心,35
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,16
一无所有,7
一无所知,7
一旦,43
一早,25
一时,44
一晃,45
一样,46
一概,2
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,59
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,16
一贯,22
一起,21
一路,66
一路上,67
一路平安,68
一路顺风,68
一身,69
一辈子,70
一边,71
一连,72
一连串,59
一道,21
一部分,73
一锅粥,74
一长一短,75
一阵,76
一面,77
一鼓作气,78
一齐,79
丁,80
七,81
七嘴八舌,82
万,83
万一,84
万万,85
万分,86
万古长青,87
万无一失,88
万能,89
丈夫,90
三,81
三明治,91
三番五次,13
三维,92
三角,93
上,94
上下,95
上个月,96
上任,97
上升,98
上午,25
上去,99
上台,100
上司,101
上周,102
上场,103
上头,94
上学,104
上岗,105
上市,106
上帝,107
上当,108
上报,109
上方,110
上旬,111
上映,112
上期,113
上来,99
上楼,114
上次,115
上流,116
上涨,117
上游,118
上演,119
上火,120
上班,121
上班族,122
上瘾,123
上空,124
上级,125
上网,126
上衣,127
上诉,128
上课,129
上调,117
上车,130
上边,131
上述,132
上门,133
上限,134
上面,135
下,136
下一代,9
下个月,137
下乡,138
下令,139
下决心,140
下功夫,141
下午,25
下去,99
下台,142
下场,143
下坠,144
下属,125
下山,114
下岗,145
下意识,146
下手,147
下旬,111
下期,113
下来,99
下棋,148
下楼,114
下次,149
下海,138
下游,118
下班,150
下级,125
下落,151
下课,150
下调,152
下跌,117
下车,130
下载,153
下边,131
下降,154
下雨,155
下雪,155
下面,131
不,156
不一会儿,157
不一定,29
不为人知,158
不久,159
不了了之,160
不予,161
不亚于,162
不亦乐乎,163
不仅,164
不仅仅,164
不以为然,165
不但,166
不便,167
不值,168
不假思索,146
不停,169
不像话,24
不光,164
不免,170
不再,171
不准,172
不利,173
不利于,174
不可思议,175
不可避免,170
不同,48
不同寻常,176
不在乎,177
不堪,178
不够,179
不大,180
不好意思,181
不如,182
不如说,183
不妨,184
不安,185
不定,186
