token,community
〇,0
一,1
一一,2
一下子,3
一不小心,4
一举,5
一举一动,6
一事无成,7
一些,8
一代,9
一会儿,10
一体,11
一共,12
一再,13
一切,14
一刹那,15
一动不动,16
一半,17
一卡通,18
一口气,19
一句话,20
一同,21
一向,22
一味,23
一块儿,21
一塌糊涂,24
一声不吭,16
一大早,25
一天到晚,26
一头,27
一如既往,28
一定,29
一家人,30
一帆风顺,31
一带,32
一干二净,33
一年到头,26
一应俱全,34
一度,5
一律,2
一心,35
一心一意,36
一成不变,37
一手,38
一技之长,39
一把手,40
一揽子,41
一方面,42
一旁,16
一无所有,7
一无所知,7
一旦,43
一早,25
一时,44
一晃,45
一样,46
一概,2
一概而论,47
一模一样,48
一次性,49
一毛不拔,50
一流,51
一点儿,52
一生,53
一番,54
一目了然,55
一直,56
一眼,57
一瞬间,3
一筹莫展,58
一系列,59
一线,60
一经,61
一致,62
一般,63
一般来说,64
一行,65
一言一行,6
一言不发,16
一贯,22
一起,21
一路,66
一路上,67
一路平安,68
一路顺风,68
一身,69
一辈子,70
一边,71
一连,72
一连串,59
一道,21
一部分,73
一锅粥,74
一长一短,75
一阵,76
一面,77
一鼓作气,78
一齐,79
丁,80
七,1
七嘴八舌,81
万,82
万一,83
万万,84
万分,85
万古长青,86
万无一失,87
万能,88
丈夫,89
三,1
三明治,90
三番五次,13
三维,91
三角,92
上,93
上下,94
上个月,95
上任,96
上升,97
上午,25
上去,98
上台,99
上司,100
上周,95
上场,101
上头,93
上学,102
上岗,103
上市,104
上帝,105
上当,106
上报,107
上方,108
上旬,109
上映,110
上期,111
上来,98
上楼,112
上次,95
上流,113
上涨,114
上游,115
上演,116
上火,117
上班,118
上班族,119
上瘾,120
上空,121
上级,122
上网,123
上衣,124
上诉,125
上课,126
上调,114
上车,127
上边,128
上述,129
上门,130
上限,131
上面,132
下,133
下一代,9
下个月,134
下乡,135
下令,136
下决心,137
下功夫,138
下午,25
下去,98
下台,139
下场,140
下坠,141
下属,122
下山,112
下岗,142
下意识,143
下手,144
下旬,109
下期,111
下来,98
下棋,145
下楼,112
下次,146
下海,135
下游,115
下班,147
下级,122
下落,148
下课,126
下调,149
下跌,114
下车,127
下载,150
下边,128
下降,151
下雨,152
下雪,152
下面,128
不,153
不一会儿,154
不一定,29
不为人知,155
不久,156
不了了之,157
不予,158
不亚于,159
不亦乐乎,160
不仅,161
不仅仅,161
不以为然,162
不但,163
不便,164
不值,165
不假思索,143
不停,166
不像话,24
不光,161
不免,167
不再,168
不准,169
不利,170
不利于,171
不可思议,172
不可避免,167
不同,48
不同寻常,173
不在乎,174
不堪,175
不够,176
不大,177
不好意思,178
不如,179
不如说,180
不妨,181
不安,182
不定,183
