token,community
〇,0
一,0
一一,1
一下子,2
一不小心,3
一举,4
一举一动,5
一事无成,6
一些,1
一代,7
一会儿,8
一体,9
一共,10
一再,4
一切,1
一刹那,2
一动不动,11
一半,1
一卡通,12
一口气,13
一句话,14
一同,15
一向,16
一味,17
一块儿,15
一塌糊涂,18
一声不吭,11
一大早,19
一天到晚,20
一头,21
一如既往,16
一定,22
一家人,23
一帆风顺,24
一带,25
一干二净,18
一年到头,20
一应俱全,26
一度,4
一律,1
一心,27
一心一意,27
一成不变,28
一手,21
一技之长,29
一把手,30
一揽子,5
一方面,31
一旁,25
一无所有,6
一无所知,6
一旦,32
一早,19
一时,2
一晃,33
一样,34
一概,1
一概而论,35
一模一样,34
一次性,36
一毛不拔,37
一流,38
一点儿,1
一生,39
一番,8
一目了然,40
一直,16
一眼,41
一瞬间,2
一筹莫展,42
一系列,1
一线,25
一经,43
一致,34
一般,1
一般来说,31
一行,44
一言一行,5
一言不发,11
一贯,16
一起,15
一路,45
一路上,46
一路平安,45
一路顺风,45
一身,47
一辈子,39
一边,25
一连,4
一连串,1
一道,15
一部分,1
一锅粥,48
一长一短,49
一阵,50
一面,51
一鼓作气,52
一齐,15
丁,53
七,0
七嘴八舌,13
万,0
万一,32
万万,0
万分,54
万古长青,55
万无一失,56
万能,57
丈夫,23
三,0
三明治,58
三番五次,4
三维,59
三角,60
上,25
上下,25
上个月,61
上任,62
上升,63
上午,19
上去,64
上台,65
上司,23
上周,61
上场,66
上头,25
上学,67
上岗,62
上市,68
上帝,55
上当,69
上报,35
上方,25
上旬,61
上映,70
上期,61
上来,64
上楼,64
上次,61
上流,71
上涨,63
上游,72
上演,73
上火,48
上班,19
上班族,71
上瘾,74
上空,75
上级,76
上网,77
上衣,47
上诉,78
上课,67
上调,63
上车,64
上边,25
上述,25
上门,79
上限,80
上面,25
下,25
下一代,7
下个月,61
下乡,81
下令,43
下决心,52
下功夫,82
下午,19
下去,64
下台,62
下场,66
下坠,83
下属,76
下山,64
下岗,62
下意识,22
下手,15
下旬,61
下期,61
下来,64
下棋,84
下楼,64
下次,85
下海,64
下游,72
下班,64
下级,76
下落,83
下课,64
下调,63
下跌,63
下车,64
下载,77
下边,25
下降,63
下雨,86
下雪,86
下面,25
不,87
不一会儿,88
不一定,22
不为人知,89
不久,61
不了了之,64
不予,90
不亚于,91
不亦乐乎,92
不仅,93
不仅仅,93
不以为然,94
不但,16
不便,95
不值,96
不假思索,22
不停,20
不像话,18
不光,93
不免,22
不再,97
不准,98
不利,99
不利于,99
不可思议,94
不可避免,22
不同,34
不同寻常,34
不在乎,100
不堪,96
不够,101
不大,54
不好意思,96
不如,91
不如说,32
不妨,97
不安,42
不定,42
不宜,97
不容,87
不对,18
不少,1
不屑,100
不已,45
不平,96
不幸,96
不得不,43
不得了,18
不得已,43
